{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '不做太多评价', '短评打分': 3}
{'短评内容': '老酒店，设备陈旧，无早餐，有停车场，酒店位置离奥莱较近。性价比还可以。普通商务可以满足，不过不会再选择入住！', '短评打分': 3}
{'短评内容': '只能说跟价格匹配吧，哎……很传统的一家酒店，应该升级了，灯都是坏的。提升很重要，否则会被淘汰的……加油', '短评打分': 4}
{'短评内容': '环境一般，酒店居然第二天没有整理房间，酒店的冷气基本没有用，睡觉熱得要死。而且酒店贈送的水都没有，都要購買。如不是近火车站，是不会選这里。', '短评打分': 3}
{'短评内容': '一般般，环境那么回事', '短评打分': 3}
{'短评内容': '临近马路边，有点吵。附近有很多小饭店，比较方便的。', '短评打分': 3}
{'短评内容': '就是一个快捷酒店的水平 一般般', '短评打分': 3}
{'短评内容': '一切一般吧', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '感觉非常不错。', '短评打分': 5}
{'短评内容': '很干净，价格有点高。', '短评打分': 4}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '酒店设施不好不想再住第二次', '短评打分': 3}
