{'短评内容': '哈哈眼睛一直转动，盯着来往的人们', '短评打分': 5}
{'短评内容': '整体感觉不错，卫生干净，地点很好，出去就是小吃街，吃货们的最爱，价格实惠，就是隔音效果不好，外面走动会吵到，可能是在楼梯的拐角缘故', '短评打分': 5}
{'短评内容': '設施全 旁邊吃的多 但不好找 ', '短评打分': 5}
{'短评内容': '环境还是挺好的，就是淋浴  厕所差  ', '短评打分': 3}
{'短评内容': '价格便宜 但附近是闹市区  房间也不错', '短评打分': 4}
{'短评内容': '还不错，老板服务也好。', '短评打分': 5}
{'短评内容': '一：说的海景其实并没有算欺骗。二：住宿条件就价格来讲是对等的。三：位置不大好找，刚入住的时候还在装修。总体来讲对得起价格。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '20~21~22号晚上，23号中午退房的。首先价格在那里，适合。有配电蚊香。还是有蚊子。煮水壶该洗洗啦??榻榻米的床板有声音~下楼就可以吃了~真好。这里晚上10点11点很多人就休息了，所以不会很吵。也好，早早有鸟叫声。店家也很好??', '短评打分': 5}
{'短评内容': '房间环境不错，布置很雅致！', '短评打分': 5}
{'短评内容': '不错哦，出门就有吃的，掌柜人也很好', '短评打分': 3}
{'短评内容': '   主人态度很好的  环境也不错  但是怎么会半夜睡着睡着没电了呢', '短评打分': 5}
{'短评内容': '不错的地方！第一次转晕了，找不到，结果还是店主亲自来接我们，好人一枚！房间不大，但是很温馨，值得推荐！！老板人挺好！', '短评打分': 5}
{'短评内容': '旅馆很好很温馨，就是位置有点点偏。\n老板服务很好，找不到路了，还特地过来接我们。', '短评打分': 5}
{'短评内容': '旅店的门面不起眼，要不是看到了车子堵住了还真看不到它……预订的房间潮味很重，我们就换了一间房间，那间还不错。进旅店门口的街道很不错。但是，店主有门禁，晚上想吃东西出不去！希望店主以后可以延长时间。', '短评打分': 3}
{'短评内容': '进去很深,房间也小,卫生间要是不关,房间就有很大的气味,和它周边的旅店比还是差些, 但价格还差不多,所以性价比不高', '短评打分': 1}
{'短评内容': '1.位置不好，从曾厝垵站下要走6分钟走远才到村口，从村口七拐八拐才能到店！2.设施太差，订的双人房，床居然1.5米都没有，翻个身就嘎嘎响；卫生间就给入流！3.晚上12点以后周围很吵，没人管！4.后半夜房间居然没电了，在看看一楼大厅灯是亮着的，老板搞的鬼，前面有人评价时说过这个停电的事情！', '短评打分': 1}
{'短评内容': '旅馆装修不错，就是这个弄堂实在是深，难找', '短评打分': 3}
{'短评内容': '   老板人很好  店里猫猫好可爱的  环境还可以吧  不过为什么半夜空调会停电？', '短评打分': 5}
{'短评内容': '老板很好人，院子很漂亮，老板家的猫也好可爱。房间不错，榻榻米好舒服。就是被子可能太久没有人住有点灰层。其他的都还好~', '短评打分': 5}
{'短评内容': ' 旅館的人很熱情，環境比較特別，但房間簡陋，設施都是舊的!離路面較遠.', '短评打分': 3}
{'短评内容': '曾厝垵8a青年旅舍很不错，下次来还住！', '短评打分': 3}
{'短评内容': '真心难找，不过也跟一开始路口走错了有关，曾厝垵那一带的门牌真心不敢恭维，离海边还是近的，黑猫看着好可怕，晚上回来的时候跟我们上楼在我们房门口徘徊，那天好热，问前台拿遥控器前台说他们空调大不了暖气只能开冷气，我说我就是要开冷气啊，结果说遥控找不到，哎，真让人觉得不知道是真是假。有点小失望', '短评打分': 1}
{'短评内容': '房间很大，性价比很好，店家也很周到，喜欢院子里攀岩墙', '短评打分': 5}
{'短评内容': '挺好的…就隔音效果差了点，哈哈…前台态度差了点', '短评打分': 3}
{'短评内容': '相对于家庭旅馆来说，8A青年旅馆不错，简单，干净，服务态度好。以酒店的标准来衡量的话，有点要求太高，但如果长住1个月，半个月的，家庭旅馆是不错的选择。这家旅店价格便宜，周边吃喝方便，离海只有5分钟路程。', '短评打分': 5}
