{'短评内容': '酒店位置好，同事很满意', '短评打分': 5}
{'短评内容': '环境很好，服务也很到位，老住户了，很满意', '短评打分': 5}
{'短评内容': '跟不错，下次会继续入住。', '短评打分': 5}
{'短评内容': '一周第五天入住。。晚上特地在酒店花园的餐厅用餐；环境很优雅、也很多老外！！晚上边用餐边听歌美式风格大餐很不错！推荐', '短评打分': 5}
{'短评内容': '再次入住。。这周连续四天的入住！！一样的生活方式、一路奔波。。累的时候总是习惯窝在酒店！！磐基洲际酒店值得推荐', '短评打分': 5}
{'短评内容': '酒店位置相当市中心，商场的各大品牌也非常的齐全，购物相当方便，而且餐厅也非常的多、洲际一直以来的首选。相当方便', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '很满意很满意', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '每次到厦门必住的酒店，就在鼓浪屿对面，交通方便。', '短评打分': 5}
{'短评内容': '还可以，会再住', '短评打分': 5}
{'短评内容': '我是一个比较懒的人，很少点评住过的酒店或航线，这家皇冠假日忍无可忍，非点评它一下。check in时先来个遭遇战，要求定的大床房，前台小男生先说是我定的是双床房，后说大床定完了，最后和协调说第二天腾一间大床房给我，最后搞啊搞，貌似主管出面了给了间大床房，妈比说明你有大床房的么，非要我发一通脾气才给，啥人呀！接下来反正房间马马虎虎，水龙头关不到底，浴缸下水开关坏的，服务么都是被动服务，主观能动性很差', '短评打分': 2}
{'短评内容': '出行方便', '短评打分': 4}
{'短评内容': '中规中矩的五星级酒店，服务挺好，硬件只能算一般，估计老了的缘故。', '短评打分': 5}
{'短评内容': '很不错，下次还会考虑入住', '短评打分': 5}
{'短评内容': '适合商务出行，酒店在市中心，楼下即是高端奢侈品购物中心，非常方便。楼下的星巴克是甄选店，全国只有十几家，一定要去喝一杯。', '短评打分': 5}
{'短评内容': '入住厦门磐基皇冠假日酒店真的是这次旅行的一大惊喜！酒店商场超好逛！即有一线品牌GUCCI、BV、Armani等，又有我这种小资消费得起的MK、Coach等二线品牌，还有进口超市，里面什么都有，非常方便！酒店服务超级好！办理入住的时候前台姑娘的笑容让人感觉很舒服，有回家的感觉！餐厅用餐时服务员们也全都是笑脸迎人，温暖备至！值得一提的是这次入住恰巧遇上圣诞季，酒店的圣诞摆设萌到没朋友！圣诞主题是卡通人', '短评打分': 5}
{'短评内容': '服务很好，谢谢前台的员工安排机场接送，下次会再入住。', '短评打分': 5}
{'短评内容': '酒店位置很好，内部设施有些旧，但可以接受，酒店餐厅价格有点贵。', '短评打分': 5}
{'短评内容': '环境好交通方便而且房间住了很舒服', '短评打分': 3}
{'短评内容': '酒店位置不错,酒店服务很好,酒店的设施很好,觉得性价比很高,很值.会介绍给朋友.', '短评打分': 5}
{'短评内容': '不错，值得推荐', '短评打分': 3}
{'短评内容': '位置不错，朋友介绍的，就过去住住，很舒服的，服务也不错！', '短评打分': 5}
{'短评内容': '酒店地段不错，配套的购物街是很多酒店没有的。客房还行但特色不鲜明,总体还行！', '短评打分': 3}
{'短评内容': '喜欢房间和装修风格。推荐推荐推荐推荐推荐推荐推荐推荐推荐推荐', '短评打分': 5}
{'短评内容': '酒店底部有环境不错的购物中心，设施也很豪华,已经是多次入住了.', '短评打分': 5}
{'短评内容': '酒店商业配套不错，地段也可以，性价比尚可。', '短评打分': 3}
{'短评内容': '优越的地理位置和良好的服务，是我来厦门的唯一选择酒店。', '短评打分': 5}
{'短评内容': '性价比不高，停车不方便而且还要收费，房间上网也要收费不适合商务', '短评打分': 1}
{'短评内容': '交通便利 服务好 房间也很大很舒服 不亏为五星级别', '短评打分': 5}
{'短评内容': '早餐丰富，交通方便，服务一般。', '短评打分': 3}
{'短评内容': '住宿环境很舒适，感觉不错，二楼还有名品购物中心。', '短评打分': 5}
{'短评内容': '酒店不错。。。。\n订的豪华房，但房间一般。。。', '短评打分': 5}
{'短评内容': '真的是很不错的酒店，非常漂亮。房间很舒适，酒店服务也很好。', '短评打分': 5}
