{'短评内容': '早餐不错。', '短评打分': 5}
{'短评内容': '唔知係咪中午臨時訂酒店既關係，去到接代處check in時搵唔倒我個訂單。呢間酒店既接代處服務員態度比較飄忽，之前遇過幾個比較差既，今次終於俾我遇到個態度一流，雖然搞左一段時間，但真心like佢處理得好好. 酒店位置方便，房間設備充足係我一路揀佢既原因，反而今次間房衛生情況有d卻步，洗手盤旁邊雲石明顯有大量水/污漬冇抹。', '短评打分': 4}
{'短评内容': '交通方便，生活機能不錯！', '短评打分': 5}
{'短评内容': '隔音太差', '短评打分': 1}
{'短评内容': '交通方便，房间很干净，床也舒服，之前住过这次出差再次来到樟木头首选金杭，前台服务亲切。服务很到位，值得推荐。', '短评打分': 5}
{'短评内容': '就在火车站一出来，位置十分方便。前台经理很友善。体验十分好。酒店大堂有餐厅，用餐十分方便', '短评打分': 5}
{'短评内容': '環境.設施各方面都不錯，是旅遊住宿的好地方。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '卫生干净', '短评打分': 5}
{'短评内容': '不过还不吃饭', '短评打分': 5}
{'短评内容': '火车站旁边，房间卫生可以接受，房间夠大，WIFI信号强，性价比高', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '价格合理，服务好，真心不错。', '短评打分': 5}
{'短评内容': '房间价格便且，性介比高，交通方便', '短评打分': 4}
{'短评内容': '設施還可以，主要是方便', '短评打分': 5}
{'短评内容': '环境靠着火车站比较吵，里面其实还可以，没当场开发票不爽', '短评打分': 3}
{'短评内容': '很好的入住体验', '短评打分': 5}
