{'短评内容': '好 好好好好', '短评打分': 5}
{'短评内容': '酒店大堂氛围不错，前台畅芬服务热情周到做了升级，送了水果感觉很好...会推荐给朋友', '短评打分': 5}
{'短评内容': '孙梦柯服务热情到位，房间干净整洁，设施完备。', '短评打分': 5}
{'短评内容': '酒店房间不错，很干净的，主要是酒店服务好，孙梦珂很热情，很不错', '短评打分': 5}
{'短评内容': '酒店环境很好，大堂的节日氛围很浓厚，香氛也很好闻，尤其是前台的服务员冯思宇办理的业务效率高，态度还特别好，让人感觉到了酒店的热情服务。挺好的。还有免费停车场', '短评打分': 5}
{'短评内容': '当时入住很快，入住一直很好，前台很赞赵安蒙表扬', '短评打分': 5}
{'短评内容': '酒店环境很好，房间干净整洁，前台吴风焦服务热情周到细致！非常不错的酒店', '短评打分': 5}
{'短评内容': '房间住的很好，谢谢连晶兰周到热情的服务，早餐丰盛，一直都是住开元旗下的酒店。必须支持', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '住西北边的话还是个不错的选择。', '短评打分': 4}
{'短评内容': '老酒店了，房间小，住着还可以。', '短评打分': 4}
{'短评内容': '酒店很好 崔明月服务很热情', '短评打分': 5}
{'短评内容': '服务很好，连晶兰服务员态度很热情，服务很专业！', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '闺蜜在这里办婚宴，提前一天住在这里，到的比较晚了，给我们免费续到了次日下午2点退房。接待的小妞我记得叫畅芬，是个美丽热情的小妞，接待同时，还唠唠家常，感觉很不错！酒店设施也不错的。赞一下吧', '短评打分': 5}
{'短评内容': '前台服务好孙梦柯表扬一下', '短评打分': 5}
{'短评内容': '酒店交通很方便前台小孙姑娘接待很热情', '短评打分': 5}
{'短评内容': '前台程琪敬业美丽，服务意识非常好，建议你们酒店给予奖励！', '短评打分': 5}
{'短评内容': '还好吧，有点旧了', '短评打分': 4}
{'短评内容': '常住的一家酒店，感觉非常不错！', '短评打分': 4}
{'短评内容': '酒店离办事地方近，前台服务很周到，热情，酒店早餐很丰盛，手续办理效率很高，周边交通便利', '短评打分': 5}
{'短评内容': '位置好交通方便。服务也不锘。卫生条件说的过去。价格偏贵。', '短评打分': 4}
{'短评内容': '酒店不错！服务也不错！以后还会住！', '短评打分': 4}
{'短评内容': '挺好的，帮客户订的，客户指定要住这，便宜点就更好了', '短评打分': 5}
{'短评内容': '很不错的酒店。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '小巧，舒适，酒店环境还是可以的，但自助不像五星级水平。', '短评打分': 5}
{'短评内容': '环境很好 位置也很方便', '短评打分': 3}
{'短评内容': '位置好，服务好，人性化 入住的客人们都很满意，下次还会住', '短评打分': 5}
{'短评内容': '商务房大床房比标准大床房好很多，值！服务很人性化。早餐一般', '短评打分': 5}
{'短评内容': '服务没得说，房间很好，床很舒服。门口指挥车辆的保安很优秀，车好就让你停到门口，比你更高级的车来了之后，立刻说你堵车，使之离开', '短评打分': 5}
{'短评内容': '帮朋友订的，说是挺好的，不过价格也挺好，呵呵', '短评打分': 5}
{'短评内容': '还算干净，方便。卫生间需要安装防臭地漏。', '短评打分': 5}
{'短评内容': '地理位置好，装修新。就是房屋价格比以前涨了很多，早餐太贵了。', '短评打分': 3}
{'短评内容': '酒店地处北京中轴线，位置不错。酒店设施也很好，餐饮也不错，价格比较合理。', '短评打分': 5}
{'短评内容': '五星级不是假的，服务超级好。', '短评打分': 3}
{'短评内容': '恩，这次价位真给力，环境一级棒。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务热情，卫生整洁，各方面都不错……………………。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '大堂很宽敞，各种设施也很好。在北二环和三环之间，交通很方便。如果有酒店内免费使用的游泳池或健身房就更好了。', '短评打分': 5}
{'短评内容': '餐饮方面附近有金悦、净雅和湘鄂情，请客户很方便。自己吃的话有北京特色小肠陈卤煮。', '短评打分': 5}
{'短评内容': '环境好，位置好，价格不错。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店非常不错！就是附近交通不太方便哪。还是给个好评！', '短评打分': 5}
{'短评内容': '房间布置的很舒服、也很干净。房间设施不错。缺点是没有游泳池。', '短评打分': 5}
