{'短评内容': '不错不错！', '短评打分': 5}
{'短评内容': '很好卫生干净', '短评打分': 5}
{'短评内容': '不错卫生干净', '短评打分': 5}
{'短评内容': '位置明显好找，有自己的停车场，大堂干净明亮，前台妹子热情周到，枕头和被罩很干净，房间没有异味，通风好，隔音效果很好，很安静没有噪音，电梯有门禁，晚上有保安人员值夜很安全，设施到位，价格便宜，性价比高，预订方便，准时留房讲信用，wifi网速很快，淋浴很舒服 ', '短评打分': 5}
{'短评内容': '位置明显好找，有自己的停车场，大堂干净明亮，前台妹子热情周到，枕头和被罩很干净，房间没有异味，通风好，隔音效果很好，很安静没有噪音，电梯有门禁，晚上有保安人员值夜很安全，设施到位，价格便宜，性价比高，预订方便，准时留房讲信用，wifi网速很快，淋浴很舒服 ', '短评打分': 5}
{'短评内容': '一般酒店，一般般', '短评打分': 5}
{'短评内容': '安全方便，有停车场', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '感觉一般。不怎么样', '短评打分': 5}
{'短评内容': '正好当天家里老人生病入院，没时间去。白白浪费了一天预定全款。自己失误，心疼！', '短评打分': 5}
{'短评内容': '很好，环境不错，很不错的一次入住，干净整洁！', '短评打分': 5}
{'短评内容': '还行吧！住了好几次了', '短评打分': 5}
{'短评内容': '环境不错。，。。。。。。。', '短评打分': 5}
{'短评内容': '住着不错，实惠。以后还会光顾。', '短评打分': 5}
{'短评内容': '这家店住着不错，就是早餐比较一般，便宜的就这样了。', '短评打分': 4}
{'短评内容': '挺方便的', '短评打分': 5}
{'短评内容': '帮朋友定的', '短评打分': 5}
{'短评内容': '真的不错', '短评打分': 5}
{'短评内容': '卫生干净！整体看着不错，就是wifi不稳定！！！时好时断的！！！办入住比较快，在这家店住了好多次了！感觉好', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '真的很不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度好，经济房有点小就是了', '短评打分': 4}
{'短评内容': '帮别人订的。看来不满意。。。', '短评打分': 3}
{'短评内容': '环境很好！卫生干净办入住很快！！', '短评打分': 5}
{'短评内容': '周边小吃挺多的离商场比较近！！！', '短评打分': 5}
