{'短评内容': '干净，方便。', '短评打分': 5}
{'短评内容': '服务态度有待提高！', '短评打分': 5}
{'短评内容': '性价比很好了', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '二楼是KTV，房间在四楼，噪音还挺明显。问题是房间里的马桶圈的盖，立不住！！！要用手扶着才行，或者搭在后背上，挺恶心的', '短评打分': 3}
{'短评内容': '房价175，用通用券100-5，开发票却162。', '短评打分': 4}
{'短评内容': '交通方便，卫生环境很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置很好很方便，就是一楼的ktv比较吵', '短评打分': 5}
{'短评内容': '帮别人订的，主要离会场比较近', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '就是位置还好 一般般 典型的快捷酒店', '短评打分': 3}
{'短评内容': '不错！！~~很方便。。。过马路就车站。', '短评打分': 5}
{'短评内容': '服务不太好', '短评打分': 4}
{'短评内容': '还算凑合 为老妈方便才订这家', '短评打分': 5}
{'短评内容': '位置很好。卫生也可以。值得入住。', '短评打分': 3}
{'短评内容': '住宿环境不错', '短评打分': 5}
