{'短评内容': '适合家庭住', '短评打分': 3}
{'短评内容': '环境差，床单不干净，睡下满身痒，整晚睡不好', '短评打分': 1}
{'短评内容': '公寓地段很不错，就是里面的设施有点陈旧，房间卫生一般，服务也一般，而且停车还要收费，总体印象很一般。', '短评打分': 4}
{'短评内容': '服务还可以就是房间设施有些陈旧', '短评打分': 4}
{'短评内容': '公寓不错，商家人挺好的，住的房间蛮干净的。还有洗衣机微波炉等等，价格再优惠些就更好了。有再去还是会选择的。', '短评打分': 5}
{'短评内容': '此带同类型商务公寓很多，基本户型一样，新旧程度类似，建议大家一定要货比三家，价低者得，另外，交通是比较便利的，停车要收费，8点前离开是10元，建议住酒店含停车费。', '短评打分': 4}
{'短评内容': '比较失望，不是很好。', '短评打分': 4}
{'短评内容': '이용해보니 위치도좋고 주변도 깨끗하고 가격대비 훌륭한듯 합니다 특히 세탁기와 간단한 조리시설이 있어서 맘에들었늡니다))))~~~~~~~', '短评打分': 3}
{'短评内容': '房间比较大。酒店位置好 ，位于珠江新城。卫生条件一般', '短评打分': 5}
{'短评内容': '感觉一般吧！', '短评打分': 2}
{'短评内容': '环境不错！就是有些东西有点旧了！不过住得还好', '短评打分': 3}
{'短评内容': '好旧的酒店', '短评打分': 3}
{'短评内容': '家庭出游非常棒，房间很好，很方便，价钱很合适', '短评打分': 5}
{'短评内容': '离地铁有点远 周边环境很好 服务不错', '短评打分': 5}
{'短评内容': '酒店服务很好 卫生也不错 每天都有人来搞卫生 就是离地铁有点远', '短评打分': 5}
{'短评内容': '房间很大，窗户也很大，就是我在京东预定两间，后面又续了4天，后面的居然没有反积分给我，亏大了。推荐大家来这里很不错，我在6楼，有蚊子。', '短评打分': 5}
{'短评内容': '要是长期出差，可以考虑！房间够大，挺好，干净利落', '短评打分': 5}
{'短评内容': ' 床非常非常硬 很脏 不像宾馆那么干净整洁 交通方便 附近餐馆很多 环境非常好', '短评打分': 3}
