{'短评内容': '房间是一个没有窗子，很闷。然后中央空调不是很好。', '短评打分': 2}
{'短评内容': '这个价位的酒店卫生什么的都差，设备也很旧', '短评打分': 3}
{'短评内容': '酒店位置位于五一广场附近，离坡子街步行街很近，周边娱乐购物场所多很。酒店前台服务也还不错，早餐挺好的。', '短评打分': 4}
{'短评内容': '我是晚上8点后入住的，在携程网上订的单，房价不便宜啦。不过交通便利，逛街，购物还是挺近的。就在步行街。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好很好很好很好很好，服务好，送货快，价格美丽', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 5}
{'短评内容': '房间设施一般，服务态度还行吧,这里是以前那个维也纳，位置优越，在黄兴步行街边上，用的白条188，店里价格268，省了八十块钱', '短评打分': 5}
{'短评内容': '不咋地', '短评打分': 1}
{'短评内容': '不错 可以可以可以可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '挺老的酒店 但是位置不错', '短评打分': 4}
{'短评内容': '很麻烦啊！', '短评打分': 4}
{'短评内容': '干嘛要评论', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 4}
{'短评内容': '还不错，主要在市中心，逛街很是进，逛累了去休息很方便！', '短评打分': 5}
{'短评内容': '这个价格还可以！', '短评打分': 5}
{'短评内容': '晚上十一点多就没有空调了', '短评打分': 3}
{'短评内容': '交通方便，环境一般', '短评打分': 4}
{'短评内容': '位置好 房间就普通吧 主要方便', '短评打分': 5}
{'短评内容': '房间较大,位置特佳.', '短评打分': 3}
{'短评内容': '家庭房还挺宽敞的，酒店位置较好，在商业区。', '短评打分': 5}
{'短评内容': '各方面都相当不错，服务更佳。尤其是地理位置，紧邻步行街东口，享受长沙生活的好地方。和它合作的有一家咖啡店，入住送了60元饮料券，物超所值，那家的咖啡和牛排都挺好吃的。', '短评打分': 5}
{'短评内容': '房间信号不好，手机几乎是出于无网络状态，环境一般，楼下在装修有点脏！就是地段还可以！！', '短评打分': 1}
{'短评内容': '优：地处商业繁华区，购物、美食、交通均便利，房间设施、卫生均不错；缺：电视机小点，频道较少', '短评打分': 5}
{'短评内容': '洗漱用品最好自备，总感觉不干净不敢用，位置很好、', '短评打分': 5}
{'短评内容': '环境很好，地段也好，性价比高~', '短评打分': 3}
{'短评内容': '晚上太吵了，不到两点睡不了，设备也比较旧', '短评打分': 1}
{'短评内容': '还不错啊，下面就是酒吧一条街，喜欢热闹的朋友不要错过了', '短评打分': 5}
{'短评内容': '酒店位于步行街中心位置,与王府井百货在一栋楼,周边是太平街\\贾谊故居等,融合了现代与传统文化底蕴,酒店性价比高', '短评打分': 5}
{'短评内容': '酒店位置可以 就在长沙步行街道口 出门就是繁华地带 超市 电影院 餐馆 都很方便 欧洲杯期间入住还是有点失策的 酒店隔音设施不好 声音很吵 因为位置好 所以其他的瑕疵还是可以忍受 推荐一下 ', '短评打分': 5}
{'短评内容': '地理位置不错.,一切OK.就是以后安排请安排有窗的房间', '短评打分': 5}
{'短评内容': '环境很一般', '短评打分': 3}
{'短评内容': '服务差，房间差，设施差。', '短评打分': 3}
{'短评内容': '位置很好，靠近长沙步行街和酒吧一条街，晚上也不会太吵。房间较大，虽然略显陈旧，但与价格、位置比较匹配，所以还是推荐。本人已住过多次。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，距离步行街及美食街都很近！！舒适经济！好评！', '短评打分': 5}
{'短评内容': '旁边有火宫殿的100多种小食，味道真好。房间也安静，不错', '短评打分': 5}
{'短评内容': '位置超好，旁边就是小食街，还有万达广场，购物方便', '短评打分': 5}
{'短评内容': '酒店的设施有点陈旧，但就价格和地理位置来说是很不错了。中博会长沙酒店都涨价了，维纳斯只涨了一点，推荐。', '短评打分': 3}
{'短评内容': '价格还行，下次还住这。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '新酒店，楼下装修还没完，窗户不敢开。开始去居然没有空调，说是酒店空调不能用，还没到用空调的季节和时间？？？后面又有师傅来装了空调，感觉就是被酒店呼悠~~~~', '短评打分': 1}
{'短评内容': '靠近步行街，虽然很吵，但是非常有感觉................', '短评打分': 5}
{'短评内容': '蛮好的！就是要挑挑房间！靠路边的蛮好！位置也蛮好！', '短评打分': 5}
{'短评内容': '维也纳服务优质，环境优雅，布局合理，住的很舒服', '短评打分': 5}
{'短评内容': '，已住，但和网上介绍的不一样，跟本没有20多平，太小了。而且去年刚开业的酒店这么旧，真是让人失望。', '短评打分': 3}
{'短评内容': '整体还不错哦！位置很好', '短评打分': 3}
{'短评内容': '吵的原因是疑似附近工地半夜还有动静；ktv的影响倒不算很大。\r\n内部如卫生等细节还需提高。', '短评打分': 3}
{'短评内容': '整体还行吧，特别是在步行街这个地段算很好的了，房间没窗户而且很小，就这点不好~', '短评打分': 5}
{'短评内容': '价格合理，真的不错，地段好，房间卫生，就是房间里没窗。', '短评打分': 3}
{'短评内容': '挺干净，不错！', '短评打分': 3}
{'短评内容': '可以推荐。', '短评打分': 3}
{'短评内容': '还行....早餐一般....下次还来住......预定的人还挺多的......', '短评打分': 5}
{'短评内容': '酒店很好，位置也很方便逛街、吃小吃、泡吧、k歌。酒店不提供免费停车，前台速度有待提高', '短评打分': 3}
{'短评内容': '地段还可以，交通也比较便利，就是房间比较小，有的房间是盲窗，硬件很一般。午夜一点后特价房往往是年轻人开房的最爱。', '短评打分': 5}
{'短评内容': '酒店座落热闹,服务还可.', '短评打分': 3}
{'短评内容': '住了2天，开了3个人2间房，位置很好，离步行街隔条马路，玩很晚也没事，房间干净卫生，就是隔音有点...听了一晚上的电视，呵呵', '短评打分': 5}
{'短评内容': '酒店离步行街很近很方便', '短评打分': 3}
{'短评内容': '酒店设施很陈旧，热水很小，不够热，洗手间很差，有气味，而且很容易堵，电话也打不通，不过服务态度还行，空调也还不错。', '短评打分': 1}
