{'短评内容': '沒早餐，这点不好，如果有早餐就OK了', '短评打分': 4}
{'短评内容': '比想象的好一些', '短评打分': 5}
{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '订了不含早餐的房间，酒店离滕王阁、商业步行街、地铁站都很近，步行即可到达，一切都很方便。免费给延长了一个小时时间退房。很棒！', '短评打分': 5}
{'短评内容': '我订的是不能加的，其他的不知道', '短评打分': 4}
{'短评内容': '干净卫生，服务态度好', '短评打分': 5}
{'短评内容': '如此服务差的如家，作为金卡决定再也不去如家', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通方便，环境优美，服务优良！', '短评打分': 5}
{'短评内容': '挺好 的，态度不错，设施也不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间还行，关键离八一中学近，住的十一楼，还好。房间还行，关键离八一中学近，住的十一楼，还好。房间还行，关键离八一中学近，住的十一楼，还好。房间还行，关键离八一中学近，住的十一楼，还好。房间还行，关键离八一中学近，住的十一楼，还好。', '短评打分': 3}
{'短评内容': '房间很大，但是不隔音，外面就是街道，一晚上都是车的声音。', '短评打分': 4}
{'短评内容': '房间挺大的，位置也好，就是空调不太好用，房间消毒液味道有点大。', '短评打分': 5}
{'短评内容': '卫生太差 床单被套很脏 连续住两晚身上皮肤都过敏 连锁酒店卫生怎么这么差', '短评打分': 2}
{'短评内容': '可以可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我订了5天的酒店 只住了4天 但送了5天的积分 房间很大 双人的把床拼一起了  服务很好  交通便利  附近就是步行街 很舒服  强烈推荐哦', '短评打分': 5}
{'短评内容': '一如既往的品质保证，不知道是夏天换的床垫还是什么，没有以前的床垫软，建议如家换电视吧，现在哪个宾馆还用那样的电视机，呵呵', '短评打分': 5}
{'短评内容': '可能是市中心的原因，周围交通实在太混乱。停车场入口应该设一明显的标志牌，要不很容易错过入口，停车场电脑控制，立体停车，赞一个！', '短评打分': 1}
{'短评内容': '酒店简洁，卫生，空调效果好，不错，价有所值！', '短评打分': 3}
{'短评内容': '地理位置有些怪，里那个车站都不是很近。可能是最近修地铁的原因，周围交通非常不畅，很多站都改路线了，很不方便。酒店整体还行，楼层比较高，吃饭不是很方便。', '短评打分': 5}
{'短评内容': '酒店电视没法看，可能是数字电视改造原因吧。大床房较小，适合喜欢小房间人士。', '短评打分': 5}
{'短评内容': '每到南昌出差。都到这家酒店居住，就是觉得很方便，到滕王阁不用坐车，不行就可以。', '短评打分': 5}
{'短评内容': '多次入住这家酒店，主要是考虑其离商业街非常近，到哪都方便。', '短评打分': 5}
{'短评内容': '很干净很温馨。下次来还住这里。距离步行街很近，购物方便。', '短评打分': 5}
{'短评内容': '酒店不错很干净，也没有杂音。周围也有很多小吃，就是离天虹还是有点距离。还有就是忘记拍照了，希望能继续保持。下次还会居住。', '短评打分': 5}
{'短评内容': '这家酒店的床很舒服~有家的感觉哦~很干净，隔音效果不错!', '短评打分': 5}
{'短评内容': '还不错,很方便的地方,简单,干净!下次还可以去~', '短评打分': 5}
{'短评内容': '一直喜欢这家， 房间很大 很不错。下次还会住这家', '短评打分': 5}
{'短评内容': '非常的舒适 房间很大 服务很好 电梯很高 一个电梯坏了 住了一晚感觉不错 好像隔音不好倒是', '短评打分': 5}
{'短评内容': '酒店地理位置不错，前台服务态度也很好。酒店旁边的永和豆浆套餐也很不错', '短评打分': 5}
{'短评内容': '房间很大很温馨，真的有“如家”的感觉。价格很实惠，周边交通也很便捷。很满意！', '短评打分': 5}
{'短评内容': '前台男生服务高效而周到，超好！但是我住的房间1006的排风扇坏了，是美中不足', '短评打分': 5}
