{'短评内容': '位置一般，简单，便宜', '短评打分': 3}
{'短评内容': '在道路边，近嘉兴学院，卫生尚可，设施有点陈旧，特别是席梦思凹凸不平，难以入睡，价格比较低，有点挑剔的朋友不建议入住。', '短评打分': 3}
{'短评内容': '位置不错交通便利', '短评打分': 4}
{'短评内容': '总体来说不错', '短评打分': 4}
{'短评内容': '本人入住一晚，酒店位置一般，交通方便。让我找了一段时间。我入住的是圆床房，位于大厦顶楼，视野开阔。适合家庭出游。设施有点陈旧，卫生尚可。', '短评打分': 5}
{'短评内容': '大床房卫生干净    有电视电脑    而起还不贵值得推荐', '短评打分': 5}
{'短评内容': '偶住一天，遭遇横祸！房间小不说，烟味奇重，隔音等于没有，隔壁打电话，连电话里的声音都能听见。最奇葩的是开这个宾馆的，长着江南的身材，有着河北的态度，要来的朋友，三思', '短评打分': 1}
{'短评内容': '把', '短评打分': 5}
{'短评内容': '晚上有蚊子 较为吵闹', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '环境很好~ 态度也很好~~很喜欢！！！', '短评打分': 5}
{'短评内容': '不怎么好，毕竟便宜', '短评打分': 5}
{'短评内容': '给你UL TVB的土地客户端', '短评打分': 5}
{'短评内容': '不错哦很好', '短评打分': 5}
{'短评内容': '宾馆位置不错，去办事很方便，网速也很好够办公、游戏等用。周围吃饭也挺方便的。就是旁边有个小超市买东西要看好价格，不然会黑你的钱。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '外面看着还可以里面这个环境太差了厕所味道特别的重', '短评打分': 3}
{'短评内容': '里面环境各方面还是可以的，价格方面还是稍微偏高了点！！！！！！', '短评打分': 5}
{'短评内容': '刚开始去的时候还说什么不和携程合作，不给开房间，不放心的我订好就给这店打电话说可以。到了店说不给住，后来给了一个较差的房间，总之不推荐。', '短评打分': 3}
{'短评内容': '交通不是很方便，但是开车去还好，车位很多。', '短评打分': 5}
{'短评内容': '宾馆内部装修还挺好看的，值得再次入住。而且前台热情大方，出门又有公交车站，很是方便呢', '短评打分': 5}
{'短评内容': '客房的配置还是挺齐备的，基本上都有提供一系列的日常用品，还是不错的.', '短评打分': 5}
{'短评内容': '位置不明显，不太好找，位置有点偏，不过客房挺温馨舒适的.', '短评打分': 5}
{'短评内容': '不错的酒店 下次还会来 性价比高 里面设备新', '短评打分': 5}
{'短评内容': '位置好，临街又靠着西站，有点乱，好在交通便利，其它各方面也不错.', '短评打分': 5}
{'短评内容': '客房装修的比较新，而且布局和设施也都不错，住着挺舒服的.', '短评打分': 5}
{'短评内容': '客房不是很大，不过房间倒是挺温馨舒适的，而且条件还不错.', '短评打分': 5}
{'短评内容': '酒店装修得不错，房间稍小但是比较温馨，就是位置不大好找', '短评打分': 3}
{'短评内容': '房间虽然小，不过该有的都有了，而且相当舒服', '短评打分': 5}
{'短评内容': '这是一家典雅的商务旅馆, 虽然房间不大,不多, 但前台很亲切, 靠近汽车西站,\n交通方便, 可以到上海,江苏省其他地区,性价比很高', '短评打分': 5}
{'短评内容': '已入住酒店，比较满意', '短评打分': 5}
{'短评内容': '+ 位置不错，离西站很近步行可以到达。房间离马路挺近比较吵。  房间比较新，装潢也很有风格。电视节目特别多。算是很不错的选择。', '短评打分': 5}
