{'短评内容': '房间宽敞，价格合理，就是中央空调噪音大，其他完好', '短评打分': 4}
{'短评内容': '在鲁北一家商场进行的“红色文化记忆展”上，一辆破旧的“东方红28拖拉机”成为人们关注的焦点。不少观展的市民很不理解，为啥这台破旧的大块头能够放在这名显眼的位置，殊不知这台拖拉机是47年前', '短评打分': 5}
{'短评内容': '停车场是有的，必经是小县城，走廊很差劲，脏兮兮的，房间也不好，味道也不好，臭', '短评打分': 3}
{'短评内容': '太差了，在嘉善县城一个200多的房间，还不如100多的连锁酒店，以后再也不会去住了', '短评打分': 2}
{'短评内容': '对得起价位，附近吃喝不多', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好，超级棒！房间干净，窗户大，隔音效果好！有停车场。如果有早餐就更好了。位置好找，旁边就是公园，楼下吃喝一条街，想吃啥随便选！', '短评打分': 5}
{'短评内容': '卫生不错，周围环境也好，旁边有个公园', '短评打分': 4}
{'短评内容': '住宿条件一般', '短评打分': 1}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '设施陈旧，感觉不怎么干净，有电脑，上网还可以', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '属于普通宾馆，比较经济实惠，不适合商务出差', '短评打分': 3}
{'短评内容': '真心住着不舒服', '短评打分': 3}
