{'短评内容': '环境不错，每年都来几次和朋友', '短评打分': 5}
{'短评内容': '环境不错，每年都来几次和朋友', '短评打分': 4}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 4}
{'短评内容': '价位便宜。价位便宜。', '短评打分': 3}
{'短评内容': '价位便宜。', '短评打分': 4}
{'短评内容': '京东的价格比携程要便宜，真是不错，希望有一天也能成为这个行业的老大', '短评打分': 5}
{'短评内容': '适合自驾 房间一般了  但周边环境海景超棒  八大关 花石楼  二浴三浴在附近 步行可到 免去停车难的烦拢 性价比高  对住宿条件要求不高又想海边住的可以前去', '短评打分': 4}
{'短评内容': '带娃出游，在海边非常方便！', '短评打分': 5}
{'短评内容': '这个价格谁订谁后悔，518元/天，若订“观景房”，可不是“海景房”，要分清，按照服务员的解释，所谓“观景房”，只能看可能是不属于这个酒店的院子，有后边停车场出入的汽车，以及拍婚纱照人的休息。房间潮霉味很重，我住的房卫生间门外的一个地板砖是动的，踩上后还挤出水。空调制冷不好，使小孩蹬开被子，滚下床。', '短评打分': 2}
{'短评内容': '酒店周边环境一流。客房服务、酒店设施、20元一位的早餐实在不敢恭维。', '短评打分': 4}
{'短评内容': '位置很好，就在海边，景色怡人，早餐就坐海边吃，感觉很好', '短评打分': 4}
{'短评内容': '位置好，就在海边，窗外就是海，吹着海风舒服，有很多照婚纱照的，服务也好，就是设施有些旧，但为了美景还是可以的。', '短评打分': 5}
{'短评内容': '位置好，离海特近，前台非常热情', '短评打分': 3}
{'短评内容': '房间小，但离海边就100步，沿海边是观光走廊，很多人拍婚纱照，位置是在青岛休闲最佳的了，只是酒店硬件不行，早餐很成问题', '短评打分': 4}
{'短评内容': '太差了，进房看下就换酒店了', '短评打分': 3}
{'短评内容': '环境真是美翻了！真正的面朝大海，惬意听风啊！', '短评打分': 3}
{'短评内容': '   非常漂亮的海边酒店，窗外就是海湾，看得到的蓝色大海。只是房间较小，不过海边的餐厅味道不错，且性价比很高，值得一住。', '短评打分': 5}
{'短评内容': '酒店就在海边，离二浴和三浴都很近，位置不错。\n缺点是酒店在八大关景区内，没有好的吃饭的地方。', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，紧邻大海。但是，不能在一楼，有些房间有点潮，味道不好，有地房间壁纸都开了。', '短评打分': 5}
{'短评内容': '位置很好，想要坐看大海的驴友们可以选择，就是房间有点潮。早餐简单清淡，的确是送到房间里，坐在窗边边吃早点边看海很舒服。', '短评打分': 5}
{'短评内容': ' 酒店环境和价格都很好…', '短评打分': 3}
{'短评内容': '大的那间海景房不错!房间也还干净干爽.只是路有点不好找!楼下的餐馆味道不错.', '短评打分': 3}
{'短评内容': '离得很近的第三海水浴场有一家烧烤店很好吃离八大关也近早饭送到房间好啊好啊', '短评打分': 3}
{'短评内容': '周围环境很不错，就在八大关景区，离海非常近，虽然看起来只是一栋小别墅，房间可能二十来间，但比较适合度假，给人放松休闲舒适的感觉，服务态度也可以，早餐确实送到房间。餐厅阳光海会所也不错。房间稍微小点，如果浴巾床单之类更换的更勤一点，房间卫生更到位些就更好了。', '短评打分': 5}
{'短评内容': '离海边很近，吃饭方便，就是房间有点小，赶上雨季房间有些发霉的味道', '短评打分': 5}
{'短评内容': '还不错!', '短评打分': 3}
{'短评内容': '不错 位置超好 店面较小 适合家庭住 不错', '短评打分': 5}
{'短评内容': '酒店就在海边，处于八大关景区，出门就是沿海栈道，地理位置相当好！服务人员很热心，带阳台的标间不算小，已经是第二次入住了', '短评打分': 3}
{'短评内容': '位置非常不错，很安静，就是房子有点年龄了，总体不错', '短评打分': 5}
{'短评内容': '就像家庭旅社，设施很旧，90年代的装修。被子床单也不是常换的，有些前任客人的头发、皮屑什么的，蛮脏的。说是海景阳台标间，但看海角度只有30度左右，被两旁的建筑挡住了，阳台旁是别人房间的大窗户和空调外机。隔音不好，就是离海近，但是楼下的饭店东西很贵，总之性价比不高', '短评打分': 1}
{'短评内容': '环境不错,面向大海，晚上听着涛声入睡~~~~~~~~~~~~~。', '短评打分': 5}
{'短评内容': '住宿环境很好，属于别墅形式的，酒店靠海，是个休闲度假的好去处，房间基础设施齐全，服务很好，住宿条件到位', '短评打分': 5}
{'短评内容': '酒店在八大关风景区里面，这里的环境没的说，非常好，服务周到热情，房间卫生打扫的很干净，下次还会住的', '短评打分': 5}
{'短评内容': '酒店离海边很近，空气很好，小别墅形式的，在阳台上看海景，晒太阳，感觉超级棒。', '短评打分': 5}
{'短评内容': '在景区里，风景很好，空气清新，游玩很方便。', '短评打分': 3}
{'短评内容': '环境很不错，房间挺宽敞，带阳台可以还看海景，住的挺惬意。', '短评打分': 3}
{'短评内容': '酒店的卫生方面还不错，就是设施有些陈旧了，餐厅的饭菜挺出名的，建议可以尝试一下。', '短评打分': 5}
