{'短评内容': '没早餐，不加床，交通方便，有停车场，方便带孩子，很好', '短评打分': 5}
{'短评内容': '环境卫生很好', '短评打分': 5}
{'短评内容': '还可以，不错，就是里面备用设施有点少，不够用', '短评打分': 5}
{'短评内容': '一般吧！！！！！！！！！', '短评打分': 3}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '还行吧。周围设施不行', '短评打分': 4}
{'短评内容': '各方面都还行', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '感觉还是不错的', '短评打分': 5}
{'短评内容': '还可以吧。推荐，朋友来住的。', '短评打分': 4}
{'短评内容': '物美价廉值得推荐', '短评打分': 5}
{'短评内容': '性价比很高，下次还会住。', '短评打分': 4}
{'短评内容': '性价比很高，下次还会住。', '短评打分': 4}
{'短评内容': '服务挺好！', '短评打分': 5}
{'短评内容': '很不错的酒店。。服务员很热情。。还有水送', '短评打分': 5}
{'短评内容': '就是酒店周边环境不太好，服务还不错，按摩唱K都有', '短评打分': 5}
