{'短评内容': '不错 很好', '短评打分': 5}
{'短评内容': '酒店整体还行，早餐丰富，房内有免费饮料。唯一奇怪的是预付款就不愿提供水单，就是无锡其他四星酒店也第一次听说，虽最终给解决，但预定时没提早说，让人很不舒服。总体比美豪酒店差。', '短评打分': 4}
{'短评内容': '不错 卫生很好', '短评打分': 5}
{'短评内容': '很好 不错 很干净', '短评打分': 5}
{'短评内容': '早餐超级棒，早餐还有港式小点心，感觉不比五星级差。房间的赠品也很多，矿泉水就有3瓶，还有椰奶什么的。性价比很高很高。自从住过以后，每次无锡出差都住这家，我的领导也很满意。', '短评打分': 5}
{'短评内容': '不错，老客户已经多次入住这个酒店。', '短评打分': 5}
{'短评内容': '不错，老客户已经多次入住这个酒店。', '短评打分': 5}
{'短评内容': '酒店各方面都ok,位置好', '短评打分': 5}
{'短评内容': '还不错，出差适合', '短评打分': 5}
{'短评内容': '性价比不错 服务也到位', '短评打分': 5}
{'短评内容': '性价比不错 服务也到位', '短评打分': 5}
{'短评内容': '评论过了不错', '短评打分': 5}
{'短评内容': '周围韩国餐馆比较多，他们喜欢', '短评打分': 5}
{'短评内容': '一般般价格高了', '短评打分': 4}
{'短评内容': '环境不错的，服务也跟得上，值得推荐。', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '性价比高。', '短评打分': 5}
{'短评内容': '性价比不错。', '短评打分': 5}
{'短评内容': '客户比较满意！', '短评打分': 5}
{'短评内容': '酒店各个方面都很满意，人性化细节方面做得很到位。', '短评打分': 5}
{'短评内容': '离风情街很近，吃饭很方便。环境很安静，干净卫生，睡眠质量很好，早餐也很丰富，是一间值得入住的酒店，下次出差还会再来！', '短评打分': 4}
{'短评内容': '房间干净整洁，服务人员态度很好，服务到位。早餐种类不是很多但都很精致好吃。', '短评打分': 5}
{'短评内容': '给酒店的服务点赞??', '短评打分': 5}
{'短评内容': '良いホテルです。最近改装されてとても綺麗になりました。場所も便利だし、朝食も美味しいです。とくに、パンが美味しいです。ジュースがフレッシュになるともっと良いです。トマトジュースとオレンジジュースが良いです。', '短评打分': 4}
{'短评内容': '感觉还行 酒店大堂不错 但房间不大 且卫生设施较为陈旧', '短评打分': 4}
{'短评内容': '早餐很好，早餐很好，早餐很好，早餐很好，早餐很好，', '短评打分': 5}
{'短评内容': '客房服务非常满意。有免洗衣服，非常方便。房间比较紧凑，不算大。健身房很小，无游泳池。早餐还不错，就是饮料不行。总的来说还是不错的。', '短评打分': 5}
{'短评内容': '服务不错，环境也好，比较满意。', '短评打分': 3}
{'短评内容': '酒店适合安排商务往来客户入住，交通方便，周围饭店也不少，宴请客户较为方便。', '短评打分': 5}
