{'短评内容': '房间有点小，靠市区很近', '短评打分': 5}
{'短评内容': '位置不错就在著名的河坊街上.很是热闹', '短评打分': 4}
{'短评内容': '位置还可以 房间偏小', '短评打分': 3}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '虽然在河坊步行街边，不闹，旁边有吃喝购物玩。。。服务热情。。。', '短评打分': 5}
{'短评内容': '不想多说，差得没话说！', '短评打分': 2}
{'短评内容': '位置很好…老板很热情的额！在河坊街内…晚上可以逛河坊街…很有特色的街道，很有气氛额', '短评打分': 5}
{'短评内容': '地理位置相当好，楼下就是胡庆余堂，房间很mini，卫生有待改善。总体还行吧！', '短评打分': 4}
{'短评内容': '房间还行，周边环境不错，非常热闹。', '短评打分': 4}
{'短评内容': '吹风机没有，插座不紧，就凑合这个价格', '短评打分': 4}
{'短评内容': '酒店在小吃街，虽说在小吃街，但属闹中取静，吃饭，买东西挺方便。还参加了该店的西湖一日游，蛮便宜的。总体来说不错，下次来还住这里！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般，只是位置不错', '短评打分': 3}
{'短评内容': '住的地方虽然不大，但是环境还不错，住过三天后又继住了两天，出门就是步行街，吃东西购物都方便，离湖边也只有大约五分多点的距离，公交站，旅游都方便，在吴山广场那里好多班车出行。值得推荐。', '短评打分': 5}
{'短评内容': '还行，挺好的，只是房间小了点，有点拥挤，厕所是磨砂玻璃的。适合情侣', '短评打分': 4}
{'短评内容': '位置很好，去那都方便，大床房床铺也很大，就是房间小了点，基本满意吧', '短评打分': 4}
{'短评内容': '首先酒店的位置很好，在步行街，出门吃的玩的都有，离西湖火车站都很近，步行就到。其次酒店还是挺干净的，就是房间很小，如果不是特别在意房间大小的话，那就相当推荐。晚上很安静，就是住在楼梯旁，早上有点吵。最后，两个老板的态度真的很好哦，每天出入都能有一个好心情，出来玩，有个好心情比什么有好。', '短评打分': 5}
{'短评内容': '挺好的宾馆。位置非常好，就在景点河坊街上，晚上漫步其中，令我夫人兴高采烈。房间小但设施好，从绍兴回来我们又住了这里。', '短评打分': 3}
{'短评内容': '确实出乎预料的好，尤其是标间，房间色彩明快，设施齐全，确实值得推荐！\n', '短评打分': 5}
{'短评内容': '杭州印象商务酒店除了房间小了点外，其他都非常满意，很有家的感觉。', '短评打分': 3}
{'短评内容': '房间干净舒适，前台服务热情。推荐！', '短评打分': 3}
{'短评内容': '还好，就是房间小了一点，厕所有点潮，但是离街很近，在步行街里面，外面很热闹，消费很方便，离美食街也很近', '短评打分': 5}
{'短评内容': '位置就在河坊街里，走过一遍河坊街之后发现，地理位置超级棒，去哪都方便，离高银街走路也就一分钟，只要出门穿过一个小短巷就行。。卫生也非常好，让我兴奋的是，我们定的屋里一进门有个小客厅，还有沙发和茶几。。。卫生都是一天一打扫的，住了两个晚上，第一天起床后出门，下午回来发现被子都重新给铺好了，厕所卫生打扫了，毛巾什么的都换新的了。。。真是惊喜。。。非常值得住，网上订价格也不贵，前台服务也特别热情，总是笑', '短评打分': 5}
{'短评内容': '房间很好  双人标间比较大  就是厕所玻璃有点透 房间看起来很温馨 很喜欢 下次去还会去那里', '短评打分': 5}
{'短评内容': '房间不错～就是夫妻房很小，有点蜗居的感觉～', '短评打分': 3}
{'短评内容': ' 房间虽小，但蛮干净的，卫生间太小，马桶和浴室未隔开，不太方便。', '短评打分': 3}
