{'短评内容': '单间很吵，隔音效果不好', '短评打分': 3}
{'短评内容': '环境好，不在主干道旁，安静!', '短评打分': 5}
{'短评内容': '挺好的啊，主要是实惠，哈哈哈哈哈哈哈哈哈哈，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '挺好的，主要是实惠，周边都要好几百呢，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '位置不错，服务可以。设施有些旧了，不过价格实惠。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '临时入住，说不出好，住住还是可行的！', '短评打分': 4}
{'短评内容': '实惠便利', '短评打分': 5}
{'短评内容': '还不错，价格也实惠。', '短评打分': 5}
{'短评内容': '环境挺好的！', '短评打分': 4}
{'短评内容': '性价比很高的一家酒店，周边交通很方便，环境也好', '短评打分': 5}
{'短评内容': '周边环境，购物坐车都很不错，房间大', '短评打分': 4}
{'短评内容': '周边环境，购物坐车都很不错，房间大', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境还不错，交通挺方便', '短评打分': 3}
