{'短评内容': '很好很好！！！', '短评打分': 5}
{'短评内容': '房间不隔音太吵了', '短评打分': 4}
{'短评内容': '为家人订的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '比想像的好很多。服务很好。', '短评打分': 3}
{'短评内容': '当时因为行程有变  所以退订了   开始打了许多客服都说退不到最后到酒店去协商的    前台的姐姐帮我弄好的   人很好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '见上一条点评，不好，楼下装修的味道难闻，空调效果也不好，', '短评打分': 2}
{'短评内容': '第一晚是给朋友定的，朋友顾及面子，没有提意见，第二晚是我自己入住，WiFi型号极差，洗澡的莲蓬头没地方挂，拿着洗澡，难道忘装了，插头外露 很危险', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '中央空调太不给力了，两个小时才升了2度，外面就是街道吵的很', '短评打分': 4}
{'短评内容': '酒店卫生还可以，但是毛巾浴巾都非常非常旧了，墙纸也脱落，房间网络较差，服务员倒是还可以！总体性价比不高！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间采光很好，楼下吃饭，购物方便。', '短评打分': 4}
{'短评内容': '不行', '短评打分': 1}
{'短评内容': '太差', '短评打分': 3}
{'短评内容': '酒店性价比真高，绝对对得起这个房价。来恩施的可以选择住住。', '短评打分': 5}
{'短评内容': '环境，，卫生不错。。。。水太小了。。。。。。。。。。。。。。。。。。。。。。。。前台态度不咋滴', '短评打分': 5}
{'短评内容': '服务还行 可免费寄存行李', '短评打分': 3}
{'短评内容': '该酒店地理位置还不错，出行方便，特别是楼下的不二家解决了一日三餐，还经济实惠，武商量贩店也提供了不少方便，酒店是新装修，设施不错，特别是浴室淋浴头非常有特点，是一部老式电话造型，只是上面没有挂的地方，有点不方便，改进一下就好，能够点播电视节目也是很好的，值得推荐！', '短评打分': 5}
{'短评内容': '蛮好 装潢很田园。 设施也比较新。 有电吹风', '短评打分': 5}
{'短评内容': '8011', '短评打分': 3}
{'短评内容': '酒店用具较新，品质较高，而且有地下停车场，值得入住。', '短评打分': 5}
{'短评内容': '非常不错,干净舒服,交通方便.', '短评打分': 3}
{'短评内容': '非常好！新酒店很干净！周期环境也很便捷。', '短评打分': 3}
{'短评内容': '环境还不错，也很干净，有窗户的房间不是很多，服务还不错', '短评打分': 5}
{'短评内容': '交通方便，楼下就是超市，就是酒店刚装修好气味还有点大', '短评打分': 5}
{'短评内容': '总体来说不错，里面各种用品都很齐全，以后还会去的~\n\n比较满意的就是我早到了几个小时，大概九点到的，然后就入住了，也没多收钱', '短评打分': 5}
{'短评内容': '新装修的酒店 很不错 楼下有美食广场 很方便 空调很好用 上网有密码需要问前台 停车场不能直接走到酒店 不过价格合理 总体还是满意的', '短评打分': 5}
{'短评内容': '酒店很新，很干净，还有电脑，且上网速度很快。就是卫生间太小。', '短评打分': 5}
