{'短评内容': '还不错，就是电视不能看', '短评打分': 5}
{'短评内容': '服务态度好，环境也不错', '短评打分': 5}
{'短评内容': '酒店没有电梯！有大件行李的注意了！房间比较小！交通方便。', '短评打分': 4}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '地理位置还可以，附近吃的也挺多，装修也还行，就是电视太小没几个台，卫生间毛巾杆是坏的，一碰都掉了，屋里挺大，但是比较黑，一共就两个小射灯，没窗户，特别闷', '短评打分': 4}
{'短评内容': '很不错的酒店，周边配套设施很全', '短评打分': 5}
{'短评内容': '设施太差', '短评打分': 2}
{'短评内容': '很好，屋子很大，设备齐全，服务态度好，不错不错。', '短评打分': 5}
{'短评内容': '地处中山路，靠近有轨电车站，离西安路商业区不远', '短评打分': 5}
{'短评内容': '地处中山路，靠近有轨电车站，离西安路商业区不远', '短评打分': 5}
{'短评内容': '地处中山路，靠近有轨电车站，离西安路商业区不远', '短评打分': 5}
