{'descr': '还算可以吧！', 'star': 3}
{'descr': '房间很大 环境也很好 就是插座少了点 只有电视那边有', 'star': 5}
{'descr': '环境很好！价位实惠！周边小吃、逛街都极为丰富！', 'star': 5}
{'descr': '酒店很好，位置好，还很大。很干净！', 'star': 3}
{'descr': '除了房源比较紧张   其他都好    房间很大    很干净   服务也很到位', 'star': 5}
{'descr': '房间清洁，服务ok。房间清洁，服务ok。', 'star': 5}
{'descr': '虽然地理位置不太好找，但是酒店很干净，很安静，下次还去这里住。', 'star': 5}
{'descr': '房间挺好的   很大  床也大。。。一直都有热水。。。\n但就是没便宜多少   只便宜了3元   \n其他的都很好', 'star': 5}
{'descr': '酒店很小，就招待所的规模，交通不大方便，位置不好找', 'star': 1}
{'descr': '酒店很小，就是个招待所的规模，交通不大方便，不好找', 'star': 1}
{'descr': '小是小了点 但是很静 总体说和价位很匹配', 'star': 5}
{'descr': '这个宾馆的设施还可以楼内比较干净，房间内面积也可以，窗户很大、价格也便宜。周围有几所大学，有一个市场买吃的很方便，交通也很方便。不足是楼层的服务应该做好，那天我是晚8点30分入住的枕套是脏的、床垫是坏的、杯子没有刷、厕所恭桶内还有尿液，椅子的布面也很脏。希望能尽快改好！', 'star': 5}
{'descr': '地理位置优越，吃住行都很方便，卫生条件比较差，三天才换一次床上用品', 'star': 5}
{'descr': '还算干净，就是房间有点小 ，离市区很近 不错', 'star': 5}
{'descr': '第二次住了 还可以 网线不能用 估计是接口坏了 上次可以的', 'star': 5}
{'descr': '宾馆还不错 位置也比较靠近主干道\n很干净 服务态度也不错\n', 'star': 5}
{'descr': '房间挺干净的，也很舒适的，就是离车站远些', 'star': 5}
