{'短评内容': '入住了麻烦确认下', '短评打分': 3}
{'短评内容': '各方面都可以挺好的', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '很好，实惠卫生干净', '短评打分': 4}
{'短评内容': '不会有下次的，真心差，进大厅，服务员估计刚被领导骂完，93元，心想这个价格是这样的了，但是付款时，携程的佣金20是客人给的，真晕，好吧，进去房间，那拖鞋有脚气臭的味道，浴巾估计是擦脚用的，其它的看图片吧，不想说多了，真心差，唯一值得赞的就是房间超大，像农村房的大', '短评打分': 1}
{'短评内容': '环境设施普通', '短评打分': 3}
{'短评内容': '周围环境比较吵，酒店设施也比较旧，临时住一晚就算了，价格还算便宜，毕竟一分钱一分货，想要环境好就要多出钱，没办法！', '短评打分': 3}
{'短评内容': '房间很大。', '短评打分': 5}
{'短评内容': '体验非常差啦！', '短评打分': 2}
{'短评内容': '设备太落后', '短评打分': 1}
{'短评内容': '房间太大，显的空荡的，空调制冷不行。', '短评打分': 3}
{'短评内容': '再次住，宽敞，干净，不错', '短评打分': 4}
{'短评内容': '环境不错，比较干净', '短评打分': 5}
{'短评内容': '环境还行，就是早餐不是说送房间吗？没送', '短评打分': 3}
{'短评内容': '房间确实很大，感觉有点浪费！', '短评打分': 5}
{'短评内容': '很大..价格不贵...\n只是..浴室卫生很待改善..', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  ', '短评打分': 5}
{'短评内容': '酒店够大。但是装修很差。没法看。', '短评打分': 3}
{'短评内容': '如了房间大丶就什么没有优点乀没停车场丶没电脑丶房价138不算少了\ue815这样的酒店京东最好不要跟他们合作丶丶丶', '短评打分': 1}
{'短评内容': '很不错，房间很大，隔音也还好，很干净，让人感觉很舒适，还可以上网。不过另人遗憾的就是一次性洗刷用品还要出25元，加在一起就不够划算了，不过可以自己带~~', '短评打分': 5}
{'短评内容': '很好，房间大空气好，周边环境也不错', '短评打分': 3}
{'短评内容': '房间很大，交通也算方便。\n不过这边的公交车司机，开车很猛啊。\n走的时候落下了手机，幸亏是落在酒店，要是掉其他地方就没了~~~', '短评打分': 5}
{'短评内容': '优势：价格相对便宜。\n房间好大噢。附近吃方便。\n缺点：有点异味', '短评打分': 5}
{'短评内容': ' 酒店总体感觉还不错，房间够大，风景挺好，就是进来有股霉味，网路速度较慢。', '短评打分': 3}
{'短评内容': '很不错唷！房间夠大，价格不贵，可算是物超所值。', '短评打分': 5}
{'短评内容': '客房够大。但洗漱热水不行。床被不够。望改善下呀', '短评打分': 5}
{'短评内容': '非常一般，除了便宜之外，乏善可陈，不过如果你不在乎酒店是否豪华，就可以考虑，虽然没有值得夸奖的地方，也没有什么特别可憎之处', '短评打分': 1}
{'短评内容': '房间很大很干净，卫生间很干净，有独立的淋浴区，还配有电吹风，很贴心！！不足点就是房间的灯暗了点。158的价格十分划算。', '短评打分': 3}
{'短评内容': '房间不错，宽敞明亮，还有阳台，交通便利，下次有机会还会选择该酒店。', '短评打分': 5}
{'短评内容': '酒店房间超大，偶数房号的阳台景观不错。只是房内很大烟味，位于路边有些吵闹，且淋浴室墙面该刷洗干净些。', '短评打分': 3}
{'短评内容': '房间比较大，有点点旧，总体还不错，周边交通还算方便', '短评打分': 5}
{'短评内容': '酒店不错，卫生也很好，房间特别大，就是前台服务在沟通上存在问题', '短评打分': 5}
{'短评内容': '酒店还不错，价格也不高，就是前台服务态度不够好。', '短评打分': 5}
{'短评内容': '房间真不错，地方大舒服', '短评打分': 3}
{'短评内容': '该酒店房间面积较大，卫生也很好，值得推荐，值得一住！', '短评打分': 5}
{'短评内容': '该酒店房间面积较大，卫生也很好，值得一住。', '短评打分': 5}
{'短评内容': '酒店不错，床比较软，房间比较大，物超所值。', '短评打分': 5}
{'短评内容': '這次安排的房型比以往小一點，但是感覺剛好不會太空曠!住起來感覺就好一點!', '短评打分': 5}
{'短评内容': '还不错，就是空调噪音太大，制冷效果不好。', '短评打分': 5}
{'短评内容': '真巧給了跟上次同一間房，所以感覺一樣可以!但是有逃避開發票的意圖!', '短评打分': 5}
{'短评内容': '不错,不过打的回酒店很多司机都说不会松佛路,奇怪呀~', '短评打分': 5}
{'短评内容': '房間很大，大得感覺空曠，價格便宜，環境算衛生!適合商務及居家旅遊!', '短评打分': 5}
{'短评内容': '十好', '短评打分': 3}
{'短评内容': '配套设施不错，卫生也可以，但是就是酒店的服务很差。而且到现在发票也寄给我，地理位置还行离我办事的地方比较近。', '短评打分': 3}
{'短评内容': '设施简单了点，显得房间很空旷，但哪房间确实很大，还带阳台，就这价位总体来说还马马虎虎啦。', '短评打分': 5}
{'短评内容': '房间非常大，148元的价格很值。只是卫生间里边的浴巾像是有点旧。哈哈', '短评打分': 5}
