{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '醉了！明明没有放的东西说有。没人会为那几元钱的东西乱说。自己的服务不行，怪谁。住了几次都没毛巾。感到无语。表示以后不在住了！', '短评打分': 2}
{'短评内容': '卫生间热水极不稳定要等半个小时才来而且还一会热一会冷用快毛巾都要收费', '短评打分': 3}
{'短评内容': '第一次去宝鸡。瞬间对宝鸡的好感降低了很多。由于交押金的问题，服务员态度不好，因为太晚了就放弃重新找房了，进去才发现门内扣坏，服务员说没事很安全，住吧怎么怎么的，感觉很不耐烦的样子。态度好一点会怎么 ', '短评打分': 3}
{'短评内容': '不好，很不满意。', '短评打分': 3}
{'短评内容': '无早餐', '短评打分': 4}
{'短评内容': '塔吉克族快乐', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '卫生很好,离火车站很近.', '短评打分': 5}
{'短评内容': '第二次住了，一如既往的好', '短评打分': 5}
{'短评内容': '很不错，和朋友几个小聚，打会牌', '短评打分': 3}
{'短评内容': '卫生间没有插座，距高铁站很近，门店跟携程沟通不好，订单总是前台说查不到，让找客服。其他挺好……下次还会去住。携程网不错，赞！！！！', '短评打分': 4}
{'短评内容': '很一般，靠近国道货车多，内部看上去就是不干净，心里感觉问题吧！这种房间国庆期间居然卖170多，太不值了。', '短评打分': 3}
{'短评内容': '好，各方面都还行。卫生都挺好。', '短评打分': 3}
{'短评内容': '环境还可以，舒适度还不错', '短评打分': 3}
{'短评内容': '挺好找的，周围吃饭的地方也挺多，价格也比较便宜。酒店干净，车是停在马路边，但有人看守。有早餐但很一般。自驾的推荐入住。', '短评打分': 4}
