{'短评内容': '前台王琦服务很好', '短评打分': 5}
{'短评内容': '前台王琦服务很好', '短评打分': 5}
{'短评内容': '酒店房间较小，大床房的大床也不大，没有沙发。早餐还行。外部环境还可以，转转空气不错。晚餐就在酒店点菜的，服务一般，服务员服务态度有待提高。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店环境和周边环境都很赞', '短评打分': 5}
{'短评内容': '环境很赞，适合度假', '短评打分': 5}
{'短评内容': '还在入住中，环境很好，很安静，餐厅环境很好，价格也合理，非常适合家庭、朋友聚会出游，下次还会来', '短评打分': 5}
{'短评内容': '靠近景区，环境好，设施和服务很好，附近是藏书羊肉的本土，交通要自己开车方便。房间价格在淡季时如果下降点会更有吸引力。', '短评打分': 5}
{'短评内容': '非常适合一家人住宿，周边旅游景点较集中', '短评打分': 5}
{'短评内容': '酒店环境总体感觉蛮好的，只是餐厅里的菜咸了点，不是苏州味道，酒店大门外的绿化带里还有一条塑胶跑道可以晨跑哦。', '短评打分': 5}
{'短评内容': '可能正因为不是那种国际连锁型和管理，酒店能够放在了宁静，优雅，清新，翠绿的穹窿山区。而交通也便利！  虽然酒店没有通常四星级的功能设施，作为周末休闲的去处正好合适。', '短评打分': 4}
{'短评内容': '这里环境优雅，设施精致，菜的味道也很好，早餐也相当丰盛。三/四星级的价格，享受五星级的待遇，非常超值！下次还会选择入住！    ', '短评打分': 4}
{'短评内容': '这里环境优雅，设施精致，菜的味道也很好，早餐也相当丰盛。三/四星级的价格，享受五星级的待遇，非常超值！下次还会选择入住！    ', '短评打分': 4}
