{'descr': '房间不咋的，小旅馆一样', 'star': 4}
{'descr': '小旅店的风格。。。。', 'star': 1}
{'descr': '旧，地毯太脏，厕所下水不畅，洗澡地上淹水，早班飞机，凑合一晚', 'star': 2}
{'descr': '酒店设置陈旧，隔音效果不好', 'star': 3}
{'descr': '酒店太过于偏僻 找了半天  路灯也没有 差点摔跤', 'star': 3}
{'descr': '晚上突然停电，但是整个重庆下着大雪，没有空调冻得不行。出去问管理员，说整个楼都停电了，正在送电，让回去等。结果一晚上没来，我是又冷又困，就这么睡过去了。第二天醒来，发现还是没电，再去问管理员，结果发现其他房间都有电了，我的房间电路坏了！我也真是醉了，这是我出门在外住的最糟糕的一晚！', 'star': 2}
{'descr': '说实话多一般的，卫生间排水系统也有问题，水漫金山。沐浴乳也不够…但是老板比较热情', 'star': 4}
{'descr': '环境不错嘛，服务员态度也比较亲热大方，总体感觉还是蛮愉快的一次旅程', 'star': 5}
{'descr': '相当好哦，室内宽敞，色调唯美', 'star': 3}
{'descr': '一般。接待处不怎么样，走廊看着还行。房间比较干净，就是洗澡水不够热。', 'star': 3}
{'descr': '外面看来不太。里面可以，舒适', 'star': 5}
{'descr': '外部看起来很一般，可以说有些破旧，因为是在一座旧楼里面，招牌有些吓人，但里面装修的很不错，和外面看起来，差异非常大，虽说价钱有些贵，但是还是值得的', 'star': 5}
{'descr': '外部看起来很一般，可以说有些破旧，因为是在一座旧楼里面，招牌有些吓人，但里面装修的很不错，和外面看起来，差异非常大，虽说价钱有些贵，但是还是值得的', 'star': 5}
{'descr': '酒店的位置和设施都很好，房间很干净，也很新，周围还有好吃的夜市，值得推荐。', 'star': 5}
{'descr': '酒店的位置和设施都很好，房间很干净，也很新，周围还有好吃的夜市，值得推荐。', 'star': 5}
{'descr': '环境一般，下水管道堵塞，噪音大，电话不通，只是便宜', 'star': 1}
{'descr': '环境一般，下水管道堵塞，噪音大，电话不通，只是便宜', 'star': 1}
{'descr': '酒店离机场很近，楼下打车、座公车也很方便。设施也还行。就是刚去的时候不知道怎么进去，看到很大的指引牌居然是从低下车库的电梯进去，有点怕怕的。后来知道1楼的商场里面的电梯也可以进。还有酒店的服务员好像不是很懂网上预定的订单，确实是我在网上因操作问题，定了4次取消了2次，去的时候前台说我定的酒店取消了，后来我还跟他解释说了，他也没懂，但还好还有房的，不然朋友第二天一早的飞机可就麻烦了。', 'star': 5}
{'descr': '酒店离机场很近，楼下打车、座公车也很方便。设施也还行。就是刚去的时候不知道怎么进去，看到很大的指引牌居然是从低下车库的电梯进去，有点怕怕的。后来知道1楼的商场里面的电梯也可以进。还有酒店的服务员好像不是很懂网上预定的订单，确实是我在网上因操作问题，定了4次取消了2次，去的时候前台说我定的酒店取消了，后来我还跟他解释说了，他也没懂，但还好还有房的，不然朋友第二天一早的飞机可就麻烦了。', 'star': 5}
{'descr': '内部环境不错，就是出入口不好找！', 'star': 3}
{'descr': '内部环境不错，就是出入口不好找！', 'star': 3}
{'descr': '房间设施不错。就是没路面大厅。门小不好找。带客人住不上档次。', 'star': 3}
{'descr': '房间设施不错。就是没路面大厅。门小不好找。带客人住不上档次。', 'star': 3}
