{'短评内容': '环境优美！在商业街里！', '短评打分': 5}
{'短评内容': '续住一晚！我们是老两口出游，个人感觉是一个非常棒的旅店！值得推荐！位置不错，服务温馨周到，交通便利！', '短评打分': 5}
{'短评内容': '非常棒的旅馆，价格比周边几个快捷酒店都便宜，服务也很周到温馨，虽没有早餐，但酒店位置非常好，周边的小吃店较多，价格不高，大约八元就吃的很好了，交通便利，出门就是公交车站。由于出门旅行，白天不住只是晚上睡觉，所以是旅游者首选的住宿点，在网上预定时是因为从机场出来晚上不好找旅馆，原打算凑乎一晚再换地方，结果一住就是三晚，呵呵。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店位置好，出行方便，价格合理，适合家人经济出行，不含早餐', '短评打分': 5}
{'短评内容': '经济实惠型酒店，还可以吧。', '短评打分': 5}
{'短评内容': '好可以吧，比较实惠。', '短评打分': 5}
{'短评内容': '住得舒适，于是加了两晚。', '短评打分': 5}
{'短评内容': '很不错的实惠酒店，很干净。', '短评打分': 5}
{'短评内容': '便宜，实惠', '短评打分': 5}
{'短评内容': '出差住了好长时间 一般吧 酒店', '短评打分': 4}
{'短评内容': '好，跟图片的一样', '短评打分': 5}
{'短评内容': '总体来说一般般偏低点吧，偶尔住住可以！卫生，服务，设施都很一般。处于市中心叫繁华地段，但吃饭不方便。', '短评打分': 4}
{'短评内容': '别的还好，就是蚊子太多，一夜睡觉就在耳边嗡嗡的响！', '短评打分': 5}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '行', '短评打分': 4}
