{'短评内容': '设施太老，基本没有服务，房间电话通电没声。', '短评打分': 1}
{'短评内容': '卫生情况确实很差，新更换的床单上就有新污渍，空调开着是绝对睡不着觉的，声音奇大，位置还好，步行两分钟到海边、公交站点，十分钟到火车站，旁边有利群购物超市、商场，吃早点也非常方便：驴肉火烧、油条豆腐脑、小笼包都在不远处‘步行即可！非旅游旺季去还凑合，房价就200左右，我们住的398的家庭房，感觉非常非常不值啊！', '短评打分': 1}
{'短评内容': '这家酒店优点就在于离海边、火车站都很近，交通便利。但说实话卫生条件和整体设施都很差，卫生间味道很重，离街道太近，晚上噪音很大，影响睡眠，我们定的家庭房，住了一天就换酒店了。奉劝爱干净、爱安静的人士千万不要定这家酒店，不要图便宜，真的会后悔的！', '短评打分': 1}
{'短评内容': '卫生间有异味，离火车站还是需要打车的，但周围公交车还是很多的，这点还是比较方便的。', '短评打分': 1}
{'短评内容': '酒店设施一般，不过地理位置很好，门口就有一个大型超市，购物很方便。', '短评打分': 5}
{'短评内容': '地理位置不错，靠近海边，步行到栈桥也就10分钟路程。', '短评打分': 5}
{'短评内容': '住了2天，离海边非常近-100米左右，对面有超市-小吃-健身房，很方便。酒店设施很破，卫生间有异味，住了1天想换其他酒店订不到。性价比不高', '短评打分': 1}
{'短评内容': '服务一般，酒店设施真的需要改善，反正不太值', '短评打分': 1}
{'短评内容': '优点：离海边很近，到栈桥、火车站可以步行，我都是带着小孩步行走的，酒店卫生尚可。\n缺点：只是附近吃饭不太方便，或许我没找到吧。酒店旁边有一个旅行团定点吃饭的地方，每天早上6点多就有旅游大巴带游客来吃饭，会有点吵。\n', '短评打分': 5}
{'短评内容': '房间太小，设备陈旧，无性价比可言，除位子尚可外，再无吸引入住的理由！', '短评打分': 3}
{'短评内容': ' 还蛮干净 离火车站和栈桥都很近 交通比较方便 离栈桥近 但是离主要的大型浴场有段距离了 房间可以看到海 赢家比挺高 ', '短评打分': 3}
{'短评内容': '酒店优点：\n1.地理位置佳，交通购物很方便\n1）出门往前走就能看到大海，沿着大海走不仅能看到海滨浴场而且不远处就是著名的栈桥景点（晚上沿街还有夜市）\n2）酒店对面就是利群购物广场，类似上海的好又多，或华联吉买盛等中型超市，楼上还有美食广场（美食广场里吃的东西很便宜，但个人认为没什么好吃的东西）\n3）酒店门口设有较多公共汽车站点都能通往青岛的一些主要著名景点：鲁迅公园、八大关、市政府、青岛海洋极地世', '短评打分': 5}
