{'descr': '很干净的地方', 'star': 5}
{'descr': '还行，挺好的', 'star': 5}
{'descr': '不能加床，服务态度好', 'star': 5}
{'descr': '出行方便     服务态度非常好    干净整洁    5分评价', 'star': 5}
{'descr': '我在这里的时间就是在这里的时间是在这里的时间就是这样吧，你也可以在这里的时间和你在哪里呀，嗯，不知道', 'star': 4}
{'descr': '非常棒，很满意', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '挺好。干净，就是房间小点，早餐一般。', 'star': 5}
{'descr': '还好吧，火车站附近的如家条件没有其他地方的好，没注意是无窗的，特别冷，又加钱换的有窗的，以后一定看清楚了再下单', 'star': 5}
{'descr': '服务挺好的，房间干净。', 'star': 5}
{'descr': '服务挺好的，房间也干净。', 'star': 5}
{'descr': '还不错就是不隔音', 'star': 5}
{'descr': '卫生要加强，前台服务好', 'star': 4}
{'descr': '住着感觉不错，又多住了一天！', 'star': 5}
{'descr': '周边交通便利，出行很方便，总体感觉不错！', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '位置不错价钱合适', 'star': 5}
{'descr': '环境还可以，干净', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '不错', 'star': 4}
{'descr': '地点好，交通方便，周围配套设施完善。服务，环境都不错！', 'star': 5}
{'descr': '相当的不错', 'star': 5}
{'descr': '性价比不错，我的是7楼，进去有点味道，开窗户后还可以', 'star': 5}
{'descr': '很好的，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '我很喜欢去住这家酒店，服务很不错！是我出差常去的地方！', 'star': 5}
{'descr': '很不错，干净舒服！我会出差常去住的地方！', 'star': 5}
{'descr': '大经路的如家酒店，位置很好，离步行街很近，去文化广场也很方便；环境很不错，简洁，干净，卫生很好。酒店很安全，没有骚扰电话，很好。\n希望下次去再次入住。', 'star': 5}
{'descr': '首先，照片要过几天回去了才能上传，因为出来没有带数据线！\n\n其次、酒店位置比较安静，和长春市103中学前后院！距离火车站也比较近，打车6元。在路对过长春市房地交易中心做361、363一块钱就能到长春站，着实很方便！\n唯一不好的一点就是，该酒店位置在大经路，白天除了公交车，其余社会车辆都是单向行驶、、打车不是很方便！\n', 'star': 5}
{'descr': '如家酒店的服务态度真的很好，入住的时候酒店正在改无线网，房间内的有线网再能快一些就好了。', 'star': 5}
{'descr': '还不错 卫生环境都还可以，就是房间有点偏小，去哪里都挺方便', 'star': 5}
{'descr': '真是很干净，环境也很便利，有超市公园什么的，也不远，还有服务也是超好哦，\n因为没去过不是很熟悉路况，还是很晚到的地方，咨询的客服很耐心，信心哦', 'star': 5}
{'descr': '环境还是很好的，而且价格很便宜。第一次住 确实不错呀', 'star': 5}
{'descr': '挺好的，就是电视少点。。。信号一般。。。其他都挺好', 'star': 3}
{'descr': '卫生环境不错，房间挺大，网速再快点就更好了，下次还会再来', 'star': 5}
{'descr': '酒店的设施和服务真心不错，就是吹风机少了一些。借了几次都没有借到。', 'star': 5}
{'descr': '环境挺好，就是离车站稍远', 'star': 3}
{'descr': '第二次入住 位置环境和卫生都很不错 价位合理 就是隔音效果太差了', 'star': 3}
{'descr': '房间不错，干净舒适，给我的感觉特别好，这不我又开始订房了!我以后每次出差都会住这！', 'star': 5}
{'descr': '房间干净，卫生，服务挺好，关键餐厅菜比一般的如家多一点！', 'star': 5}
{'descr': '比较旧的店 最近还涨价了', 'star': 3}
{'descr': '比较旧的宾馆 毛巾都是别的店替下来的', 'star': 3}
{'descr': '酒店还不错 京东订酒店有积分送', 'star': 5}
{'descr': '酒店环境还不错 就是交通不太方便', 'star': 5}
{'descr': ' 房间比较大，如家一如既往的干净，态度好。这家店唯一的缺点就是网络太慢！', 'star': 3}
{'descr': '房间干净,价位合理,交通方便', 'star': 3}
{'descr': '很卫生很不错 主要是隔音效果不错 而且价格便宜', 'star': 5}
{'descr': '酒店还不错 服务态度好 环境还可以  以后就住这了', 'star': 5}
{'descr': '挺好，以后就住这个了，卫生环境挺好，也不那么贵', 'star': 5}
{'descr': '酒店干净,网速较慢。', 'star': 3}
{'descr': '酒店卫生条件不错，服务态度也挺好！早餐特别好！', 'star': 5}
{'descr': '酒店不错，有吃有住，房间很满意，这个价是长期出差的好住处。', 'star': 5}
{'descr': '酒店装修很好，房间大，床也大，服务很好，就是热水要改进。', 'star': 5}
{'descr': '酒店位置还可以，房间很大，设施也可以，问题就是暖气温度不太高，还要热水好像不是全天供。', 'star': 5}
{'descr': '地理位置不错，走一个路口就到重庆路了，到火车站也是起步价。问房间有没有窗户的时候前台的小姑娘直接说他们家都有窗户···好吧，我山炮。刚下了大雪，房间没暖气，有点冷。', 'star': 5}
{'descr': '缺点:室温低,要开空调.优点132的房间,宽敞,挺好.只是不知2.29日入住的,每天有30元的返现为何3月5日还没有到账,', 'star': 5}
{'descr': '如家作为连锁酒店，还是很值得信赖的。环境不错，服务也很好，嘿嘿，很实在的选择', 'star': 5}
{'descr': '交通方便，安静。环境一般，网速慢。', 'star': 3}
{'descr': '位置很好，交通也挺方便的，到火车站机场都很方便，卫生一如既往的好。', 'star': 5}
{'descr': '环境很好，价格合理、住着舒服，感觉很好、下次再来', 'star': 5}
{'descr': '服务不错，就是冲凉水太凉', 'star': 3}
{'descr': '位置稍有些偏，但是服务和卫生都很好，床单很整洁-每次住酒店我都会特别关察床单和枕头，这家看着很舒心。', 'star': 3}
{'descr': '如家向来以干净著称，就是地方很小~还是很满意的', 'star': 5}
{'descr': '房间里面的暖气不热，超冷，都没办法洗澡。。。。。。', 'star': 1}
{'descr': '前台服务态度很好，舒适，楼下的餐厅饭做的不错，就是电视有点落伍，应该换成液晶的，屋子里面才会显的宽敞些。', 'star': 5}
{'descr': '挺好的 服务啥的都不错 室温正合适，值得入住', 'star': 5}
{'descr': '不错不错的，上次来也是住的这里。环境还凑合，交通也蛮方便的', 'star': 5}
{'descr': '物有所值呀！希望下次还能有时间再去看看。', 'star': 5}
{'descr': '这家酒店比较好，像家一样。酒店在粉刷墙壁。309屋内较冷，后来向总台要了一床棉。', 'star': 5}
{'descr': '像家一样', 'star': 3}
{'descr': '位置不错，还算干净，只不过地方有点小，不过值得支持一下，价格公道', 'star': 5}
{'descr': '酒店服务很，房间隔音不好', 'star': 3}
{'descr': '隔音不好可能是经济型酒店的通病，这家如家也比例外。早上很多其他住客在楼道里大声攀谈，根本不顾及其他休息的客人，而且如家的工作人员也不会提醒他们小点声，这让我最是气愤。以后只要看到评论说隔音效果不好的酒店我是不考虑了。', 'star': 5}
{'descr': '长春的如家很多，这家算是最便宜的了。房间也是中规中矩的如家特色。可以说性价比比较高。酒店靠近一所学校，早上被做广播操的音乐吵醒，不过我却不气愤，仿佛又回到的童年时代。', 'star': 5}
{'descr': '西塘之行，地毯式海选了一下，被西风瘦马连锁客栈所吸引，既然连锁，就应该不同于老百姓的民居，应该可以，就定了个标间。看介绍楼下是个酒吧，听说去西塘必须泡吧，这不正好吗？到了后，首先觉得位置还不错，位于西塘最繁华的酒吧街，我住的新店，闹中取静，出行方便，到酒吧只1分钟路。进了房间，第一反应100多的价格绝对超值。设施很完善也很新，热水很足。酒吧也很大，乐队阵容强大，气氛很爽，西塘也很美，下次还会去。', 'star': 5}
{'descr': '离重庆路挺近的～然后房间也还好…总之满意…', 'star': 3}
{'descr': '很干净的床单和被子，裸着谁一点都不痒痒。就是不太好找', 'star': 5}
{'descr': '酒店规模比较小，主要考虑坐机场大巴，距离全安广场的民航大巴走路5-10分钟。不过后来发现全安广场旁边就有一家如家酒店，朋友们也可以住那家。隔音效果非常一般，隔壁小姐的声音清清楚楚。还有如家现在的浴室为什么都用布帘子呢？洗澡总是粘在身上，还是玻璃好。难道节省成本？还有就是没有吹风机，这是一般酒店都会配的，北京的住过的如家也没有，奇怪！', 'star': 5}
{'descr': '条件还可以 比较干净的，床非常的大 哈哈\n晚上下面有很多人在k歌，不过过了十二点还好，累了睡着了也就听不见了 \n窗帘的遮光效果很好\n总的来说还可以了\n', 'star': 5}
{'descr': '房间还算干净，地理位置不错。就是隔音效果有一点点差、但是总体来说还是不错的。值得去。价格也算公道。以后住的话，还是回选择这里', 'star': 5}
{'descr': '在大经路如家住了3天，感觉如下：地理位置挺好，距离火车站很近，距离繁华地段也相当近，周边有不少吃饭的地方，如家一直不错！', 'star': 5}
{'descr': '还行！房间比较干净，也够宽敞，价格也不贵。就是早餐的品种太少。', 'star': 5}
{'descr': '这件特价房环境还好 但除了小之外隔音效果也不好 ', 'star': 5}
{'descr': '房间环境尚可  其他感觉一般般  没特殊情况下不会优先考虑', 'star': 1}
{'descr': '经济划算，地理位置好，去哪都方便，毛巾感觉洗干净了但是上面有以前留得印记', 'star': 5}
{'descr': '405的空调不制冷，特惠房，一分钱一分货，其他方面都还挺好的', 'star': 5}
{'descr': '住宿在酒吧上面。音乐声响到下半夜，无法入睡。', 'star': 3}
{'descr': '床很大 睡三个人都没有问题 前台的服装貌似是全国统一的 哈哈', 'star': 5}
{'descr': '以前入住过MOTEL168，但是房间还是如家的大，推荐。', 'star': 5}
{'descr': '酒店位置非常好，交通便利，服务态度一流，绝对推荐', 'star': 5}
{'descr': '就在永宁桥对面，逛起来很方便。\n楼下酒吧，隔壁卡啦OK，晚上比较吵。\n对面正在装修，早上很早就开工。', 'star': 5}
{'descr': '附近的学校放假,挺安静的,不错', 'star': 3}
{'descr': '服务员态度非常好，连续住了两天，值得推荐给各位朋友', 'star': 5}
{'descr': '价格比较适中，位置也还可以，值得推荐，下次来了还会住这边，办事挺方便的！', 'star': 5}
{'descr': '整体都不错，离重庆路商业区很近，公交购物也都很方便！', 'star': 5}
{'descr': '没什么其他说的，环境不错！ 卫生也很好！房间没有味道！', 'star': 5}
{'descr': '交通方便,但是车位少点.背靠学校,不利于睡懒觉.', 'star': 3}
{'descr': '干净卫生，安静。\n上网速度有点慢，楼下餐厅一般', 'star': 5}
{'descr': '挺好的，温馨干净，服务态度好，设施齐全。推荐~', 'star': 5}
{'descr': '已入出住。', 'star': 3}
{'descr': '环境很好，已经不是第一次住了，只是卫浴有点小~~~~~~~~下次还回去的', 'star': 5}
{'descr': '晚上太吵啦，洗手间有味道，总的来说一般般', 'star': 1}
{'descr': '没有吹风机', 'star': 3}
{'descr': '老板给我换了家', 'star': 3}
{'descr': '很好,很温馨，浴室很周到。隔音不太好。', 'star': 3}
{'descr': '花雕床比想象中舒服，138价格合理，老板和店员态度都很好。地处酒吧街所以夜里比较热闹，出门过一个桥就是西街。298的套餐不是很实惠，夜游船票全价才20元，鸡尾酒一般般。', 'star': 5}
{'descr': '很干净，服务态度也很好，交通方便，离重庆路很近', 'star': 5}
{'descr': '如家风格挺好的，价格挺合适的，房间也较大张明', 'star': 3}
{'descr': '太闹，。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '不错 挺好 的  位置好 便宜 恩可以考虑住宿 ', 'star': 5}
{'descr': '还可以，价格便宜，然后呢，离商业街重庆路比较近，交通还方便', 'star': 5}
{'descr': '环境不错，只是在退还押金是大家要看好真假钱……', 'star': 5}
{'descr': '酒店很干净，前台服务太度也很好，浴室有点冷，沐浴露味道不好，其它的都挺好的。以后会常利用的。', 'star': 3}
{'descr': '晚上没有睡好。太吵了。边上是酒吧。晚上都2点多了还有人在歌。住的房间还可以。水也很热。', 'star': 1}
{'descr': '环境不错，服务也很好，没有别人说的那么吵，当时想找个阳面的房间，服务人员马上给安排了，再次感谢啦！', 'star': 5}
{'descr': '房间比较小 不过很干净  住着很舒适 洗手间比较冷 不过设施很全  也很干净 总体来说比较不错  下次还会选择', 'star': 5}
{'descr': ' 太吵', 'star': 3}
{'descr': '房间非常小，设施也非常非常的简单，空调不知道为什么没有热风，而且房间的隔音效果很不好啊，听到很大的一些不知所谓的声音，影响休息。', 'star': 1}
{'descr': '太吵了，旁边就是学校，总能听见上下课的铃声，休息不好', 'star': 5}
{'descr': '每次去长春都会在这里，很不错的地方！附近有逛街的地方，还有很多美食哦，晚上在万达看完电影走路回去更有意境哦！', 'star': 5}
{'descr': '环境不错    有点小', 'star': 3}
{'descr': '感觉还算可以吧，距离重庆路很近，也不吵，还不错啦', 'star': 5}
{'descr': '就是房间小了点 地理位置比较偏 那条路不好打车 ', 'star': 5}
{'descr': '很干净，舒服，就是冬天可能窗户有点漏风，有点冷', 'star': 5}
{'descr': '大经路店的服务员热情，服务周到，环境优雅，房间干净，还有停车位，我喜欢这里', 'star': 5}
{'descr': '房间比较小 不过位置还可以 卫生和服务一般吧 比较暖和', 'star': 5}
{'descr': '很满意。', 'star': 3}
{'descr': '比四马路那家的强多了！！！！！建议大家 还是选择 大经路这家  ', 'star': 5}
{'descr': '不错，有一种 家的感觉，很棒的感觉。你会喜欢上这里的', 'star': 5}
{'descr': ' 打车不怎么好打 单行线 屋里全是臭脚丫味 不好', 'star': 1}
{'descr': '位置不算清晰。酒店门前比较滑，特别是斜坡处，没有作处理。其他算不错，不过比起哈尔滨的另一分店还是有点差距。服务态度不错。', 'star': 5}
{'descr': '服务不错，就是不含早餐，客户稍小，另外长春的供暖不好，有点冷。', 'star': 5}
{'descr': '洒店服务态度很好,比较干净。不足之处是房间太小。', 'star': 3}
{'descr': '这个酒店还可以很干净也很安静服务态度也很好', 'star': 5}
{'descr': '冬天房间有点冷！其他的都还不错，性价比挺高的了', 'star': 5}
{'descr': '环境很好值得入住', 'star': 3}
{'descr': '如家一贯是比较干净的，这个价位的酒店如家是首选了。', 'star': 5}
{'descr': '感觉还可以吧 标准的如家的配置 跟价钱相当', 'star': 5}
{'descr': '很卫生，设备齐全，很不错的选择，价格也不贵', 'star': 5}
{'descr': '位置很方便，住处也很温馨，推荐入住，挺不错的', 'star': 5}
{'descr': '酒店地理位置不错，距离重庆路蛮近的，酒店内部条件也可以，经济...', 'star': 5}
{'descr': '暖气不太好 房子不暖和 其他都还不错 旁边是个小学 能听到打铃声', 'star': 5}
{'descr': '＋', 'star': 3}
{'descr': '隔音有点不好，房间总感觉有点不舒服，不错还凑合的', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '门口有大妈阿姨们在纽央歌，算是一个不错的风景咯。', 'star': 5}
{'descr': '还不错 比较方便 适合办事下榻 总的来说条件还可以吧', 'star': 5}
{'descr': '好评。 ``````````````好评。。。。', 'star': 5}
{'descr': '＋满意', 'star': 3}
{'descr': '一般，房间面积比较小，其他的还算不错，总的来说还不错吧', 'star': 5}
{'descr': '个人感觉还是不错的，出门就有一个超市，附近还有商场。', 'star': 5}
{'descr': ' 位置不错,走到重庆路就十分钟的样子。 重庆路那头就是卓展\n     坐机场大巴就是大经路到底的全安广场,过去也就三站路。\n标间大小还可以 。', 'star': 5}
{'descr': '总体来说还算可以吧，如果这个价位包含早餐会更完美。', 'star': 5}
{'descr': '价格环境方便都可以\n就是早上起的比较早 呵呵\n旁边是个学校 但是没大什么影响', 'star': 5}
{'descr': '酒店本身管理和卫生都不错，只是单行线有些麻烦，但八点以后是可以走的。。旁边有个学校，有时会有铃声，建议选不靠学校的那一面。', 'star': 5}
{'descr': '还行。 比较干净。到底还是如家，一贯的品质。就是订错了。。。。以为是机场巴士站的那个如家呢。只好将错就错了。', 'star': 5}
{'descr': '就是 外面走廊的声音 有点吵 好像像是 服务人员吧', 'star': 5}
{'descr': '可以，服务也很好！ \r\n就是价格相对来说有点贵！', 'star': 3}
{'descr': '还不错房间大小还好 就是网上订房安排的楼层和朝向最差的房间 过分', 'star': 5}
{'descr': '床很舒服，真的。网速一般，现在就是坐在如家的小椅子上呢。(*^__^*) 嘻嘻……。客房服务也不错。真的很好呢‘离附近的考试地点都很近’但是有一点不好  如家外面死单行道’打车很不方便的说。(*^__^*) 嘻嘻……，不过还是很好啦。真的不错！浴巾没有怪味道', 'star': 5}
{'descr': '不错 很干净 位置也不错，住起来很舒服下一次到长春一定还去\r\n', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '大经路的房间比四马路的便宜也大', 'star': 5}
{'descr': '位置稍微离市中心有点距离，因为单行线很不方便。环境还可以，房间有点小。备品干净。', 'star': 5}
{'descr': '房间太小，标间和大床房不是我要求的24平。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '床好舒服啊 比家里的还舒服 而且酒店旁边就有个超市 很方便 长春出租车起步价也不高 五块 去哪都不贵 所以住这里也行', 'star': 5}
{'descr': '服务员态度不好，吹风机太少，床很舒服，整体很温馨', 'star': 1}
{'descr': '有的房子整个一片墙都是被泡过的``有的房子还好```就是有点小小的味道``前台挺昏暗的```感觉不太好', 'star': 5}
{'descr': '含早餐会更好', 'star': 5}
{'descr': '非常不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '不错 很干净 位置也不错，住起来很舒服下一一定还去', 'star': 3}
{'descr': '门前是单行道，不太方便。楼下吃饭还是比较方便，早餐10元', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '酒店环境很好，管理很规范，用了消费卷以后很实惠', 'star': 5}
{'descr': '门口是单行线稍有点不方便，其他都可以，还有就是饭菜的量很足', 'star': 5}
{'descr': '房间小了点，上午还接过骚扰电话，南方还含蓄点，最多就是发点小卡片插在门上，没想到东北直接用语音，吓死我。。。', 'star': 5}
{'descr': '单行线，打车有点费劲，打车到这也得绕，其他都还不错', 'star': 5}
{'descr': '噪音大了点，环境还不错，設施也挺齊全，服務還可以~~', 'star': 3}
{'descr': '房间有点小，房间干净，有点不隔音，门前是单行线，打车有点麻烦，总体来说不错。', 'star': 5}
{'descr': '这家宾馆还是比较值得住的，环境优雅，交通便利', 'star': 5}
{'descr': '很干净，设施挺齐全，唯一一点不足，就是房间不隔音，环境很吵……', 'star': 5}
{'descr': '如家大经店很一般,在长春市性价比不值', 'star': 5}
{'descr': '挺好的，干净，离重庆路也不远。屋里有饮水机，连矿泉水都不用买了', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '还不错！干净，简洁', 'star': 5}
{'descr': '比较舒适干净，价位合理，是出差和旅游的首选。还是隔音效果差一点。位置离火车站挺近的。', 'star': 5}
{'descr': '门口单行线，稍有不便，留意黑心司机绕道。房间比较干净，隔音差。', 'star': 3}
