{'短评内容': '不错 热水很舒服 ', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈好', '短评打分': 5}
{'短评内容': '还可以，天花板有发霉', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '宾馆周围交通方便  出门几分钟就有公交站可直达银泰房间设施齐全 服务周到 宾馆位置也处于市中心地区出行方便', '短评打分': 4}
{'短评内容': '酒店卫生还可以，位置不错。房间面积Ok。', '短评打分': 4}
{'短评内容': '很不错的酒店，性价比高，老板人特好，对人热情，很喜欢这家店，点个赞?', '短评打分': 5}
{'短评内容': '房间还不错，电器啥都比较新。海口一', '短评打分': 5}
{'短评内容': '第一天房间有异味，第二天换了标间就没有了', '短评打分': 3}
{'短评内容': '行啊还可以挺舒服得啊', '短评打分': 5}
{'短评内容': '中！带劲！', '短评打分': 5}
{'短评内容': '国庆出游这个价格还不错，离市区步行一刻钟时间。房间比较陈旧，热水需要很久才能热，无线网很差。停车位是个院子，可以停五辆车左右。', '短评打分': 4}
{'短评内容': '前台服务很热情 但是酒店设施就是一般吧 比较旧位置很好 周围环境很不错 风景区很多 马桶坐便器上有油油的东西 有点恶心。', '短评打分': 4}
{'短评内容': '很安静，不错', '短评打分': 5}
{'短评内容': '受图片蒙蔽，将就住了一夜，果断换宾馆', '短评打分': 2}
{'短评内容': '这酒店还可以，很干净我喜欢，下次还住这里', '短评打分': 5}
{'短评内容': '宾馆地理位置相当不错.房间也还不错', '短评打分': 3}
{'短评内容': '环境挺好的老板也挺热情', '短评打分': 3}
