{'短评内容': '很好老去', '短评打分': 5}
{'短评内容': '环境服务都很好', '短评打分': 5}
{'短评内容': '酒店还不错，性价比挺高，电视节目很丰富，无线网也不错。不太满意的一点找不到手机充电器，如果能改进一下最好了，也怪我自己没带……', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没拖鞋，和服务员说了好多次没有结果，卫生间设施各种差，咱能换换硬件设施吗，地毯床还有衣柜差的不能再差，携程定的可能便宜吧，所以才这样。照片不想拍了，差的不用拍', '短评打分': 2}
{'短评内容': '家人一起出去玩，帮他们订的，他们说还不错，价格实惠，没有什么问题，住得还是比较舒服，环境也可以。大家可以放心住~', '短评打分': 5}
{'短评内容': '家人一起出去玩，帮他们订的，他们说还不错，价格实惠，没有什么问题，住得还是比较舒服，环境也可以。大家可以放心住~', '短评打分': 5}
{'短评内容': '家人一起出去玩，帮他们订的，他们说还不错，价格实惠，没有什么问题，住得还是比较舒服，环境也可以。大家可以放心住~', '短评打分': 5}
{'短评内容': '家人一起出去玩，帮他们订的，他们说还不错，价格实惠，没有什么问题，住得还是比较舒服，环境也可以。大家可以放心住~', '短评打分': 5}
{'短评内容': '家人一起出去玩，帮他们订的，他们说还不错，价格实惠，没有什么问题，住得还是比较舒服，环境也可以。大家可以放心住~', '短评打分': 5}
{'短评内容': '楼下就有饭店 吃饭挺方便', '短评打分': 5}
{'短评内容': '有停车场地，也安静。出去就是市中心。还可以，价格合理，房间隔音效果不是很好，酒店旁边就有好吃的，下次还会入住。', '短评打分': 4}
{'短评内容': '价格还是比较合理，位置离考试的学校很近，房间环境一般，其次房间隔音不好，有停车场地，出去就是市中心。不错，值得推荐。', '短评打分': 4}
{'短评内容': '环境卫生还行，服务员没人搭理你！洗潄用品质量较差，退房时间13点，有点早！', '短评打分': 4}
{'短评内容': '还行，性价比挺高的。', '短评打分': 3}
{'短评内容': '还行。      就是停车费劲。 想比较而言挺不错的', '短评打分': 5}
{'短评内容': '床上用品比普通房间新哦，性价比不错!', '短评打分': 3}
{'短评内容': '有点吵', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': ',上午入住金凤商务酒店406房间，房间很满意，硬件设施不错，下次还住这里', '短评打分': 3}
{'短评内容': '\r\n酒店还可以', '短评打分': 3}
