{'短评内容': '...pp', '短评打分': 5}
{'短评内容': '房间较少，枕头，被面似乎无换过有一股人气味，酒店周边环境不错，处于闹市范围内，交通、购物、食饭都很方便，性价比合理，对于床上用品要求不十分严格的是可以接受。', '短评打分': 4}
{'短评内容': '还好吧！干净，整洁', '短评打分': 5}
{'短评内容': '服务态度不错 卫生服务体系不错', '短评打分': 5}
{'短评内容': '还可以房间小没窗户', '短评打分': 4}
{'短评内容': '小而快捷，周边热闹，还有夜市', '短评打分': 4}
{'短评内容': '性价比可以，就是卫生不太干净，希望改善', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '性价比还是很好的', '短评打分': 5}
{'短评内容': '环境不错，卫生很干净。服务态度很好。', '短评打分': 5}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '一般搬', '短评打分': 4}
{'短评内容': '一如既往', '短评打分': 5}
{'短评内容': '房间不錯，值得去住，价格可以！', '短评打分': 5}
{'短评内容': '有点小，下次换旁边的锦江之星，晚上还有老鼠在头上的天花板跑来跑去，隔音效果不好', '短评打分': 3}
{'短评内容': '房间不大，毕竟价格这么低，就性价比还是可以的。', '短评打分': 5}
{'短评内容': '房间的床还可以，没有电话，没有大浴巾，价格很合适，周围吃饭方便。', '短评打分': 3}
{'短评内容': '环境还不错，干净整洁，就是房间太太太小了，一张床一个卫生间一张桌子的位置，没有多一点的地方', '短评打分': 3}
{'短评内容': '房间小小的，可是很温馨，住的是榻榻米，感觉很好', '短评打分': 5}
{'短评内容': '位置挺好，出门购物吃饭挺方便，房间设施比较新', '短评打分': 5}
{'短评内容': '价格便宜，隔音差点，对得起这个价格。', '短评打分': 3}
{'短评内容': '服务不错，挺热情的。但是房间的隔音太差了，隔壁房间开灯的声音都能听见，走廊上讲话的可以听的很清楚。房间的门不密封，晚上走道的灯光都能透进房间。以后不会再住了。', '短评打分': 1}
{'短评内容': '还行，态度很好，挺干净的！', '短评打分': 3}
{'短评内容': '总体上不错 就是隔音效果差了点  昨晚被隔壁的吵的到凌晨5点多才给安静的  ', '短评打分': 5}
