{'短评内容': '酒店房间很好，环境绝对优美，早餐很丰盛', '短评打分': 5}
{'短评内容': '由于司机给我们送错酒店，我们到的第一天走错酒店，好在是同一个老板开的，于是经理亲自给我们送行李到这个酒店，人很nice。room service很好吃，早餐也很好吃，性价比很高，强烈推荐，以后应该是我在常州不二之选的酒店。', '短评打分': 5}
{'短评内容': '很不错非常棒！酒店升级了套房', '短评打分': 5}
{'短评内容': '挺好，够奢华。', '短评打分': 5}
{'短评内容': '住的很舒服。物超所值', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好，这有房就不选别的了', '短评打分': 5}
{'短评内容': '行的，这里有房不会选别的', '短评打分': 5}
{'短评内容': '硬软件俱佳,环境一流,非常满意', '短评打分': 5}
{'短评内容': '餐饮不是太方便，酒店周边的餐饮服务不多，选择性少', '短评打分': 4}
{'短评内容': '环境好，服务非常好，大堂经理一路送到房间，有水果赠送，还会再来', '短评打分': 5}
{'短评内容': '房间很大，很安静。周边环境优美，服务人员有礼貌。挺不错的，下次还会再住。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店位于公园旁，早饭后去公园散步环境很好，很是惬意。前台的服务实在太棒了，当天入住时一位叫薛高松的男生接待，据说大床房已没有帮我直接升级到套房。房间实在是太棒了，早餐很丰富。这是一次令人难忘的一次入住体验。非常感谢！！', '短评打分': 5}
{'短评内容': '酒店很好很好', '短评打分': 3}
{'短评内容': '酒店在公园旁边，风景很好，内部环境相当不错，外面吃饭的地方也很舒服，关键服务很好', '短评打分': 5}
{'短评内容': '酒店在青枫公园内，空气非常好，管理团队是香格里拉的，服务很周到，上次入住酒店遇到的问题这次也很好的解决，非常适合度假商旅！', '短评打分': 5}
{'短评内容': '环 境 优 美 ,服 务 态 度 非 常 好 .很 喜 欢 这 里.', '短评打分': 5}
{'短评内容': '景色不错，服务也可以，就是入住时前台小姐让我退房时尽量早一点，因为有省市领导第二天会入住，这让我感觉很不好！', '短评打分': 1}
{'短评内容': '环境真的好得不得了 如诗如画 湖景房 美丽尽收眼底 只可惜房内生活洗护用品还是09年的 让人感觉快过期不敢用 美中不足', '短评打分': 5}
{'短评内容': '酒店环境相当不错，设施豪华，最喜欢可以晨跑，运动之后还可以赤道美味的早餐，太棒了，他们家的面包做的很好，让我很意外，值得推荐．', '短评打分': 5}
{'短评内容': '酒店的服务质量是非常不错的，完全达到了五星级的水平。由于开业不久，内部装潢显得华丽，按照酒店的说法是江主席曾经下榻过的。房型推荐行政湖景房。', '短评打分': 5}
{'短评内容': '  环境很好，服务也好，就是房间隔音不够好。', '短评打分': 3}
{'短评内容': '环境很好，地段也好，服务也可以。就是自助餐还有提高的空间', '短评打分': 5}
{'短评内容': '富都集团下的酒店，硬件都不错吧（富都戴斯没住过）。客人说算是常州的半个国宾馆，环境的确不错。冬天，荷塘没有什么景色，也许夏天更好。餐饮不错，所以晚上包房基本客满，车也停满。真正住宿的人反而不多，从早上剩下的几辆车和人影稀疏的自助餐就能知道。早餐需要批评一下，可能因为是国宾馆，所阿以西餐做得不太好。中餐很多点心冷了，需要改进。', '短评打分': 5}
{'短评内容': '环境很好，硬件不错，就是价格较高，以后还会去住', '短评打分': 5}
{'短评内容': '酒店环境很好，就是价格有些小贵。以后还会入住。', '短评打分': 5}
{'短评内容': '环境很好，在清风公园里边，很安静，服务卫生也很到位，设施也齐全，住的相当舒适。', '短评打分': 5}
{'短评内容': '环境非常好，绿色成荫，空气很好，也很安静，房间宽敞舒适，在这睡眠质量很好。', '短评打分': 5}
{'短评内容': '酒店公园里边，风景很好，内部环境相当不错，干净舒适，服务周到，饭菜可口，很适合度假人士选择。', '短评打分': 5}
{'短评内容': '房间挺大的，设施也还行，卫生打扫很干净，服务也很到位，感觉还比较舒适。', '短评打分': 5}
{'短评内容': '酒店的早餐不够好，东西少，味道也不怎么样', '短评打分': 1}
