{'短评内容': '非常一般', '短评打分': 3}
{'短评内容': '酒店位置很好，交通便利，价格实惠，卫生方面有待进一步提高', '短评打分': 4}
{'短评内容': '不好 十分不好', '短评打分': 2}
{'短评内容': '还不错，很满意', '短评打分': 5}
{'短评内容': 'han gxingba kvlkdfjgvlkf', '短评打分': 4}
{'短评内容': '不错的。价格也划算', '短评打分': 5}
{'短评内容': '房里没有吹风，空调也是定时开放！小气', '短评打分': 3}
{'短评内容': '空调晚上才开，房间设施较简陋 卫生奇差', '短评打分': 1}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '环境不错，卫生条件也挺好。', '短评打分': 5}
{'短评内容': '给了我一张假的发票，气愤中！', '短评打分': 4}
{'短评内容': '还行！', '短评打分': 5}
{'短评内容': '房间很脏，过道也很狭窄，洗手池漏水，只要用水，卫生间地上就到处是水，住了三天 没有人主动来打扫过房间，等走时 才发现柜子里有一个牌子写着 打扫卫生的牌子', '短评打分': 1}
{'短评内容': '灯光实在是太暗了 都看不清楚 要灯要灯 没有大灯', '短评打分': 1}
{'短评内容': '性价比很高 房间很干净 离大多数温泉都不远 值得推荐！', '短评打分': 5}
{'短评内容': '情趣间实在太小了，相对来说，这个价格有点贵了，不过离温泉很近，交通也挺方便，隔音不行', '短评打分': 5}
{'短评内容': '酒店环境不错，还有早餐，不错！就我定的房间有点小！不过总体很值得！', '短评打分': 5}
{'短评内容': '服务还行，就是说好的早餐呢，不过服务员还蛮厚道。', '短评打分': 5}
{'短评内容': '离我们去的万豪温泉还蛮近的，坐的士只要起步价，离热闹的温泉一条街也很近，走路就可以到。酒店的房间不是很大，到了晚上，房间的灯光有些昏暗，不过整体来说还是不错的。但是不知道为什么凌晨4点的时候，电视机自己突然开了，吓了我一大跳，呵呵。床单，被子，枕头也很干净，有一次性的拖鞋和洗漱用品可以使用，有衣柜和衣架，非常的方便，下次去咸宁玩，还会订樱花酒店的。', '短评打分': 5}
{'短评内容': '还行,就是没配电脑', '短评打分': 3}
{'短评内容': '房间太小还有气味', '短评打分': 3}
{'短评内容': '还可以，窗户要修一修了，好多没有锁扣，给人不安全感', '短评打分': 5}
{'短评内容': '酒店装修还行，就是有些细节不到位。比如空调运作太吵，而且制热根本没用。热水出的太慢了。', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是有些吵…下次还会选择这里吧…', '短评打分': 3}
{'短评内容': '还不错。看着挺舒服卫生的。总的来讲，还是不错的。附近也蛮热闹~', '短评打分': 5}
{'短评内容': '酒店看上去还可以，就是早上退房时太混乱了', '短评打分': 3}
{'短评内容': '位置方便，服务不错。就是早餐稍许少了点，停车有点不方便', '短评打分': 5}
{'短评内容': '酒店地里位置不错，周围很繁华，应该是温泉区最繁华的一块地方，就是那个所谓的情趣间名不副实，除了房间比正常房间小之外别的什么都一样！', '短评打分': 5}
{'短评内容': '很好~~很适合居住 服务态度也很好~~~', '短评打分': 5}
{'短评内容': '咸宁樱花城市酒店环境干净，卫生良好，服务态度一般，交通比较便利。', '短评打分': 5}
{'短评内容': '此酒店，一个字，黑，价格超级高。\n一个字，无语！', '短评打分': 1}
{'短评内容': '房间一般，床够大，房间墙面不太好，总体感觉一般', '短评打分': 1}
{'短评内容': '服务态度还是很好的，酒店的味道不错，不过价格还是贵了点', '短评打分': 5}
{'短评内容': '.房间小,卫生差', '短评打分': 3}
{'短评内容': '还可以   .不过   在咸宁这个破地   方这个价有点贵.  早上有点吵.不是很隔   音.比较干净.   希望可以  越做越好.     ', '短评打分': 5}
{'短评内容': 'f ff  ff f  ff f f f f f f f f f f f f f f  f fwefweefefew wfewf fewfewf   wf efw  wfw w fw w wwfew', '短评打分': 5}
{'短评内容': '店面装修挺别致，很时尚，而且离温泉区很近。房间感觉很温馨，充满浪漫情怀，适合到咸宁泡温泉的情侣入住。就是房间再宽敞些会更好！', '短评打分': 5}
{'短评内容': '还蛮好的。。。房间稍微小了点。。。。离出差的地方很近。。。。', '短评打分': 5}
{'短评内容': '该酒店还不错，就是单人间有点小，价格稍贵了点。', '短评打分': 5}
{'短评内容': '酒店还不错。。。离出差的地方很近。。、。。。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '非常时尚的酒店 信价比高 才开业不久 很新 干净 离市区很近\n离市中心广场几分钟 到温泉万豪 打的6元 下次去还会选择这家', '短评打分': 5}
{'短评内容': '酒店还行···但是根本没有早餐······', '短评打分': 5}
{'短评内容': '店如其名，家的感觉，温馨舒适，服务员很热情，下次到咸宁非去不可！', '短评打分': 5}
