{'descr': '前台很漂亮，o(&cap;_&cap;)o 哈哈', 'star': 5}
{'descr': '所有工作人员我超级满意', 'star': 5}
{'descr': '房间面积较小，设施一般，对于我这种没什么要求的人来说，也就凑合过一晚而已。服务态度还好，周边吃东西倒是挺方便的', 'star': 3}
{'descr': '汶河路上有2家如家酒店，出租车司机很容易弄错。', 'star': 5}
{'descr': '第一次住，感觉很好，周边很安静，休息很好，只是感觉商务房的房间还是有点小，周边交通很便利，消费场所很多，总体感觉良好', 'star': 5}
{'descr': '酒店条件很好，干净整洁，离景点也很近', 'star': 5}
{'descr': '蛮好的，服务热情，环境不错', 'star': 5}
{'descr': '很不错的！！！！！！！！！！！！', 'star': 5}
{'descr': '很不错的！！！！！！！！！！！！！', 'star': 5}
{'descr': '挺好的，值得信赖', 'star': 5}
{'descr': '酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。', 'star': 5}
{'descr': '房间住的比较舒适', 'star': 4}
{'descr': '位置不错,离瘦西湖,个园,东关街都近.出行方便.酒店安静,干净,服务也好.很满意.', 'star': 5}
{'descr': '住了两晚，同一个房间，很喜欢，有家的感觉。', 'star': 3}
{'descr': '酒店位置不错，服务态度也很好，性价比不错，下次去扬州还订。', 'star': 5}
{'descr': '地段虽然跟瘦西湖比较近，但是这家旅店，竟然没有无线网络，房间内没有无线网络，很不方便，就一个宽带，有个毛用啊，ipad，手机都无法使用的。真是后悔定了这个饭店。还有，根本不是文昌阁往北200米，而是往北2000米！找了半天才找到。希望后期选择文昌阁附件的酒店的人，可以选择其他酒店', 'star': 1}
{'descr': '服务不错，就是住两天的话第二天要重新去柜台弄房卡。双人房的话基本没地儿走啦，别的还可以啦', 'star': 5}
{'descr': '位置不错，离东关街很近，离瘦西湖也近，附近的饭馆也不少。酒店比较干净温馨，但设施有点旧', 'star': 3}
{'descr': '先说下硬件：因为扬州城区很小，且这家店正好在瘦西湖附近，所以去几个经典都还是蛮方便的，比较不爽的是楼下的停车场，吆喝声不可避免且有点大啊，而玻璃没有采用双重中空或真空玻璃，所以隔音只能说一般。不过像我这种早有防备的人（带有耳塞）就无所谓了。软件方面：服务员都挺热情的，不错。PS：从问路的经历来看，扬州人还蛮热情，感觉不错', 'star': 5}
{'descr': '这个酒店真不错，服务好。很干净，以后我会经常住的，停车很方便', 'star': 5}
{'descr': '房间很干净，比较大，位置好，很满意！', 'star': 3}
{'descr': '还行吧…设施都一般……还是喜欢皇宫广场那家店。', 'star': 5}
{'descr': '住着很不错，蛮舒服的，环境也不错，就是隔音不大好，总体感觉很满意。', 'star': 5}
{'descr': '如家一如既往的好，还是值得住的，地段也好', 'star': 5}
{'descr': '这家酒店幽静，服务很好，卫生也非常好，离瘦西湖很近，附近还有很多的旅游景点，值得下次再来。', 'star': 5}
{'descr': '很不错，服务态度好', 'star': 3}
{'descr': '价格合理 就是有的时候 前台会把资料弄错 门卡偶尔失灵', 'star': 5}
{'descr': '非常好的酒店，地段非常的方便，其实就在瘦西湖站，大部分的公交车都路过，旁边也很多景点，冶春茶店也在旁边，房间设备也很好很干净，也很大。非常值得推荐的酒店。', 'star': 5}
{'descr': '本店干净。安静。方便。', 'star': 3}
{'descr': '如家，很喜欢，各方面环境也不错，就是临街有点吵', 'star': 5}
{'descr': '很不错哟！被子粉红很温馨～值得一宿～下次还去！', 'star': 5}
{'descr': '床挺大！蛮舒适的！淋浴很给力！感觉门关的不是很严实，隔音效果不好！', 'star': 5}
{'descr': '还可以的把。可惜POS机没刷出我的卡。 另外两天的确认入住到目前还没有消息。不知道为何。', 'star': 5}
{'descr': '市中心，感觉还行吧。帮我换了个大床房，感谢！这里的如家也配备了吹风机，很好的，赞！就是小地方的话电视不给力啊。放不了，来找人看了，可以放了吧，就只能收到几个台，一会又不行了。还有一个严重问题，浴室发现一个虫子，吓！', 'star': 5}
{'descr': '欧克，如家嘛基本都是这个感觉。价格适中，设施还行。', 'star': 5}
{'descr': '感觉不错，酒店位置便利，服务热情,房间非常干净。', 'star': 5}
{'descr': '感觉这个价钱，这样的环境蛮不错的。赞一个……', 'star': 3}
{'descr': '酒店位置不错，出行方便，房间干净，服务好。', 'star': 3}
{'descr': '酒店不大，但整体服务还是不错的，周围景区都很近。', 'star': 3}
{'descr': '感觉还好，有点小，但是价格优惠，最重要的洗澡很爽', 'star': 3}
{'descr': '很干净，就是空调生音太大', 'star': 3}
{'descr': ' 房间环境不错，很干净，很亮，酒店位置有点隐蔽，服务员很热情', 'star': 3}
{'descr': '地段确实没的说，但是单间有点小，住着有点小压抑', 'star': 5}
{'descr': '交通极为方便，地处繁华，而又不失宁静，酒店人员服务很好！下次来继续住这里！', 'star': 5}
{'descr': '扬州景点比较集中，这间如家位置挺好的，离瘦西湖双东街都在步行距离，四望亭街也很近，附近有公交车站。晚上很安静，房间设施ok，就是比较小。', 'star': 5}
{'descr': '干净，卫生，服务好，交通便利，距离瘦西湖等景点近，有家一样的感觉。', 'star': 5}
{'descr': '还行，但酒店外面在装修，早上6：00就开始了，吵着了。', 'star': 1}
{'descr': '如家快捷酒店（扬州瘦西湖文昌阁店）地理位置好，去瘦西湖很近，环境和服务也不错，但隔音不太好。', 'star': 3}
{'descr': '地理位置不错，离扬州主要景点都比较近，环境很好，价格也合适。', 'star': 5}
{'descr': '位置很好找，离瘦西湖很近，转个弯就到了，算是交通很方便的一家店，到个园也很方便，出门没多远就有旅游专线公交和扬州到镇江的旅游城际巴士，去游玩的话住这里很不错。', 'star': 5}
{'descr': ' 前台人员热情，房间温馨，tt很喜欢。', 'star': 3}
{'descr': '位置稍微难找了些，因为在巷子里面。。附近的如家真是多的。这家店可能是老店，不是很新。前台服务人员工作是比较有效率的。', 'star': 5}
{'descr': '发票开错了还要自己出钱寄过去，明显不负责不肯承担过错，这样的店住的不放心。', 'star': 1}
{'descr': '很干净，很温馨，赞一个～', 'star': 3}
{'descr': '环境一般，空调制热效果差，如果硬件设施达不到标准，请提高你的服务。要求加床被子居然直接被前台工作人员拒绝，这样的服务，以后再也不会选择此家酒店。', 'star': 1}
{'descr': '住这里最主要的是因为交通方便  金鹰万家福时代广场走走就到了  出门就有公交站牌  肯德基 那个什么豆浆来着    就是内部隔音差点  快睡着了还被对面的开门声和楼上凳子倒下的声音惊醒  坑爹啊 那时候已经一点多了啊！  我的车停了两天一夜 门口的大伯收了我20块  说贵也不贵  就是车位不像车位了点 不过不是说有四个免费车位么  免费的在哪里？', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '不错，服务很好，前台都是美女不错，服务很好，前台都是美女', 'star': 5}
{'descr': '简洁舒适，服务态度也挺好的。地理位置也不错。。。', 'star': 5}
{'descr': '环境卫生等等都不错。。就是在里面面一点。。。', 'star': 5}
{'descr': '离瘦西湖较近，酒店比较干净整洁，但隔音较差', 'star': 5}
{'descr': '还不错，不过前台人员态度需改进。', 'star': 3}
{'descr': '房间狭小 卫生间也小  有噪音  服务态度尚可', 'star': 1}
{'descr': '停车不方便,门口还有专门指挥停车的人收10元指挥费,所以你要注意啊!旁边有停车场不过不是他们家的,你可以付停车费,总比付指挥费好啊!酒店在市中心不错的酒店,希望酒店对门口加强管理!', 'star': 5}
{'descr': '房间空间太小了，而且灯光设计的很凌乱，在房间里面行动很不方便。', 'star': 1}
{'descr': '连住两晚，酒店称第二天不含早餐？', 'star': 3}
{'descr': '酒店位置佳，房间很安静，但房卡失，每次进入得让人开门。', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': '酒店店面不大，但是很干净，毛巾杯子都分两种颜色，不会混淆，很贴心', 'star': 3}
{'descr': ' 提示预订成功竟然在前台没有查询到，不知道是哪里的系统出问题了，结果订了标间换了大床房，房间环境尚可，隔音效果较差，不过地势非常好，处于闹市区离各景区都不远。还是值得推荐的。', 'star': 3}
{'descr': '酒店位置不错，就是停车位太少。住店必须自己再额外出钱买车位停车。', 'star': 5}
{'descr': '如家HOTEL，总的来说都是蛮干净的，位置也还可以', 'star': 5}
{'descr': '干净。服务态度好。价格也合理。地理环境好。', 'star': 5}
{'descr': '房间虽小，但非常干净，布置的颜色也非常明亮，孩子很喜欢！', 'star': 5}
{'descr': '这家也在巷子里，不太好找，而且停车要收费，不过距离东关街挺近的，离瘦西湖，何园也都不远，房间的条件很普通，有点儿小', 'star': 5}
{'descr': '真的不错诶。我下次还会来啊。唯一酒店周围的人很不友善', 'star': 5}
{'descr': '扬州文昌阁店态度好:-D', 'star': 3}
{'descr': '不错。卫生间蛮大的。周边很热闹。服务很好。早餐也不错。', 'star': 5}
{'descr': '房间有点小 ，凑合也还行 。服务态度好', 'star': 3}
{'descr': '还可以，距离市中心和景点都近，游玩很方便。唯一不好的是房间空间比较小，感觉比车站那边那家稍显拥挤。', 'star': 3}
{'descr': '\u3000还好', 'star': 3}
