{'短评内容': '很一般的酒店，尽管在市中心，比较难找，设施老化，WIFI奇慢。', '短评打分': 3}
{'短评内容': '挺好，刚装修，挺不错的', '短评打分': 3}
{'短评内容': '郑州这个地段这个价位差不多了，性价比可以', '短评打分': 3}
{'短评内容': '比较不错，离商业圈很近，而且挺大，就是门面不太好找', '短评打分': 3}
{'短评内容': '性价比高 房间也还可以。 以前叫速8 很安静', '短评打分': 4}
{'短评内容': '酒店太偏僻了！第一次既然没有找到！', '短评打分': 4}
{'短评内容': '一般，有味道。。。。。', '短评打分': 4}
{'短评内容': '太差了，自来水有虫，房又臭，住一次都怕了。', '短评打分': 1}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '比较偏僻，网速很慢不推荐', '短评打分': 3}
{'短评内容': '酒店还可以,店门在弄档里,周围是居民区里。', '短评打分': 3}
{'短评内容': '房间还行，问题是服务太差，入住三天，分两次入住，两次均以经理不在无法开具发票，让我留下联系方式回头寄给我，两个月过去了孔纸片都没收到一张！！', '短评打分': 1}
{'短评内容': '挺好的，干净温馨', '短评打分': 3}
{'短评内容': '噪音很大 有KTV 低音泡的声音 房间隔音效果差', '短评打分': 1}
{'短评内容': '卫生不错 在个小巷子里  就是酒店人员态度不是很好 拧巴着脸 跟欠他钱似的 ', '短评打分': 5}
{'短评内容': '酒店感觉不错。就是卫生间味道比较大，隔音效果一般。总体还算满意。', '短评打分': 3}
{'短评内容': ' 不推荐，服务，卫生都还好，就是卫生间干湿区不分开，没有作防臭处理，味道很大。房间隔音不好，旁边房间声音一大就成直播了。', '短评打分': 3}
{'短评内容': '位置不错！附近小吃很多，离着二七广场很近。', '短评打分': 5}
{'短评内容': '不错，环境挺好', '短评打分': 3}
{'短评内容': '不错··服务态度很好··环境也不错···', '短评打分': 5}
{'短评内容': '价格便宜 房间也很大很新，很适合出差旅行，就是位置稍微有点。。。怪 不过总体上离火车站很近', '短评打分': 5}
{'短评内容': '挺好的。干净，舒适。服务也不错，闹中取静。', '短评打分': 5}
