{'短评内容': '干净', '短评打分': 5}
{'短评内容': '房间太热了', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '大冬天的，这个酒店室温竟达36度。无法入睡。反映后一直不给解决。', '短评打分': 3}
{'短评内容': '房间比较大，干净', '短评打分': 5}
{'短评内容': '就是远了点其他好', '短评打分': 5}
{'短评内容': '环境不错，酒店漂亮，价格适中                                        ', '短评打分': 5}
{'短评内容': '好店，推荐入住。', '短评打分': 5}
{'短评内容': '好店，推荐入住。', '短评打分': 5}
{'短评内容': '好店，推荐入住', '短评打分': 5}
{'短评内容': '总体还行，只是这次入住没有护肤霜，问了服务员后最后告知没有了。这么干燥的天气竟然没有护肤霜。其他还好。', '短评打分': 5}
{'短评内容': '交通不是很方便，不过房间超大，设施也很好', '短评打分': 5}
{'短评内容': '环境棒棒的，住过多次了！', '短评打分': 4}
{'短评内容': '哪都好，就是有点远，周边没什么配套', '短评打分': 5}
{'短评内容': '不错的地方，就是出门不是很方便没有出租车', '短评打分': 5}
