{'短评内容': '入住的比较满意！', '短评打分': 4}
{'短评内容': '很不错，干净', '短评打分': 5}
{'短评内容': '没有早餐，离湘雅很近，一个小胡同里面，不大', '短评打分': 4}
{'短评内容': '感觉不错，挺舒服的', '短评打分': 5}
{'短评内容': '感觉不错，像家一样', '短评打分': 5}
{'短评内容': '家居', '短评打分': 4}
{'短评内容': '装修看上去比较旧。桌子都有裂缝，', '短评打分': 5}
{'短评内容': '热水够热，连牙刷这么基本的配套都 没有，要的话要自己另外出钱买，房价又不是比别家的便宜，星期五六天这三天还特别加价，地址还躲在&mdash;个附近没有什么配套的偏僻的小院子里面，第一次找还不好找 ，我都只能用百度导航来找，而且是从别人的小区院子里面穿过去才找到，价格比附近的公寓式的那种一房一厅酒店还贵，别人连洗衣机跟冰箱都有，差别很大，出差多几天的要多多考虑一下了', '短评打分': 3}
{'短评内容': '你都看到客服密码大门口苏卡达没打卡卡电卡', '短评打分': 5}
{'短评内容': '慈眉善目带你飞那就饿可大看嘛是撒多大！万达', '短评打分': 5}
{'短评内容': '就看到看看什么方面的可大看法没法么可可大卡卡饭卡', '短评打分': 5}
{'短评内容': '才能)可快点快点快快快可大第几集第几集', '短评打分': 5}
{'短评内容': '环境不错，干净', '短评打分': 5}
{'短评内容': '位置不是很便利，出门不太方便', '短评打分': 5}
{'短评内容': '环境一般，房间内卫生差，设施差。', '短评打分': 3}
{'短评内容': '无线苹果手机连不上 房间有异味', '短评打分': 3}
{'短评内容': '非常一般', '短评打分': 2}
{'短评内容': '非常一般', '短评打分': 3}
{'短评内容': '还可以，服务也好', '短评打分': 5}
{'短评内容': '不说', '短评打分': 3}
{'短评内容': '入住时外围有施工，进出有所不便，服务态度还好，洗漱用品需自费，无餐厅不方便。', '短评打分': 4}
{'短评内容': '还过的去，容易找，但是是挂牌的如家', '短评打分': 4}
{'短评内容': '除了吵其它都挺好。', '短评打分': 5}
{'短评内容': '蛮好的，又便宜', '短评打分': 5}
{'短评内容': '卫生条件很好，并且价格非常实惠。房间面积很大。值得入住', '短评打分': 5}
{'短评内容': '新酒店，感觉很不错！！房间面积比其他同类型酒店的要大，光线很好！推荐下！！', '短评打分': 5}
