{'短评内容': '服務態度一般，有待提高', '短评打分': 3}
{'短评内容': '一般般，住的都是北非一带来中国采购的客商。', '短评打分': 3}
{'短评内容': '还可以，经济实惠。', '短评打分': 4}
{'短评内容': '环境不是很好但还行，设施比较齐全，就是洗刷用品看着好像很长时间的样子，灯坏了，别的还不错', '短评打分': 3}
{'短评内容': '房间小，装修比较老了。设施都银齐全，服务态度还可以，网上定的99元，价格以可以', '短评打分': 3}
{'短评内容': '前台服务超差。对着客人翻白眼。整栋楼全是黑人。没有任何隔音。隔壁XX声豆很明显。喷头是坏的。有一面墙上数数都有5只虫子。蚊子超多。都没有蚊香。正常酒店连瓶水的都有。床上一股腋臭外加脚臭。', '短评打分': 0}
{'短评内容': '环境很好，前台服务超好，', '短评打分': 0}
{'短评内容': '毛巾旧，拖鞋不是一次性的', '短评打分': 2}
{'短评内容': '黑人出没地，怕怕。环境一般，旧，不如住旁边的七天', '短评打分': 3}
{'短评内容': '定的是标准单人间，总体来说不值这个价咯~！  房间小，设备旧，走廊和大堂没有空调，大堂连Wifi也没有，酒店正门和前台很简陋，黑人住客不少。就是地理位置有点优势咯~！  酒店保安言而无信，提前一天让他帮忙请车去机场，由于天气问题晚到酒店，他竟然说早到一会就让司机等等的，问为什么不电话和我打个招呼，借口说没我电话，但我客户却一直在大堂坐着等我，期间还给我打过几次电话，导致我们自己很晚才请到车子去机场', '短评打分': 3}
{'短评内容': '住了一天，隔音太差了，下次不住了。', '短评打分': 3}
{'短评内容': '我带中东客人入住该酒店922及929号房，很震惊， 四周墙都有水迹及严重发霉，简直是危楼。房间里没有凳子。服务员不专业，携程的订单看半天也没看明白，还是我帮他看。服务员诚信也很差。。。。很难想象携程会介绍这种酒店。', '短评打分': 1}
{'短评内容': '酒店服务员给了我七楼房间，卫生还可以，晚上也安静，要是两人住的话房间有点小。', '短评打分': 5}
{'短评内容': '不能刷卡的酒店，而且房间也超小，卫生间也超小，不能接受这样的价格订到这样的酒店。', '短评打分': 1}
