{'短评内容': '不想说了，房间到处都是灰尘，还很吵，电视和空调总有问题', '短评打分': 2}
{'短评内容': '没有早餐，不能加床，不适合小孩居住，路边太吵，隔音差，不适合居住', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 2}
{'短评内容': '不地道，一个单间要198，没得优惠，要么花150买会员卡，可以便宜30，还要168，比网上订的162仍然贵。', '短评打分': 3}
{'短评内容': '房间虽小，一应俱全，这个价位觉得很不错了', '短评打分': 5}
{'短评内容': '酒店环境内一般，没有拖鞋，淋浴间和卫生间完全混在一起没有一点隔开，唯一的优点 ，周边有大润发迪卡侬吃饭也方便。性价比不高，前台相当不灵活，网上订至少便宜20,30，到他那一分钱不可以优惠，一个标间198，非得网上170订了，他也老老实实给办理。', '短评打分': 4}
{'短评内容': '很好非常好', '短评打分': 5}
{'短评内容': '地理位置不错 吃的也多 对面就是大型超市', '短评打分': 4}
{'短评内容': '环境还可以 就是卫生间差了点', '短评打分': 3}
{'短评内容': '价格比较便宜，房间设施一般，总的性价比不错！', '短评打分': 3}
{'短评内容': '为了方便定的这里', '短评打分': 3}
{'短评内容': '为了方便定的这里', '短评打分': 3}
