{'短评内容': '干净卫生，就是隔音差，有点吵，不过还是好评。', '短评打分': 5}
{'短评内容': '干净利索', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '改造不充分，空气不流通，时不时有腥臭味，房间里有浓郁烟味', '短评打分': 2}
{'短评内容': '酒店的位置很好，到中华城很近，出行的交通很方便，酒店服务员态度好，临时住的话，值得推荐，昨天刚离开，明天还得去！', '短评打分': 5}
{'短评内容': '完全无语，这个价钱住得跟旅社差不多，因为是订不到，所以只能订这个，房间昏暗，适合有情人士开房使用，不适合我们旅游的。感觉就一个字，差！', '短评打分': 1}
{'短评内容': '可以，不错，很方便！！！', '短评打分': 5}
{'短评内容': '京东订比较实惠，选了个有外窗的～～～', '短评打分': 5}
{'短评内容': '很好，很满意，比较方便，就在中央大街上。', '短评打分': 5}
{'短评内容': '酒店不错，很实惠，离鼓浪屿很近，，，，，', '短评打分': 5}
{'短评内容': '出行十分方便，出门就是各种商店，吃饭也很方便，地段好！', '短评打分': 5}
{'短评内容': '房间一般', '短评打分': 5}
{'短评内容': '地理位置很棒，酒店附近吃的喝的玩儿的都不少', '短评打分': 5}
{'短评内容': '楼下交通非常便利，下楼就是中山路！', '短评打分': 5}
{'短评内容': '周边环境一般般。', '短评打分': 4}
{'短评内容': '周边就是中山路步行街，出行非常方便', '短评打分': 4}
{'短评内容': '还不错住的挺舒服的，去哪儿都比较方便，来厦门住了三晚呢', '短评打分': 5}
{'短评内容': '除了床比较大别的都不怎么样、酒店比较不好找不随道有个大上坡每天上着比较累、周边还行离中山路很近楼下就有大型超市家乐福和沃尔玛其实就是商业街附近的小巷子酒店比较旧房间里的什么都很旧水非常不好洗个澡得累死就跟淌油是的早餐挺便宜才7元但是非常差周边早上吃饭不好找', '短评打分': 2}
{'短评内容': '无线真心烂。一直断网。连接不上。 停车场也没。除了价格。真是烂中烂。', '短评打分': 3}
{'短评内容': '卫生一般般，因为后门在商场里面，什么人都可以进出，安全性没有很高，请白天出门尽量带上贵重物品，晚上商场关门了就不会咯。没有牙刷牙膏，前台卖三块钱一份。就是地理位置很好，下楼就是逛街，肚子饿了也很好找吃的。酒店里的工作人员服务态度很好。', '短评打分': 4}
