{'短评内容': '隔壁是个酒吧，夜里吵得窗户都在震。还睡个毛线。卫生也差，前台服务也差。住了半小时，走人了。', '短评打分': 1}
{'短评内容': '价格与服务匹配', '短评打分': 4}
{'短评内容': '设施陈旧，旁边迪吧吵，服务态度差，不热情。', '短评打分': 1}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的 ', '短评打分': 5}
{'短评内容': '不错，就是充电比较麻烦，其他很好。', '短评打分': 5}
{'短评内容': '很不错，不过不远远电梯旁边，晚上电梯比较吵', '短评打分': 5}
{'短评内容': '一般般，很旧', '短评打分': 3}
{'短评内容': '主要便宜，附近夜市，很方便，每年出差来南宁都住这', '短评打分': 5}
{'短评内容': '没有地方充电不得，其他都还算好～～～', '短评打分': 3}
{'短评内容': '房间有点旧，条件不是很好。要求高的不建议选择这宾馆！', '短评打分': 3}
{'短评内容': '便宜是王道，也干净只是先', '短评打分': 5}
{'短评内容': '还可以还可以还  可以', '短评打分': 3}
{'短评内容': '挺好的挺好的挺好的挺好的挺好的挺好的', '短评打分': 3}
