{'descr': '住过好几次 真的适合小情侣哈哈哈', 'star': 5}
{'descr': '环境优美啊', 'star': 5}
{'descr': '给朋友定的感觉还可以吧，比较方便', 'star': 5}
{'descr': '不错 服务特好', 'star': 5}
{'descr': '隔音不太好，其它都挺好！', 'star': 4}
{'descr': '交通便利、吃饭选择多', 'star': 3}
{'descr': '真是“难忘”的住宿经历！原来酒店服务员的素质可以差到这个地步！先前电话确认有房并且明确我会准时入住酒店！等我到酒店却告诉我：“不确定你来不来所以给别人了！！”我再次要求给我准备房间的时候，服务员居然笑着告诉我没有！你出去看看别家！', 'star': 4}
{'descr': '很好很温馨', 'star': 5}
{'descr': '服务不错，是主题酒店', 'star': 5}
{'descr': '服务态度热情', 'star': 5}
{'descr': '楼道环境不太好', 'star': 2}
{'descr': '服务员态度热情的过头了 环境不错交通方便。', 'star': 5}
{'descr': '刚入住，房间还可以', 'star': 3}
{'descr': '房间稍微小点，服务员态度很好。只是结账之后，告诉我可以用会员卡，实在郁闷！', 'star': 5}
{'descr': '蛮好的。服务态度也好。距离13号线很近，楼下也有吃的、水果卖', 'star': 5}
{'descr': '酒店服务员的态度特别好 我和朋友都误以为自己不是在北京 晚上都会说祝您晚安 酒店设施也很好 虽然在小巷子里 但是离地铁站只有2分钟路程 下次去北京还住这家', 'star': 5}
{'descr': '很有特色的酒店，以红色调为主，但是就是比较小了，房间内感觉不是很干净，不过前台服务很不错。', 'star': 5}
{'descr': '很好，环境好，还有很多光盘可免费租借，地理位置也不错', 'star': 3}
{'descr': '有两个问题感觉不如人意：\n1、面积不足25平方，是严重不足，估计也就18个平方吧。\n2、网上订房的客户，不能延时到14点退房，只能在12点前退，11点半就开始电话催。\n感觉极差！', 'star': 1}
{'descr': '酒店位置不错，出行坐地铁比较方便，不过床没有宣传的那么大。当时定的大床房只有160cm宽，不是180cm的，给的回答是定做的床尺寸就这样，后来给换了双床房，建议把床及房间的真实尺寸提供给网站。还有无线网经常不好，建议改进或者换成宽带。', 'star': 5}
{'descr': '酒店的床没有所说的那么大，180cm*200cm的床宽只有160cm，和老公带孩子出门床有点小，最后酒店经理给换了个双床的房间。酒店地点不错，出门200m就是地铁13号线，到北京玩很方便。建议酒店把床的真实尺寸提供给网站，否则很麻烦。', 'star': 5}
{'descr': '酒店很有特色， 很适合年轻人居住，我比较喜欢', 'star': 5}
{'descr': '酒店很好找，前台服务员服务很好，屋内环境不错，很有情调', 'star': 3}
{'descr': '还算安静温馨', 'star': 3}
{'descr': '不错。给同事定的，办事很方便，交通很方便', 'star': 5}
{'descr': '干净、卫生、位置也不错，但比想象中小一点', 'star': 5}
{'descr': '温馨', 'star': 3}
{'descr': '地点比较偏僻,不太容易找,圆床还不错,不过房间比较小,服务人员态度还可以.整体还是有所欠缺.', 'star': 1}
{'descr': '非常温馨', 'star': 3}
{'descr': '酒店不错，离地铁站很近，房间跟图片上的一样，服务态度很好，以后还会来的。', 'star': 5}
{'descr': '第二次入账，非常温馨、、、、以后会常去嘿嘿', 'star': 5}
{'descr': '适合情侣 服务很好', 'star': 3}
{'descr': '隔音差，情调好，服务好，登记严格。总体值得推荐。', 'star': 5}
{'descr': '离地铁站很近，北京就地铁靠谱，酒店服务生态度挺好！', 'star': 5}
{'descr': '住起来很舒心，服务也很热情。相比一般的商务酒店要舒服很多。生意太火爆，订了好久才订上', 'star': 3}
{'descr': '~ 挺方便的，就在光熙门地铁站旁边100多米，酒店门面小小的，很温馨，前台非常热情，很好。住的是圆床，床挺大的，房间里还有一个小桌子，还行。 还有免费的光碟看，总之，还挺满意的。', 'star': 5}
{'descr': '不错  很好，很适合情侣去，圆床很好。下次还会去。', 'star': 5}
{'descr': '挺有新意，外观比较低调', 'star': 3}
{'descr': '房间比较mini，如果装扮再多点细节就好了，红色纱帘，爱心大圆床，高脚凳，碎花茶杯，每个都那么有爱，价格稍微有点高，但是可以接受，适合小情侣来浪漫，下次体验吊床呀呀呀...', 'star': 5}
{'descr': '酒店没去过是不太好找的，屋内和图片一致，还行吧，挺适合情侣一起去的。', 'star': 3}
{'descr': '还不错，有点小误会，顺利解决，总体还满意。', 'star': 5}
{'descr': '很浪漫的地方', 'star': 3}
{'descr': '房间比大部分经济型酒店大不少，色彩主题的圆床很有情调也很舒适，正对床上方的天花板是面与床同面积的圆镜子，刺激啊…', 'star': 3}
{'descr': '服务好还有dv，性价比比较高，很有特色，房间比较大。', 'star': 3}
{'descr': '不错啊  房间不大，但很温馨，总体感觉很不错，适合情侣去！', 'star': 5}
{'descr': '环境一般，房间太小，优点是圆床的设计比较有特色。', 'star': 3}
{'descr': ' 房间稍微有点小，隔音一般，很温馨。服务很好。', 'star': 3}
{'descr': ' 房间很好。服务态度很好。满意', 'star': 3}
{'descr': '房间设置的比较有特色，价格也不贵，周围也很安静。比较适合年轻情侣。办了会员卡，以后再来会便宜很多。', 'star': 5}
{'descr': '很不错哦 格局式样都很有情调很干净 唯一的缺点就是热水。。。热水好少。。基本就是在洗温水澡。。。。', 'star': 5}
{'descr': '只订到了普通的大床房，房间很小，虽然房间有些特别，但算不上主题酒店。酒店在小胡同里，不是很好找。', 'star': 1}
{'descr': '绝对不会再住，真心受不了这样的酒店，居然没热水，店员絮叨居然告诉要客人避开用水高峰。。。。我的个神  有这样的酒店么    忽悠人不说 还借口特多。。。我真火大', 'star': 1}
{'descr': '是情侣住宿的好选择，值得推荐给大家', 'star': 3}
{'descr': '非常好  服务态度可以远超于住宿的价位  设施很好  房间很温馨  特别适合情侣住', 'star': 5}
{'descr': '环境还成  就是热水很不给力...洗澡的时候都不是热水..', 'star': 5}
{'descr': '还真的很不错，就是热水不够。。。冬天人太多。。。', 'star': 5}
{'descr': '不错 就是貌似最近热水有点问题 赶紧修好哇 大冷天的', 'star': 5}
{'descr': '出门就是地铁光熙门，交通便利，价格还比较便宜，如果办了他们家的会员卡会更便宜。前台服务态度好。不过情侣酒店有点噱头了，不要把情调想象得太浪漫，不然去了以后会失望的。酒店隔音不好。有无线网，但是能不能连上，网速如何完全取决于你住的房间是不是离无线路由器近，而且win7系统有时会连不上。', 'star': 1}
{'descr': '住着感觉还行，主要隔音效果不好，然后热水不是很热。', 'star': 5}
{'descr': '本来是预定两晚的，可第二天不的不离开，房间小不说，主要是很吵，屋子的隔音效果很差，暖气也不行，洗澡的时候很冷，排水也不好，被褥看上去不是很干净，不过服务态度很好，交通也很便利，离光煦门地铁站很近。', 'star': 5}
{'descr': '很好，很不错。', 'star': 3}
{'descr': '蛮有韵味  红色主题  但是价格偏贵。。。', 'star': 5}
{'descr': '服务态度很好，如果再真诚发自内心一点就更好了~房间设计别致，但是枕头不是很舒服。。。', 'star': 5}
{'descr': '非常好 很喜欢 可惜总是不能预定到喜欢的房间', 'star': 5}
{'descr': '挺好的，主题房蛮有意思~卫生间没有门，这个很郁闷= =', 'star': 5}
{'descr': '很不错、确实很浪漫、屋子里灯光不是很明亮、大大的圆床、基本以红色为主、服务很好、去的比较晚、没带现金、特意帮我们先把房间开了、唯一一点就是房间有点小、其他都很棒、', 'star': 5}
{'descr': '服务很好，房间设施也不错,主题房间的床上用品都挺有特色，不是一味的白色，但是是否能够及时清洗就不知道了', 'star': 5}
{'descr': '很有特点的酒店，情侣好去处。交通很方便，下地铁就到了。', 'star': 5}
{'descr': '很浪漫，以地理位置来说价格不错', 'star': 3}
{'descr': '位置巨偏，门脸非常小，不好找。没有想象中好，灯光昏暗，红墙晚上感觉有点压抑，卫生条件一般，晚上有人在楼道里奔跑喧哗，让人联想到学生宿舍。', 'star': 5}
{'descr': ' 这里的环境很不错，房间以红色为主，感觉好浪漫温馨！就是很怀疑床单四件套有没有更换过，还有浴巾都不像新洗过得。', 'star': 3}
{'descr': '隔音效果不好 晚上隔壁的都拍墙了', 'star': 3}
{'descr': '服务员特别热情。装潢比较有特色。办会员卡住宿价格优惠很多。适合情侣约会。位置比较好找，交通方便', 'star': 5}
{'descr': '性价比很高，很不错，值得推荐。就是位置不是很好找。', 'star': 5}
{'descr': '前台服务员特别热情，有新来的可能业务处理起来还不太顺，但是态度礼貌都特别好~\n酒店布置很温馨，dvd有很多比较新的片子，而且是免费借的~\n房间这次住的圆形吊床，第一次睡圆床还挺好玩的。。那个吊床其实就是有几根锁链挂起来看着像吊的，其实不是真的吊起来的悬空着的~~天花板上有一面和床一样大的茶色的镜子，感觉还挺好玩的。。不过摘了眼镜之后还是有些考验。。\n办会员卡之后价格便宜很多呢，而且酒店卫生还可以吧', 'star': 5}
{'descr': '房间面积还算比较大，前台服务员很不错，但是网速太慢与没有网络一样，如果自带电脑需上网的人建议不要去了。', 'star': 1}
{'descr': '酒店经济实惠，交通方便，值得推荐', 'star': 3}
{'descr': '交通便利，质量也很好。可惜先前订的圆床房没了', 'star': 5}
{'descr': '服务很好 没有住上圆床 非常遗憾!', 'star': 3}
{'descr': '房间不错。交通便捷，离地铁站很近，出行方便。', 'star': 5}
{'descr': '刚进酒店门感觉地方很小,但住进去后感觉房间很温馨,床很舒服,总体感觉不错.', 'star': 3}
{'descr': '这酒店性价比不高，略胜在创意，实际房间面积非常小，浪漫大圆床其实很小睡着略偏就盖不到脚，下水极差终日弥漫着厕所恶臭，很不舒服', 'star': 3}
{'descr': '还好，接待服务很热情，如果卫生再搞好点就的确八错了', 'star': 5}
{'descr': '这家酒店离地铁13号线挺进的，周围也很多小吃，房间不错挺喜欢的：）推荐。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', 'star': 5}
{'descr': '服务态度非常好。环境很温馨。离13号线很近。性价比不错。', 'star': 5}
{'descr': '服务不错，房间也很好。', 'star': 3}
