{'短评内容': '还不错，也很方便，价格有点贵', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店周边就餐方便，环境一般，服务还不错', '短评打分': 4}
{'短评内容': '不咋滴', '短评打分': 1}
{'短评内容': '一般的商务酒店', '短评打分': 2}
{'短评内容': '实惠方便实惠方便实惠方便', '短评打分': 5}
{'短评内容': '8028房间，空调直接吹得其中一个床，晚上睡觉严重不爽。上次去住得就好多了。。\r\n\r\n', '短评打分': 3}
{'短评内容': '酒店位置尚可，标榜酒店创新，房间不大，卫生间很小，洗脸池的水龙头设计的有些脑残，正常打开水龙头水都会流到池外。', '短评打分': 1}
{'短评内容': '离天河软件园最近的酒店，这个价格给的早餐太马虎了。', '短评打分': 1}
{'短评内容': '床还可以，比较干净整洁。\n就是房间还是比较小一点。\n总体而言还是不错。', '短评打分': 5}
{'短评内容': '挺干净，价格还可以。附近交通便利。', '短评打分': 3}
{'短评内容': '服務員態度非常好，又親切，還有無線路由器可借，唯一可惜，是房內燈光稍暗，附近比較沒餐館....', '短评打分': 5}
{'短评内容': '朋友说非常一般，房间比较小，设施也一般。', '短评打分': 1}
{'短评内容': '一般吧，那附近也没什么好酒店可以选择，主要是距离数码港比较近', '短评打分': 5}
{'短评内容': '酒店位置在高新技术软件园，房间设施可以，但利空太矮，有些压抑感，房间顶似纸板糊，有不安全感。早餐还可以。', '短评打分': 3}
{'短评内容': '房间挺大的，虽临街，但还很安静，不错。', '短评打分': 3}
{'短评内容': '不错。帮朋友定的。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '噪音太大，除了夜总会就是高速路，没有隔音玻璃，很难入睡。早餐也很差，没有晚餐，性价比不高，', '短评打分': 1}
{'短评内容': '其他都可以，就是早餐太素了，客人大多不是出家人，尽量放点荤菜可否？', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 3}
{'短评内容': '不错，比较雅致', '短评打分': 3}
{'短评内容': '卫生不错，环境也可以，总体感觉还可以。希望价格可以更优惠些就好。', '短评打分': 5}
{'短评内容': '交通方便， 整洁干净， 价格合理。 如果早餐能再丰富些，就更好了。', '短评打分': 5}
{'短评内容': '前台服务挺好的！房间设施比较好，安静！\n不足之处是相对比较小！但是单人入住没有问题哦！', '短评打分': 5}
{'短评内容': '第一天给了一间有异味的房间，第二天换了，性价比一般', '短评打分': 1}
{'短评内容': '主要是离信息园很近，酒店倒是一般。三星的硬件，四星的收费，房间很一般。', '短评打分': 5}
{'短评内容': '在广州值这个价位吧 床可以 早餐比较差 离办事的地方比较近', '短评打分': 3}
{'短评内容': '酒店挺干净的，只是卫生间太小了设计有点不合理。', '短评打分': 3}
{'短评内容': '地方好。。各方面比较均衡，就是早餐很不幸嗷嗷嗷', '短评打分': 5}
{'短评内容': '性价比高，房间舒适，服务好。离开琶洲展馆十分钟。', '短评打分': 5}
{'短评内容': '距离琶洲展馆很近，交通方便，服务好，房间干净，价格合适。', '短评打分': 5}
{'短评内容': '地理位置不错，打车很方便，服务态度也很好，只是自助早餐品种不够丰富，希望能够增加一些', '短评打分': 5}
{'短评内容': '早餐简单，房间很干净，位置也不错。\n但性价比不高，以此价格应该可以有更多的选择。', '短评打分': 1}
{'短评内容': '酒店离展馆很近，设施也不错，去前台办理登记，因为房间还没收拾好，给免费升级了，非常不错，赞一个！唯一缺点周边没有什么，吃饭不是很方便，出门打车也不是很方便，其他都不错了。', '短评打分': 5}
{'短评内容': '床很舒服', '短评打分': 3}
{'短评内容': 'Very convenient, close to subway station, and shopping mall. Breakfast not good, service not satisfactory.  A guest was picking earwax in the restaurent. Disgusting!', '短评打分': 5}
{'短评内容': '怎么说呢，更方便都一般般吧，就是离公司近点', '短评打分': 5}
{'短评内容': '地点不错，到天河科技园办事方便，但房间太小了。', '短评打分': 5}
{'短评内容': '地理位置还可以，周边餐饮稍微少了点，酒店内的餐饮一般，房间网速也不行', '短评打分': 5}
{'短评内容': '办事方便 其它还好 房间有点小 不像四星标准', '短评打分': 5}
{'短评内容': '干净整洁，服务较好，房间设施较好，但卫生间地漏存在下水慢的问题', '短评打分': 5}
{'短评内容': '早餐真不怎样，和汉庭的也差不了多少了。 房间面积也很小，像是在香港的酒店。 但是设计还是比较新颖典雅的。 ', '短评打分': 1}
{'短评内容': '房间太小了！', '短评打分': 3}
{'短评内容': '离办事的地方很近，所以觉得这里还是可以值得住一下的', '短评打分': 5}
{'短评内容': '酒店房间太吵了，建议酒店改装双层玻璃！否则晚上无法入睡，下次不考虑再住了！', '短评打分': 3}
