{'descr': '一般吧，不是那么好', 'star': 1}
{'descr': '反正地势方便，房间有点小，但是前台服务还是不错的，如果你不是去享受只是住宿，其实很不错的', 'star': 5}
{'descr': '房间很小，哎，在京城估计就是这个价格吧。吃饭倒是很方便，楼下有餐馆，还有便利店，到北京西站走路也就十分钟。', 'star': 4}
{'descr': '预定比较快，。', 'star': 3}
{'descr': '宾馆条件一般，但性价比相对合适。', 'star': 3}
{'descr': '提前定的房间都不一定有,住进去发现空调一点都不凉,房间居然连沐浴露都没。房间里面设备陈旧,感觉一点都不值那么多钱,以后不会来了,建议以后住宾馆的朋友住这间宾馆要考虑好,最好不要来。', 'star': 3}
{'descr': '蟑螂太多，太多，太多，太多，太多………………………………', 'star': 1}
{'descr': '帮朋友订的，据说酒店很一般。帮朋友订的，据说酒店很一般。', 'star': 1}
{'descr': '太不行了~太脏~虫子爬的我一晚上都没睡好', 'star': 1}
{'descr': '卫生条件太差！！灰尘清希可见', 'star': 3}
{'descr': ' 房间内设施很差，屋子里很冷 开着空调也一样不起效果 不推荐入住', 'star': 3}
{'descr': '离西客站真的很近，而且房间有电脑（当然，不是所有房间都有，只有电脑间才有）。这两点基本满足我的需要，如果你觉得卫生间不干净你可以不洗澡，没人强迫你。', 'star': 5}
{'descr': '如果在西客站附近，这个价格还是可以的，但设施太简陋了，只有两张单人床，一个电视，一个破旧桌头柜。其余皆无。再有店主不愿意给开发票，强烈要求后才勉强给开。', 'star': 5}
{'descr': '希望大家最好别住这，没暖气，洗澡不方便，120是个七平米小房，隔音很差，被子很小，这是差到家', 'star': 3}
{'descr': '感觉还行，但空调开不了', 'star': 3}
{'descr': '交通方便，干净卫生，总台很热情，就是价格有点高', 'star': 5}
{'descr': '整体环境还是不错的，交通线路很便利。是理想的选择', 'star': 3}
{'descr': '酒店挺安静的，周边有超市和小餐馆，方便实惠。环境还行。价格公道。', 'star': 3}
{'descr': '不错，环境好，感谢借给我的筷子，服务态度很好，离火车站很近', 'star': 5}
{'descr': '下次还是这里，交通方便，服务很好，呵呵呵呵呵', 'star': 5}
{'descr': '这个旅馆条件差，价格也不低，因此下次请不要再给我们推荐这样的旅馆', 'star': 3}
{'descr': '地理位置比较方便临时休息还不错', 'star': 3}
{'descr': '住宿时间较长', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '价格适中，干净为生，服务热情，便利交通。', 'star': 3}
{'descr': '环境不好，还很贵。', 'star': 3}
{'descr': '条件实话说有点差，离西客站比较近，周围像这样的有几家，这家的性价比不是很高。不过在北京实在被迫也可以住这个条件的，毕竟低于200的房间不是那么多', 'star': 1}
{'descr': '从北京西站南广场直走不用转弯即可看到酒店，相对比较好找，只是步行的距离稍微有点远。酒店房间卫生不错，有较好的性价比。', 'star': 5}
{'descr': '基本满意', 'star': 3}
{'descr': '在西客站地区，地理位置不错，交通条件相对不错，宾馆卫生条件比较好，和老边饺子馆在一起吃饭也非常方便，只是设施一般，价位略显高点，如果是150元左右就比较合适。', 'star': 5}
{'descr': '临近西站，吃饭方便，和老边饺子馆在一起。卫生还可以。设施与价位相比较有点不一致，价位如果在150元，就比较好。', 'star': 5}
