{'短评内容': '环境很不错滴！', '短评打分': 5}
{'短评内容': '服务很好，', '短评打分': 5}
{'短评内容': '位置方便，就是隔音一般，夜里有点吵', '短评打分': 5}
{'短评内容': '住的挺不错的', '短评打分': 5}
{'短评内容': '一般般吧 厕所有点味道 价格还好 距离天鹅湖万达走路要二十多分钟呢 房间隔音效果不太好 其他都还好吧 ', '短评打分': 4}
{'短评内容': '很好，经常住', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '同事说挺好，', '短评打分': 5}
{'短评内容': '对面是在建的合肥西站，离万达广场有1.8公里，需要打车前往，因为对面在施工，来往出租车很少，建议用车使用打车软件。 设施不错', '短评打分': 3}
{'短评内容': '还不错 就是没早餐', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '满意 满意', '短评打分': 5}
{'短评内容': '还不错！！！！！！！！！', '短评打分': 3}
{'短评内容': '还行不错', '短评打分': 5}
