{'短评内容': '对面有个KTV半夜太吵。', '短评打分': 4}
{'短评内容': '床很舒适，值得入住', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '小宾馆居然在路口挂有大大的招牌，早餐是麦当劳的代金券，很不错，周边环境好，有很多吃饭购物的地方。房间宽敞明亮，设施不旧，超值', '短评打分': 5}
{'短评内容': '还不错！！', '短评打分': 5}
{'短评内容': '豪华房很不错，点个赞', '短评打分': 5}
{'短评内容': '房间卫生很好，', '短评打分': 5}
{'短评内容': '舒适 空间大', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '还不错，房间设施齐全。', '短评打分': 5}
{'短评内容': '房间不错，空间也大，很喜欢', '短评打分': 5}
{'短评内容': '本人入住的是豪华大床房。整个装潢确实很温馨。很有家的感觉！2：豪华房：厅，房动静相隔亦相连！有朋友过来拜访很方便，特别适宜商务人士。另外电视机可以双向观看，人性化！3：温馨提醒热水洗浴时间不宜超过15--20分钟。 ', '短评打分': 4}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '客户每次都住这边，方便，干净', '短评打分': 5}
{'短评内容': '过去办入住，尽然说没看到单，不让入住，让我找携程，那么晚携程已无人工，只好再交钱入住，等还没进房就说找到单了，服务太差！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境不错，服务周到，特别安静，是我始终如一的选择', '短评打分': 5}
{'短评内容': '环境不错，特别安静，睡的很香，价格合适。早点丰富，味道不错，始终不移的选择', '短评打分': 5}
{'短评内容': '服务挺好的，酒店硬件一般，', '短评打分': 3}
{'短评内容': '其他还可以，早餐差一点点了，', '短评打分': 4}
{'短评内容': '和这个价格还是可以的，服务挺好，早餐一般般！', '短评打分': 4}
{'短评内容': '所有的方面都很满意！前台服务态度尤其好，需要电脑上网，服务员很快就搬来电脑到房间里。房间很大，配套很齐全，甚至有小冰箱。卫生间里，有隔断的淋浴房。才158元的价格，真是物超所值！下次去东莞还会住这里！', '短评打分': 5}
{'短评内容': '这家酒店相当垃圾，隔音效果差，早餐是我所住过的酒店中最差的，就几样菜\n下次绝对不会再住了，而且结帐时还要收两块钱保险费，闻所未闻，保险什么？？？？', '短评打分': 1}
{'短评内容': '服务还是不错的，离候机楼也很近。环境卫生也还好，周边吃饭很方便。', '短评打分': 5}
{'短评内容': '房间不错，很干净，很宽 还有冰箱。姑娘不错', '短评打分': 5}
