{'descr': '地段不好，而且房间太简陋啦，是住过的汉庭中最差劲的', 'star': 1}
{'descr': '房间很干净 很清爽  也很安静 交通也很便利 值得一住', 'star': 5}
{'descr': '环境不错，卫生间很干净！服务态度很好，我打电话说推迟入住时间，都帮我保留了，', 'star': 5}
{'descr': '干净卫生，安全措施很到位，地点很安静，不错还会入住！', 'star': 5}
{'descr': '位置佳，价格便宜，但前台人手不够。服务员态度还须加强教育。', 'star': 5}
{'descr': '酒店价格实惠，位置佳。', 'star': 3}
{'descr': '比较好，我会向我的朋友推荐这家酒店，让大家信用，', 'star': 5}
{'descr': '这是我住过的最不满意的一家汉庭。住的是高级大床房，地面不干净，设备老化，网线接口都是坏蛋，墙角有明显的脏斑，浴室里一股霉味，床头灯都没有，只有一顶大灯。早餐一塌糊涂，没几个吃的，居然也卖15块。这家汉庭唯一的好处就是地段还可以，周围小吃铺不少。', 'star': 1}
{'descr': '服务号，房间干净清爽！值得再去住的宾馆！', 'star': 5}
{'descr': '感觉还是很不错的，方便出行，下次还会考虑这里。', 'star': 5}
{'descr': '环境很安静，房间很大，也蛮整洁，出行也很方便;唯一的不足是空调很老，可能是以前老酒店留下的，哈哈。', 'star': 5}
{'descr': '服务很好，房间很大。位置很安静。', 'star': 3}
{'descr': '房间还算干净整洁，就是整体小了点。服务员数量不够，效率有点不行。环境还好，比较安静。附件吃饭的地方比较多', 'star': 5}
{'descr': '服务好地段安静', 'star': 3}
{'descr': '位置偏了一点，卫生一般，价格还算合理，服务有待提高。', 'star': 5}
{'descr': '帮朋友订的，听说还可以，可以免费停车，对自驾出去的很方便', 'star': 5}
{'descr': '很不错，地段很好，很喜欢！以后还会介绍朋友去的，吃饭很方便，办事也方便！', 'star': 5}
{'descr': '还可以。经济实惠，交通方便.服务还好。卫生方面有待提高', 'star': 5}
{'descr': '地理位置的确不怎么好，要走10分钟到虹桥路站才有饭店，很安静的住宅区，打车要跟司机说在凯旋路杨宅路的偏道上。不过设施非常新，非常干净，服务态度非常好！如果不介意吃饭问题和离地铁站走路要10分钟的话，强烈推荐入住！', 'star': 5}
{'descr': '非常好，家庭房的两张床都非常大，房间也很舒适，下次还会选择入住', 'star': 3}
{'descr': '＋房间很大，有无线网络，速度还不错，缺点是隔音效果不好，隔壁的六点多就起来，吵的我们都睡不好', 'star': 3}
{'descr': '不错，办事近，很方便。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很干净，宽敞；酒店在小区旁边，吃饭很方便，总体来说很不错~~', 'star': 5}
{'descr': '房间超大 床也蛮大 停车场也很大 这样的百元特价房真是太超值了', 'star': 5}
{'descr': '还可以，就是被子太厚重，厕所稍有些气味。', 'star': 5}
{'descr': ' 总体感觉不错', 'star': 3}
{'descr': '环境不错，感觉不错，住了一次，感觉以后还是会再选择的，很满意', 'star': 5}
{'descr': '汉庭凯旋路店靠凯旋路这边的房间受轻轨影响，挺吵的。', 'star': 3}
{'descr': '房间挺清爽的，环境也蛮幽静，离胸科医院不远。', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '环境比较安静，卫生也还不错。价格合理。电视小了一点。', 'star': 5}
{'descr': '帮家人订的，反正就说一般吧，就是地段还行,以前都是订这个地段其他酒店的，但只有汉庭有家庭房，只能选择了。。。说没有其他地方的汉庭的家庭房好。。。', 'star': 1}
{'descr': '被褥干净，房间宽敞，周围环境不错、安静，交通、就餐方便，综合性价比较高。\n不足：楼道内通风、排烟差，经常窜到客房内（怕烟味的客人请注意）。', 'star': 5}
{'descr': '还可以，就是软件服务有待提高，那样会更好。', 'star': 5}
{'descr': '中间一天忘记定了  结果付了220元/间\n', 'star': 5}
{'descr': '很好  整洁  干净  服务周到  地段也好', 'star': 5}
{'descr': '刚去登记的时候说是没有我的订单，让我郁闷了好一阵子！不过服务员很快就帮我另外弄了一间。房间整洁、干净，交通也比较方便，就是隔音差了点！', 'star': 5}
{'descr': '干净整洁,地段不错,非常方便.到徐家汇或中山公园都是起步价即可.', 'star': 3}
{'descr': '非常好！', 'star': 3}
