{'短评内容': '物美价廉，住的不错', '短评打分': 5}
{'短评内容': '隔音不太好，夜里旁边打牌声音不小', '短评打分': 4}
{'短评内容': '朋友反应不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '不错已经入住好多次了，很好！离火车站很近！有地下停车场入住免费，不过车位有限看您的运气！洗浴免费值得推荐的休闲休息的好去处！', '短评打分': 5}
{'短评内容': '超好的酒店，性价比超高，房间很温馨舒适，九号公馆汗蒸洗澡也是没说的，就是买单女服务员太差劲，住店客人免一张门票，到她那非说不给免，一副吵架的架势，素质极低', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '价格合理 环境不错 酒店服务人员素质很高 商务出差不错的选择 下次还会再选这家酒店', '短评打分': 5}
{'短评内容': '一直住这里', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '前台服务很好，环境很不错！周围环境也不错，离火车站，市中心很近', '短评打分': 5}
{'短评内容': '牡丹江很不错的酒店，价格亲民，非旺季出差也不超标。住店可以免费到9号公馆洗浴。对于5星酒店，入住送一份简单的果盘就更亲切了。', '短评打分': 5}
{'短评内容': '就一高级招待所吧！停车位紧张', '短评打分': 5}
{'短评内容': 'wifi登不上，不稳定', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '设施位置不错！但是热水时冷时热！', '短评打分': 5}
{'短评内容': '好多次来都住这', '短评打分': 5}
{'短评内容': '酒店太热，接近30度，网络太差，几本不可用，早餐还不错。其他还行！', '短评打分': 4}
{'短评内容': '酒店在火车站正对面，但不吵。房间设施还不错', '短评打分': 5}
{'短评内容': '酒店是新装修 内部设施不错 早餐很丰盛 服务人员很专业 停车组织得很好 非常值得这个价格 推荐', '短评打分': 3}
{'短评内容': '装修很新，房间也大，早餐种类很多，床也很舒服，美中不足的是离火车站太近，晚上老是听到火车喇叭声，不过总的来说还不错', '短评打分': 3}
{'短评内容': '环境不错,就是装修气味太浓了', '短评打分': 3}
{'短评内容': '是一个很不错的地方，环境很好 位置也好去哪里也方便，好像是新建的装修和饰品都不错', '短评打分': 5}
{'短评内容': '位置不错，价格不高，装修还行，配套也齐全！', '短评打分': 5}
{'短评内容': '酒店离火车站非常近，酒店离火车站非常近，酒店离火车站非常近', '短评打分': 5}
{'短评内容': '酒店地理位置很好，条件不错，服务态度好。', '短评打分': 5}
{'短评内容': '环境很好,服务一流，性价比很高,下次在来首选', '短评打分': 3}
{'短评内容': '酒店很新  离牡丹江火车站很近  服务也蛮到位', '短评打分': 5}
{'短评内容': '..................................................', '短评打分': 5}
{'短评内容': '总体还不错，星级酒店 ，就是新装修的味道一直很重。', '短评打分': 5}
{'短评内容': '这家酒店并不能与国际接轨，早餐居然是7点到9点，而且品种非常单一，而且不加餐，我8点30分去的餐厅，结果餐厅什么菜都没有了，连咸菜都没有了，服务员大摇大摆的说只能有什么就吃什么了。我认为这家酒店的餐厅，应该多向豪华型酒店认真学习，吸取经验。努力做到让广大宾客满意。', '短评打分': 1}
{'短评内容': '这家酒店的楼并非普通的楼，9楼以上的房间都是嫁接的。而且房间非常小，装修规格达不到准五。除了门口的迎宾，其他人员连服务用语都不会说。但是服务态度是没问题，总之我住了全国的豪华型酒店，这家酒店最次了。', '短评打分': 1}
{'短评内容': '酒店很新 地热很暖和 服务尚好 配套设施也不错', '短评打分': 5}
{'短评内容': '酒店很好，住的很舒适，员工服务态度也不错', '短评打分': 3}
{'短评内容': '酒店不错，服务也好，送餐的服务员很有礼貌，下次住还是会住那里', '短评打分': 5}
{'短评内容': '环境很好，温馨舒适。服务也非常的到位，体贴周到。真是超值啊。', '短评打分': 5}
{'短评内容': '酒店离牡丹江火车站非常之近，应该是从牡丹江南出口出来，过马路靠左手侧就是。', '短评打分': 5}
