{'短评内容': '服务超级好', '短评打分': 5}
{'短评内容': '爸妈说不错，酒店里有个淮扬菜很好吃', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧，中规中矩的', '短评打分': 4}
{'短评内容': '还行，就是房间不大', '短评打分': 5}
{'短评内容': '帮老板订的酒店，到了那里必订的酒店，看来还不错', '短评打分': 5}
{'短评内容': '还可以，服务态度欠缺', '短评打分': 4}
{'短评内容': '一直选择香格里拉。扬州的房间虽然不是最好的 但是服务非常到位。', '短评打分': 5}
{'短评内容': '住着挺舒服的，房间布局和香港的香格里拉一样，有历史感，但是很舒服。', '短评打分': 5}
{'短评内容': '位置好，价格好，管理要加强。隔壁房间开门抽烟，味道都在我的房间闻到了。游泳池的水温有点低。室温也低。', '短评打分': 4}
{'短评内容': '非常好的感觉', '短评打分': 5}
{'短评内容': '该酒店性价比不高 价格明显高于扬州市其他几家五星级酒店 但并未有高于他们的品质体现 且房间之间隔音欠佳', '短评打分': 5}
{'短评内容': 'Here from the Crowne Plaza，hotel ismuch better，room and food。', '短评打分': 5}
{'短评内容': 'Hotel room and service is good。 Only two things bother： smoking at the lobby door and too many people at breakfast。', '短评打分': 5}
{'短评内容': 'As the best hotel in Yangzhou，it is not really up to expectation，breakfast and lobby management needs improvement。', '短评打分': 5}
{'短评内容': '一直在吐槽，这次来个点赞。终于等到升级为套房，只可惜到的晚走的早。早上1点睡觉，6点多起床，辜负了良辰好房。', '短评打分': 5}
{'短评内容': '入住非常顺利，京东预约也很方便。以后出行又多了个预约酒店的选择', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置方便，房间设施齐全，旅游出行首选', '短评打分': 5}
{'短评内容': '位置方便，房间设施齐全，旅游出行首选', '短评打分': 5}
{'短评内容': '环境很好，很舒适。', '短评打分': 5}
{'短评内容': '新的，挺舒服的', '短评打分': 4}
