{'短评内容': '服务态度不是很理想', '短评打分': 3}
{'短评内容': '空调没有热风', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以不错', '短评打分': 4}
{'短评内容': '担保有什么意义？以前可以直接下订单交押金就完事，你现在订了还是要交钱，那还要你携程来干什么？直接到酒店还不着急点？', '短评打分': 3}
{'短评内容': '有停车场。早餐还行，但是网上订的房有些不带早餐，要加钱。热水可以，够热。房间够大，没异味。', '短评打分': 5}
{'短评内容': '什么酒店，住宿还额外交停车费。而且前台也不告之，第二保字莫名其妙来收费。建议朋友们换酒店，同等价格百色有很多酒店可以选择！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '四川酒店が外国人不可だったので、ここに宿泊。駅から近い。設備も清潔。ホテル近辺には飲食店、便利店などは少ない。飲料水500mlが6元は少し高い。窓の扉が開き辛かった。また利用したい。', '短评打分': 4}
{'短评内容': '酒店被子整洁', '短评打分': 4}
{'短评内容': '卫生干净 ，环境优美', '短评打分': 5}
{'短评内容': '离百色站近，如果是在百色车站附近办事的，还是很方便的。  交通方便，去市中心的1、8、13路车站就在门口。  房间大小一般，比较干净，还不错。  附送的早餐就很简单了，自助是自助，品种很少了，能吃饱而已。  服务员态度很好，很有耐心，点个赞。', '短评打分': 5}
{'短评内容': '中规中矩，服务很好，餐厅也很好。', '短评打分': 5}
{'短评内容': '爸妈去巴马，在百色中转住一晚。他们觉得挺不错的，离火车站很近，步行即可到酒店。酒店的卫生和设施也挺不错的，符合三星级标准。', '短评打分': 4}
{'短评内容': '不错的选择，下次继续住', '短评打分': 3}
{'短评内容': '房间很好，不错的选择，下次继续住', '短评打分': 3}
{'短评内容': '离火车站很近，很方便，晚上也很安静。早餐很单一，但是总体值得住', '短评打分': 5}
{'短评内容': '就在车站大道，步行可到火车站，很方便，对于第二天要赶火车的人非常适合。房间也够大，不错！', '短评打分': 5}
{'短评内容': '可以，能在陌生城市，有一个安全，舒适的地方很不错了', '短评打分': 5}
{'短评内容': '还可以，设施旧，离市区远', '短评打分': 3}
{'短评内容': '紧靠火车站，去市区有点远，其它都还挺好的。', '短评打分': 5}
{'短评内容': '酒店很好，房间干净，热水很热，服务员态度也很好。推荐', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 3}
{'短评内容': '怎么说你，是帮朋友订的酒店，本来白色的酒店就不多，这个酒店只能说勉强可以接受啦。', '短评打分': 1}
{'短评内容': '挺好的。。。走路就可以到出差的地方。。。下次还来~~', '短评打分': 5}
{'短评内容': '酒店给人的感觉还行，楼下的餐厅味道还不错', '短评打分': 5}
{'短评内容': '前台服务人员素质有待加强，卫生间设施陈旧！', '短评打分': 5}
{'短评内容': '房间不错！水压大洗澡舒服', '短评打分': 3}
{'短评内容': '房间还不错', '短评打分': 3}
{'短评内容': '没有空调,我蜷宿一夜,其他到是还可以.', '短评打分': 3}
{'短评内容': '这家酒店不错，房间也很宽敞！性价比高！早餐也很好！', '短评打分': 5}
{'短评内容': '除了位置偏一点，其它都好，楼下的餐厅也很好吃', '短评打分': 5}
{'短评内容': '只能说是一般，我们在城里转了一下，从外观看，算是相对不错的了~~~~\r\n但早餐单调且不怎么好吃，且酒店的停车场在事先未告知的情况下，竟然收10元过夜费，让人心里很不舒服~\r\n', '短评打分': 1}
{'短评内容': ' 房间不错，床够大，价钱也便宜，性价比超高。', '短评打分': 5}
{'短评内容': '卫生设施都很一般，环境太不好了，位置也不好找。', '短评打分': 1}
{'短评内容': '+位置方便.从百色东出口下高速教近.停车方便.但靠近马路较吵.空调室外机噪音大.', '短评打分': 5}
{'短评内容': '挺好的地发，下次还来这里', '短评打分': 3}
{'短评内容': '在广西这家酒店不是很好,尤其是硬件和软件条件方面很需要提高.', '短评打分': 1}
{'短评内容': '第三次入住了，不错 ', '短评打分': 5}
{'短评内容': '第二次入住了 还不错 干净 就是南方的饭吃不惯', '短评打分': 5}
{'短评内容': '房间硬件设施陈旧了些，而且不完善，前台人员服务态度还可以，卫生也不错，性价比蛮高的。', '短评打分': 1}
{'短评内容': '总的来说还不错，就是早餐差了点！', '短评打分': 5}
{'短评内容': '一般的位置，没有想到酒店火车站居然离市中心很远，与汽车站距离也很远！不是很方便！', '短评打分': 5}
{'短评内容': '一切都还可以！我住的标双就是房间显得不是很大，没有中央空调，性价比不是很高！', '短评打分': 5}
{'短评内容': '感觉房间的地毯比较脏，早餐也比较简单，只有几个品种。位置不错，在火车站旁边，交通比较方便，有几趟公交车去市内。', '短评打分': 5}
