{'descr': '房间卫生还不错，有停车场挺好的！床也挺软', 'star': 4}
{'descr': '很实惠！很好！已经多次住宿！', 'star': 5}
{'descr': '还可以吧 ', 'star': 5}
{'descr': '很好，不错，可以继续光临本店。', 'star': 5}
{'descr': '很好，不错，可以继续光临本店。', 'star': 5}
{'descr': '一般吧，出行凑合住了。', 'star': 4}
{'descr': '挺不错的', 'star': 5}
{'descr': '酒店还不错，比较干净，下次还会入住。', 'star': 5}
{'descr': '不错不错', 'star': 5}
{'descr': '不好', 'star': 1}
{'descr': '房间算干净，不过与以前所住锦江之星差了一些，洗澡水不好', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '还可以，一次定了两间', 'star': 5}
{'descr': '还可以，连锁酒店的标准', 'star': 5}
{'descr': '服务设施真的挺好，很满意', 'star': 5}
{'descr': '出差我一般都住锦江之星  ，这次订房间的时候，我定错位置了，这次我联系客服还给得退掉了，服务很周到。', 'star': 5}
{'descr': '房间小了点，停车不是很方便。', 'star': 4}
{'descr': '不错很干净', 'star': 5}
{'descr': '网上订购很便宜，如家就是舒适喜欢', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '外面是市场，想吃什么都有。卖东西的也很多，药店也有几家，齐了，稍走远点就有个大的华林超市，很方便。', 'star': 5}
{'descr': '只有网线，需自带电脑。有电视，有热水、电吹风、电热水壶、两瓶矿泉水、四个纸杯、两套牙具。没有洗发水和沐浴乳。房间整体偏潮，被褥也潮，暖气只有一点点，洗湿的衣服放暖气才能干。不含早点，另加每位18元。停车的不是一般的小。', 'star': 4}
{'descr': '位置不错，离市中心和云岗石窟都不远，周围吃饭、购物的地方都比较方便。值得推荐。', 'star': 5}
{'descr': '酒店很好，位置也不错。客房的布置也还行， 就是有点小，', 'star': 5}
{'descr': '非常好，交通，餐饮都方便，每次都来住这里。', 'star': 5}
{'descr': '\u3000该店干净、整洁，有停车位、餐厅，服务还可以，但缺少如家那样的见面问候，电视小，没有数码房间。', 'star': 3}
{'descr': '锦江之星一直不错，干净整洁，还有停车场，很方便', 'star': 5}
{'descr': '酒店房间还行，最好能提供擦鞋布，食品最好', 'star': 5}
{'descr': '经常来这家，出门在外，这里最舒适了，以后依然会来的！', 'star': 5}
{'descr': '服务和卫生很不错，院子里停的都是北京的车，周边的餐饮很多好吃的！', 'star': 5}
{'descr': '早餐自助不错，房间干净，整体好,服务态度也不错，赞一下。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '酒店还可以，离我办事的地方很近，就是早餐样式太少了', 'star': 5}
