{'短评内容': '酒店设施老化，卫生情况较差，服务态度不好，不推荐', '短评打分': 2}
{'短评内容': '非常高大上的酒店，地理位置交通都非常方便，下次的选这里', '短评打分': 5}
{'短评内容': '挺好找的，周围挺方便，吃的挺多。不错', '短评打分': 4}
{'短评内容': '是家看店，设施旧，环境一般，房价过贵，在县一级这样的酒店最多也不超200元，下次不会再住了。', '短评打分': 3}
{'短评内容': '性价比较高下次还会入住。', '短评打分': 5}
{'短评内容': '有点旧了，有待装修。', '短评打分': 4}
{'短评内容': '酒店设施旧，价格比平时贵很多。', '短评打分': 3}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '总体感觉还是不错的。', '短评打分': 4}
{'短评内容': '价格合理，干净卫生', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店还算过得去的，就是应该开的时间比较久，设备比较旧！房间灯光应该要明亮点才行的', '短评打分': 4}
{'短评内容': '房间各方面条件还是可以，有点儿旧小，在县城里面来说还是过得去，性价比还可以', '短评打分': 3}
