{'descr': '价格实惠 房间比较小 但是也挺干净 交通位置也好～', 'star': 5}
{'descr': '啊', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '一般', 'star': 4}
{'descr': '设施一般，环境还可以。', 'star': 3}
{'descr': '环境一般', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '交通还算方便', 'star': 4}
{'descr': '位置不错，设施一般。', 'star': 4}
{'descr': '卫生状况极其一般，对艺龙订房的服务态度差', 'star': 3}
{'descr': '房间虽小，但是环境挺好，卫生干净', 'star': 3}
{'descr': '环境很差，非常脏，地都没有拖，房间很小，而且有味道，下次不会再来', 'star': 3}
{'descr': '一般般', 'star': 2}
{'descr': '这是有史以来住过最差的酒店，没有之一。房间打开以后，看上去就有点不堪入目的感觉，地板看上去就很脏。卫生间马桶坐上去竞然是湿的，不知是不是清洁消过毒。没有网络，有线接路由器也连不上。房间插座只有2个，不够用，问服务员回答很干脆：没有。', 'star': 1}
{'descr': '宾馆所在位置不错，挺方便，就是房间的装修旧了点。', 'star': 4}
{'descr': '价格便宜是便宜了 但是：\r\n1、房间太小，出了床和一张小小的写字台，剩余的空间只能够供一个人走动\r\n2、卫生间设施简陋\r\n3、空调是坏的\r\n4、房间有异味，很重\r\n5、房间窗户不能开，因为开开来就是走道，谁敢( ⊙ o ⊙ )啊！', 'star': 2}
{'descr': '侯侠李春梅8766房', 'star': 3}
{'descr': '酒店设施还可以，价钱比较实惠，还会入住的\n', 'star': 5}
{'descr': '酒店整体感觉不错。', 'star': 3}
{'descr': '地理位置好，交通便利，价格合理，离南站很近，方便出行。', 'star': 5}
{'descr': '条件一般，达不到国际连锁酒店的服务标准。', 'star': 1}
{'descr': '预定的酒店经济房，房间小。毛巾和浴巾都不会更换，每次早上给酒店人员要求更换，晚上回到酒店还是要打电话给前台要求更换，总是说毛巾没有了，入住了四天，没换过一次毛巾！酒店清洁人员，连床铺都不叠。', 'star': 1}
{'descr': '房间非常小,而且陈旧,订的是商务房,给我们的是标间,水流非常小,厕所没门,没地铁,坐交通很不方便,前台服务非常不好.速8不是全国连锁么?这个地段,这个价钱,实在太坑人了,以后再也不会住速8.', 'star': 3}
{'descr': '  号称速8酒店，完全毁了速8的名声，酒店脏乱差，三楼门口堆满装修东西，完全 就像个出租房一样，吵闹。这哪里是速8， 这简直就是充满流浪人员的招待所。大人喝叫小孩子，小孩哭声不断。我晕。', 'star': 1}
{'descr': '各位不要选择这家酒店，房间的实施和这个价一点都不相符。跟招待所差不多，房间还有杜蕾斯套套，情趣爱液。（要钱的哦）\n一次性牙刷牙膏都没有，全都要钱。\n房间小，还说什么大床房。身高超过175，睡觉脚都会露在外面。\n中央空调，坏的，都不出风。桌子底下还有电风扇给你供用。呵呵。\n桌子宽度30CM长度60CM左右。这桌子也太小了吧\n\n总的来说，这个价格太贵了，100块钱还可以。', 'star': 1}
{'descr': '位置比较好找，出行方便，门口就是公车站，比预计想的好。周围也有很多好吃的。住了5天，比较干净！下次还会选择！', 'star': 5}
{'descr': '太垃圾了,跟招待所似的,服务态度极差', 'star': 3}
{'descr': '三十块钱都能住比这好的，还要我168,特失望！房间就五平米吧，估计还不到，还都没窗户，被子潮乎乎的，有怪味。老板说，基本都这样。', 'star': 3}
{'descr': '＋刚开始给我们分的房间不是很好进去之后味道很大空气不流通，后来换的', 'star': 3}
{'descr': '除了离南站近以外一无事处,怀疑是挂牌的速八,可用脏乱差形容', 'star': 3}
{'descr': '酒店很小', 'star': 3}
{'descr': '1.头一次住速8，就碰上停止供热水一天，晚上8点才来热水\n2.房屋面积没有所说的那么大\n3.电视有声音没图像\n4.空调没用，屋里太闷\n5.隔音太差，半夜还有真人版的\n6.洗澡水太小\n7.床睡着不舒服', 'star': 1}
{'descr': '酒店临街比较吵，隔音效果不好，夜里常有大声喧哗的影响休息', 'star': 1}
