{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '很好，服务态度好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的！！！！', '短评打分': 5}
{'短评内容': '整洁', '短评打分': 5}
{'短评内容': '到了酒店才定的，预订需要点时间，比起会员价还是划算点', '短评打分': 5}
{'短评内容': '和以前一样干净', '短评打分': 5}
{'短评内容': '交通便利，靠近友谊大街和平路，停车场地小。', '短评打分': 4}
{'短评内容': '还可以，在加上早餐就更好了，下次还会选择这里的', '短评打分': 5}
{'短评内容': '服务很好，舒适，不错，', '短评打分': 5}
{'短评内容': '服务很好很干净，很安静', '短评打分': 5}
{'短评内容': '空调设施较好，交通条件便利。', '短评打分': 3}
{'短评内容': '5楼刚装修完，异味太大。应3加强通风。', '短评打分': 3}
{'短评内容': '交通方便，但房间门不隔音，较吵，停车需要到三元公司停车，距离北站步行15分钟。', '短评打分': 5}
{'短评内容': '此如家是所住过的连锁中感觉最干净的，值得推荐！性价比也不错', '短评打分': 5}
{'短评内容': '服务态度很好，环境设施也很不错，比7天的好多了，就是停车不方便啊~~', '短评打分': 5}
{'短评内容': '除了一开始给一间没有冷气的房间之外，总体还OK啦，环境和服务都可以，价格公道', '短评打分': 5}
{'短评内容': '如家入住三天，礼貌待客', '短评打分': 3}
{'短评内容': '这个地方很不错，比较好找，服务态度很好，房间很干净！', '短评打分': 5}
{'短评内容': '干净卫生，服务员很好，值得选择。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务真是没话说，服务员都很有素质，下次还会继续选择这里，相信如家。。。。', '短评打分': 5}
{'短评内容': '干净卫生，挺好的，喜欢，下次还会来这里。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很好，服务很好，感觉很亲切，下次还会到此酒店入住！', '短评打分': 5}
{'短评内容': '房间还不错，也比较安静，秉承如家的一贯的风格吧', '短评打分': 5}
{'短评内容': ' 环境还不错 也还比较好找', '短评打分': 3}
{'短评内容': '位置不错，很方便，周边超市、饭店等都不错，交通也很方便', '短评打分': 5}
{'短评内容': '服务态度很好，就是房间有点小，总起来还不错', '短评打分': 5}
{'短评内容': '如家还是比较舒适、干净、方便快捷。离北站很近，现在去石家庄都住那。房价也很实惠。', '短评打分': 5}
{'短评内容': '各方面都不错，离出差的地方比较近。条件什么的也都还好', '短评打分': 5}
{'短评内容': '如家还是很方便快捷，房间干净舒适。服务也不错。', '短评打分': 5}
{'短评内容': '不错，尤其是服务态度，没得说服务员前台工作人员 态度都好', '短评打分': 5}
