{'短评内容': '没有早餐吧', '短评打分': 3}
{'短评内容': '还可以还可以', '短评打分': 4}
{'短评内容': '住在这儿去那里都很容易', '短评打分': 5}
{'短评内容': '交通真的很方便哒', '短评打分': 5}
{'短评内容': '挺好的一个酒店，在携程上订的也算比较便宜，离地铁站很近400m左右，周围景点也都不远。', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '这家酒店卫生情况是我所住过的最差！！！设施差点还可以接受，卫生状况相信很少人能够忍受！！虽然服务人员帮忙换了一间房，但卫生好不到哪里，一开始要求换被单，还被拒绝说没有！！什么破酒店，反正我是不会再选这家了！！卫生间下水那边最难以接受，毛发都还在还堵住了口子！！要不是带着娃，玩了一天很累，不然肯定半夜退房！！不想再说什么，一切请看图！还370元一间！实在无处申诉，只可以在这奉劝后来人！！', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '还不错。值得推荐。', '短评打分': 5}
{'短评内容': '被罩上有血渍，被子都硬了感觉好脏…再也不会去，脏死了！', '短评打分': 3}
{'短评内容': '环境不行，价格大众', '短评打分': 5}
{'短评内容': '很正规的一家店，很值得回忆的地方！', '短评打分': 5}
{'短评内容': '去的时候被告知只剩2间房了 转到很角落的一个房间 衣柜里都是发霉的', '短评打分': 4}
{'短评内容': '还可以，总体来说这个价位这个条件还算可以', '短评打分': 3}
{'短评内容': '酒店地理位置算不错，只是酒店设施较简陋，整体还算一般', '短评打分': 3}
{'短评内容': '比较清净，打车方便，就是没有早餐，问了一下早餐15元，就没有吃出去吃的', '短评打分': 5}
{'短评内容': '在觀前街道旁\n算安靜,價格低\n適合團體旅遊入助', '短评打分': 5}
{'短评内容': '经常住的地方,停车方便,出门便利,A型房小了点', '短评打分': 5}
{'短评内容': '还不错，房间很新，晚上也比较安静～～～～', '短评打分': 5}
{'短评内容': '酒店环境还不错，挺干净，就是普通的标准间。房间隔音效果很差。服务态度一般。', '短评打分': 5}
{'短评内容': '还不错，酒店工作人员态度挺好…', '短评打分': 3}
{'短评内容': '环境好！', '短评打分': 3}
{'短评内容': '酒店离观前街不远，但不处于闹市区，住宿环境比较安静，交通也比较方便。唯一觉得不满意的地方就是不提供早餐。', '短评打分': 5}
{'短评内容': '没有什么特别好与不好的地方，隔音还是差一点，不过大多连锁酒店都差不多', '短评打分': 5}
{'短评内容': '挺好的，交通方便，条件还可以\n光线通风都不错，停车场不错', '短评打分': 5}
{'短评内容': '地理位置很好，房间很大很干净，价钱还不贵，住的很满意看~', '短评打分': 5}
{'短评内容': '服务非常不错，性价比很高的一家酒店，以后外出留宿的首选', '短评打分': 5}
{'短评内容': '卫生不错   交通方便', '短评打分': 3}
{'短评内容': '挺好的。', '短评打分': 3}
{'短评内容': '环境很好，服务也不错，价格便宜，位置也好！', '短评打分': 5}
{'短评内容': '房间布局过于老，不想快捷酒店，比预想的要差点。', '短评打分': 1}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '酒店的服务比较好，交通方便，停车也方便。酒店环境卫生条件也好。', '短评打分': 5}
{'短评内容': '续住一天，主要为方便。听说这家是招待所改的，硬件设施没跟上去。从性价比看略差。', '短评打分': 1}
{'短评内容': '标准房设施较简陋，双人间都只有一把椅子，电视比较小，有宽带却没有电脑，比较我在杭州住的格林豪泰连锁店要差，价格还贵一点（杭州三人间有电脑这里住两个标准间都没有电脑）。放行李的架子在整理行李时突然垮了，差点人摔跤。\n当然地点在市中心区，离几个景点都不远，吃饭也方便。', '短评打分': 1}
{'短评内容': '酒店环境不错!服务态度满意!好评', '短评打分': 3}
{'短评内容': '养育巷的格林豪泰服务不错!', '短评打分': 3}
{'短评内容': '很不错的套房,喜欢', '短评打分': 3}
{'短评内容': '环境清优，设施齐全，香气怡人。留恋忘返', '短评打分': 3}
{'短评内容': '  还不错，就是隔音效果差点。隔壁声音大点就能听到', '短评打分': 3}
{'短评内容': '不错，位置好==============', '短评打分': 5}
{'短评内容': '总体来说不错！只是希望酒店以后能够检查清楚前任住客使用物品。这次莫名其妙的被误解遗失电吹风，使原本愉快的心情搞的极其槽糕！', '短评打分': 5}
{'短评内容': '干净，地理位置好，推荐\n干净，地理位置好，推荐\n干净，地理位置好，推荐\n', '短评打分': 5}
{'短评内容': '服务还好就是电梯上下抖动感觉不太安全', '短评打分': 3}
{'短评内容': '浴室比较简陋，房间的隔音十分之差，养育巷很难打车。离观前步行15分钟左右，其他还成', '短评打分': 1}
{'短评内容': '酒店住着也没什么问题，倒是位置不是很明显交通还是很方便，房间设施卫生做的还是比较正规的，价格也是很合适。', '短评打分': 5}
{'短评内容': '地段还可以，停车场还算大，车位挺满的。入住时是情人节，因此前台送了两条德芙的巧克力，本来印象还不错的。但是房间的话就需要更多的改进了：1、淋浴器的水温很难调节，一会冷一会热的；房间内的空调明显有问题，调到27度，空调还是制热不好；床的被子也不舒服，盖着很闷热，晚上基本没怎么好好睡着，辗转反侧的。', '短评打分': 1}
{'短评内容': '总体感觉不错，隔音好像差了点，服务很好，离观前街很近', '短评打分': 5}
{'短评内容': '酒店很干净，服务不错！赞！很适合家人苏州出游入住，离观前街非常近。', '短评打分': 5}
