{'descr': 'CBD商务出行首选，性价比超高。', 'star': 5}
{'descr': '非常好，非常好', 'star': 5}
{'descr': '一般吧', 'star': 3}
{'descr': '一般吧', 'star': 3}
{'descr': '地理位置很好，这价格很值。房间空间比较大，前台小阮服务态度很好。', 'star': 5}
{'descr': '天天如家酒店特别好，地理位置很好，离三里屯购物非常的方便，离地铁站也非常的方便，价格合理，服务热情', 'star': 5}
{'descr': '酒店挺好的，地理位置很好，步行10分钟内就到了三里屯太古里，楼下有好吃的还有小超市，咖啡厅，很喜欢这里', 'star': 5}
{'descr': '还是挺不错的', 'star': 5}
{'descr': '位置好 交通方便 性价比高', 'star': 5}
{'descr': '交通方便 位置好 性价比高', 'star': 5}
{'descr': '位置不错 交通方便 性价比高', 'star': 5}
{'descr': '一般般还好不错、一般般', 'star': 5}
{'descr': '第二次定了，很好', 'star': 5}
{'descr': '交通方便，位置好', 'star': 5}
{'descr': '……一般。', 'star': 3}
{'descr': '因為你收我一條毛巾的錢.........', 'star': 2}
{'descr': '由于选择的是这家酒店价位相对低的房间，所以本身没抱有太大希望，房间大小不错，wifi挺好，设施老旧程度基本符合300元的价位，重点来了！！！卫生间反味太严重了！偶尔能见蟑螂仔，酒店表示房间满了不能换，只是派人来喷了点空气清新剂，起不到什么作用，感觉就是在厕所里睡了一宿，从酒店出来半天了脑袋还疼呢。', 'star': 3}
{'descr': '服务周到', 'star': 5}
{'descr': '觉得环境蛮好 服务蛮贴心的！', 'star': 5}
{'descr': '还是很舒适的，只是洗澡的淋浴切换不了', 'star': 5}
{'descr': '还不错，公寓类型的', 'star': 5}
{'descr': '太差劲，臭的不能住，还不能退。', 'star': 1}
{'descr': '服务不错，就是不好找，还有就是拿房卡也上不了服务台', 'star': 5}
{'descr': '旅店非常干净，高雅，环境好，', 'star': 5}
