{'短评内容': '酒店的位置不太好停车，感觉比较乱，要办也一般，不过住的还可以，对得起这个价格了', '短评打分': 4}
{'短评内容': '空调开了一晚上，好冷！', '短评打分': 3}
{'短评内容': '冬天太冷了，开着空调都冷', '短评打分': 3}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '还不错 还可以', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店挺干净的就是有点小 因为特价 这价格也还可以了 去朋友家玩 晚上住这离得很近  周边环境一般 也挺方便', '短评打分': 5}
{'短评内容': '感觉很好，挺干净的', '短评打分': 5}
{'短评内容': '酒店条件还可以，网络有点卡。', '短评打分': 5}
{'短评内容': '济南看看你看看斤看看你就看见了了斤斤', '短评打分': 5}
{'短评内容': '房间宽敞，床好大', '短评打分': 5}
{'短评内容': '一直都住这里，价格便宜！安静！', '短评打分': 5}
{'短评内容': '好好好。非常的不错啊，真的很好啊', '短评打分': 5}
{'短评内容': '房间干净,服务也挺好。满意！', '短评打分': 5}
{'短评内容': '环境很好，服务很周到，', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间一帮帮，窗户不好，外围环境比较吵的，服务还是不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务周到，交通方便，下次还来~', '短评打分': 5}
{'短评内容': '那个房间的位置超级不好，门口堆的全是杂物，还不好找，重点是，屋里的被子有臭味！恶心死我了，要不是我看零点的电影回来都后半夜回来了，我肯定去找他们！', '短评打分': 3}
{'短评内容': '好，非常好，性价比很高，值得入住。       好，非常好，性价比很高，值得入住。', '短评打分': 3}
{'短评内容': '除了网速不给力，别的还好', '短评打分': 3}
{'短评内容': '房间有点小。不过这价位也可以了！', '短评打分': 3}
