{'短评内容': '环境很好 前台很好 性价比很高', '短评打分': 5}
{'短评内容': '早餐没有现煮的馄饨面条，其他就马马虎虎了，我住的大床房不可以加床，酒店有免费停车场。房间非要安静，酒店卫生也非常干静。', '短评打分': 5}
{'短评内容': '性价比高，这个价格还有两份早餐，房间干净，住的舒服，住的后面一幢楼很安静，有闹中取静之感。之前一直住维也纳，现在首选新临平宾馆', '短评打分': 5}
{'短评内容': '非常好的住宿条件', '短评打分': 5}
{'短评内容': '还不错的！', '短评打分': 5}
{'短评内容': '一般～', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '服务不错，房间旧了一点。', '短评打分': 3}
{'短评内容': '环境不错服务态度也好，交通方便', '短评打分': 5}
{'短评内容': '房间设施确实老旧了些，毕竟有年份的酒店', '短评打分': 4}
{'短评内容': '设施老旧，有异味', '短评打分': 3}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '一切都不错，价格也实惠，很满意，一次还住临平。', '短评打分': 5}
{'短评内容': '太破旧了。这个价位不太合适。不推荐！', '短评打分': 3}
{'短评内容': '酒店位置很好，外观也很不错，就是内部装修太老了，应该再装修一下，生意肯定会不错的，不过当前价格也不贵，性价比挺高的。', '短评打分': 4}
{'短评内容': '酒店的床还是比较舒服的，早餐简单了点；\n不过价格实惠，服务也不错；', '短评打分': 5}
{'短评内容': '环境不错 价格适中  值得入住~~~~~', '短评打分': 5}
{'短评内容': '酒店相当不错价格公道酒店相当不错价格公道', '短评打分': 5}
{'短评内容': ' 很好，很干净，下次还去', '短评打分': 3}
{'短评内容': ' 酒店比较安静，服务态度好，但网速很慢加上早餐比较简单，', '短评打分': 3}
{'短评内容': '酒店还不错，比较安静。!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '我只能说，曾经繁华过，赶早班车没有吃到早饭，不知道早饭如何。跟朋友一起吃的晚餐，倒是不错。', '短评打分': 5}
{'短评内容': '酒店还是10年前的装修，硬硬的床位，破旧的卫生间，点个餐还收15%的服务费。\n电视也很小，同等价位的铁流，临平大厦等都要比他好多了！以后再也不住了。', '短评打分': 1}
{'短评内容': '房间不错，早餐主食不少，但菜略少，味道尚可。', '短评打分': 5}
{'短评内容': '    环境不好，有霉味', '短评打分': 3}
{'短评内容': '环 境不错！', '短评打分': 3}
{'短评内容': '酒店装修挺破的，早餐去晚些就没了，总之，挺差的，不推荐。一楼居然还是饭店，晕死。\n隔壁是KTV，大家懂的...小妹妹们很多...', '短评打分': 1}
{'短评内容': '酒店还不错，比较安静。', '短评打分': 3}
