{'短评内容': '早餐非常好！', '短评打分': 5}
{'短评内容': '酒店的服务不如前！', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '前台什么的还是服务很好的 基本上不错', '短评打分': 5}
{'短评内容': '什么都好，就是房间太小了。', '短评打分': 5}
{'短评内容': '非常不错，每次到成都新都区都住这个酒店，这是附近最好的酒店了，好办了会员，优先订房，还送果盘。房间很宽敞，早餐也很丰富，非常棒!', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '环境不错，位置也还好，朋友用车送过去的，所以没有在周围转。住过两次了，是商务出差的好去处，只是这次没有早餐了。', '短评打分': 5}
{'短评内容': '就是房间有点小，其他的都还不错……', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '卫生、干净、环境好', '短评打分': 5}
{'短评内容': '环境好、卫生、服务好', '短评打分': 5}
{'短评内容': '环境很好，值得入住', '短评打分': 5}
{'短评内容': '干净整洁很舒服……好', '短评打分': 5}
{'短评内容': '很干净，服务很好', '短评打分': 5}
{'短评内容': '真心贵！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '优秀的酒店，尤其是一楼的厨师长服务热情给我留下很深印象', '短评打分': 5}
