{'短评内容': '停车位太少，房价和房间不匹配，房间太老旧，灯光差，厕所排风扇声音更恐怖', '短评打分': 3}
{'短评内容': '不错，地下停车场，早餐一般简单，房间比较老，但这个价位很实惠了。', '短评打分': 5}
{'短评内容': '位置优越，有地上和地下停车场。免费晚班实惠，牛奶，西点和鸡蛋，粥，馒头，两个咸菜，两个超素菜。', '短评打分': 4}
{'短评内容': '性价比还不错', '短评打分': 4}
{'短评内容': '服务态度很好，环境整洁。', '短评打分': 5}
{'短评内容': '实在太撇了，不想说了。进门先踩死只蟑螂。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务很好。环境优雅', '短评打分': 5}
{'短评内容': '位置好 价格合理', '短评打分': 5}
{'短评内容': '服务态度热情，卫生条件不错！', '短评打分': 3}
{'短评内容': '装修比较老 没有宽带 其他还都不错 还提供早餐', '短评打分': 5}
{'短评内容': '酒店真是破，不知道是哪辈子的老楼了', '短评打分': 3}
{'短评内容': '设备虽旧了点但房间大性价比还行交通也较方便推荐一下', '短评打分': 3}
