{'短评内容': '老式酒店，设施有些陈旧，地段比较好，总体上价位还是比较低的，不管怎样，感谢舜元对我的陪伴，谢谢舜元大酒店。', '短评打分': 3}
{'短评内容': '代人订的，反馈不错，可以推荐', '短评打分': 5}
{'短评内容': '离舜耕山庄近 开会出差入住方便 但设施比较陈旧 窗户隔音效果差 半夜常听到楼外车辆行驶的声音 早餐还比较丰富 适合短期入住', '短评打分': 4}
{'短评内容': '适合带孩子', '短评打分': 5}
{'短评内容': '很不错。', '短评打分': 5}
{'短评内容': '哦', '短评打分': 5}
{'短评内容': '非常舒适！推荐一下！', '短评打分': 5}
{'短评内容': '离会展中心近，幽静', '短评打分': 4}
{'短评内容': '因为距离关系没办法所以选择这里 其他都还可以 可是床太太难受 明显感觉到弹簧还是什么 很硌人 硌得背疼 一晚都没怎么睡着 太难受了 最差的住店体验', '短评打分': 4}
{'短评内容': '不错，价格稍微贵点', '短评打分': 5}
{'短评内容': '房间没有wifi，要用去大厅，我这是出国了？', '短评打分': 3}
{'短评内容': '一如既往的好！', '短评打分': 5}
{'短评内容': '服务很好，设施稍陈旧，地理位置很好', '短评打分': 5}
{'短评内容': '首先距离离目的地比较近，方便，再就是房间干净卫生，住起来放心。环境也不错。总体来说，很满意', '短评打分': 4}
{'短评内容': '首先距离离目的地比较近，方便，再就是房间干净卫生，住起来放心。环境也不错。总体来说，很满意。', '短评打分': 4}
{'短评内容': '床垫太旧了。睡在上面很累。', '短评打分': 4}
{'短评内容': '环境比较不错，交通还算便利，设施也可以。', '短评打分': 5}
{'短评内容': '住的非常舒服，因在济南市委党校学习，在院里直接进酒店，非常方便。要是能便宜点就好了。', '短评打分': 5}
{'短评内容': '酒店位置非常好，环境十分幽静，周边绿化面积很大，适合全家度假、旅游入住', '短评打分': 5}
{'短评内容': '离会展中心比较近，还好，服务不错，我忘记相机在客房，打电话去询问服务员已交到总台，还承诺帮我寄回来，比较贴心。就是位置有点偏，不太好找，打车也有点困难。另外建议早餐品种再多一些。', '短评打分': 5}
{'短评内容': '位置有些偏，在一个小区里，除此外没啥特别的', '短评打分': 1}
{'短评内容': '酒店好像说是四星的，但服务跟卫生却达不到，比较失望，离市区也比较远', '短评打分': 1}
{'短评内容': '呼吁加强早餐质量！', '短评打分': 3}
{'短评内容': '酒店很干净，服务也很好，标准间房间有点小，交通不太方便。', '短评打分': 5}
{'短评内容': '早餐有待改善', '短评打分': 3}
{'短评内容': '＋不错，就是价格高了点', '短评打分': 3}
{'短评内容': '这个酒店内部条件还是可以的,但就是位置比较偏,周围什么商业设施也没有,出行办事不是很方便.', '短评打分': 1}
{'短评内容': '酒店房间还是不错的，服务不错，早餐一般。', '短评打分': 5}
{'短评内容': '＋请提高早餐质量', '短评打分': 3}
{'短评内容': '＋强烈呼吁提高早餐质量！本想晚餐在这吃，但一想到这的早餐就只能出去吃了！房价性价比低。', '短评打分': 3}
{'短评内容': '＋总台服务很周到', '短评打分': 3}
{'短评内容': '大堂漂亮，房间干净舒适。以后还会入住这个酒店.', '短评打分': 5}
