{'descr': '位置挺好 听不到火车音', 'star': 5}
{'descr': '设施不齐全', 'star': 4}
{'descr': '酒店环境还可以，赠送早餐，还有小西红柿', 'star': 4}
{'descr': '这次订的特价房不太好，还是不能图便宜', 'star': 3}
{'descr': '不错    端午节  还送了粽子和香包', 'star': 5}
{'descr': '房间面积还好，卫生太差，买吃的挺方便，下次不会选择了。卫生真是太差，服务员应该没有换床单，想想都恶心。有图为证。速8不应该是这样的。', 'star': 2}
{'descr': '酒店离火车站不远，闹中取静。房间比较大，设施齐全，干净卫生。服务一般。前台工作人员对本地交通路线和旅游情况一问三不知，房间的桶装水总要打两次电话才送。希望酒店加强对员工的培训。', 'star': 4}
{'descr': '说句心里话，一般般。还有就是既然做生意就要实事求是，房间设备服务且不论，明明入住了非得说没有入住，幸好要了发票。我觉得有点走入死胡同了，酒店便宜吸引人，接着服务也跟着打折，服务打折让人怎么回头。唉！', 'star': 3}
{'descr': '酒店还可以，适合出差入住', 'star': 4}
{'descr': '直接说速八不就好了', 'star': 2}
{'descr': '还不错。隔音很好。卫生间浴室居然没有水槽。一洗澡一卫生间都是水。', 'star': 5}
{'descr': '速8连锁都差不多。', 'star': 4}
{'descr': '价格便宜，酒店设施不错，位置不太好找。', 'star': 5}
{'descr': '周杰伦演唱会当晚市区宾馆几乎全满，很不容易帮别人订到这一间房。', 'star': 3}
{'descr': '房间宽敞，环境好哈哈哈', 'star': 3}
{'descr': '还可以！！！就是小了点啊！！！', 'star': 4}
{'descr': '房间比较小', 'star': 3}
{'descr': '距离火车不是很远，背靠火车站，右手边走两步便可看到招牌，房间面积挺大的，服务态度也较好，推荐。', 'star': 5}
{'descr': '卫生间不太好很透明,整体还可以', 'star': 3}
{'descr': '性价比还可以，服务员态度也很好，就是房间小了点，', 'star': 5}
{'descr': '我住的118的房间，所以有点小，不过里面设施超好超齐全！好评！', 'star': 5}
{'descr': ' 酒店房间很大，很好。就是每次打扫完房间不是忘放蚊香片就是忘记放拖鞋，我住了七天，每天都要做房卡，好几次都上楼后又下到前台', 'star': 3}
{'descr': '服务不错，环境还可以，卫生一般，地毯显得不是很干净；卫生间地很滑，洗浴没有独立分开，只是上面拉了一个帘，地下没有隔开，洗浴时整个卫生间地面都是水，也没有地巾。隔音不好；如果楼上有用水的话，下水的声音非常大；再有，因为我当时住的是无窗的，一开门屋里特别黑，插上卡胡乱的摸开关点灯，我建议把无窗的房间留一个开关，这样客人一进门插卡就能亮，不至于很黑。地理位置嘛，还好，离车站都很近，就是周围的环境不是很好', 'star': 1}
{'descr': ' 经常住，服务非常好，不再多说了', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '房间有点小，没有窗户，桌子太小，电脑也放不下。。其他的都还不错，。', 'star': 3}
{'descr': '很好！房间大，空调给力！就是离火车站有点远！要小路走到尽头才是！', 'star': 5}
{'descr': '房间小，东西全，离火车站不远，周围环境不太干净', 'star': 5}
{'descr': '明明入住却说没有，诚信何在。。。。。。。。。。。。。。', 'star': 1}
{'descr': '卫生差差差，是住的所有连锁中最差的一家，而且地方还特难找！', 'star': 1}
{'descr': '比较偏离市中心了，房间有些小，卫生一般，虽然是地毯，可是感觉很脏。。', 'star': 1}
{'descr': '还行。  这个价格还行太小了房间', 'star': 3}
{'descr': '离火车站不近不远，环境陈旧，墙壁有脱落！', 'star': 1}
{'descr': '挺好的 就在朝阳汽车站门口。挺不错的 推荐 还挺便宜', 'star': 5}
{'descr': '比其他连锁离开火车站要远点，其他各项设施还不错，就是卫生间连个浴帘都没有，水喷的到处都是，一地', 'star': 5}
{'descr': '服务态度一流，房间很干净，还能寄存东西，方便快捷', 'star': 5}
{'descr': '条件不错很满意', 'star': 3}
{'descr': '这次住的房间比较垃圾，地毯上好多脏东西，墙上也脏，空调比较响，卫生间还是不错的！', 'star': 5}
{'descr': '环境很别致 服务态度很好 装修业很有特点 会再来的', 'star': 5}
{'descr': '还不错，蛮干净的。\n就是门口停车的位置太小。', 'star': 5}
{'descr': '就我预定的房间来说真的差到不能再差了，看看照片就知道了……实在无语。房间空调下面管子附近的墙漆都掉了，而且补得颜色竟然不同，实在是……摸哪儿都是一手的灰尘！而且隔壁房间还遇到不好的事，不知道因为什么，服务员一天都在敲隔壁的门，后来还来了一批便衣警察，把门弄开后取证物，吓死了，不知道是不是出大事了，后来我们附近有几家住客要求换房间，宾馆也立刻给调了，还是家庭套房，不过心里还是觉得挺倒霉的，出来玩竟遇', 'star': 1}
{'descr': ' 相当不错，卫生也挺好，前台很热情活泼。', 'star': 3}
{'descr': '房间太小，有些陈旧了。', 'star': 3}
{'descr': '服务员态度相当的好，让人感到轻松，电梯遇到服务员，都会主动说你好，感觉到像星级酒店的服务，房间不错小房间温馨，这次定了小房间，到店服务员告知没有了，免费给升级到标准间，总之下次还会去的，不过朋友们要定小房间要抓紧了，因为经常满客', 'star': 5}
{'descr': '还是不错的。性价比比较高。交通也方便。。。', 'star': 5}
{'descr': ' 不错，既优惠，又干净，舒适，值得再来。', 'star': 3}
{'descr': '酒店很不错，送肯德基早餐，服务很好,很热情，走的时候东西寄存在那里，现在应该还给保管，等着下次去去！', 'star': 5}
{'descr': '是团购的，超值哦。住的很舒服，比其他的小宾馆服务也要好些', 'star': 5}
{'descr': '可能是曾经沧海难为水或者是特价房的原因吧 比起其他酒店 床跟房间小了点 地面是地毯 可能不易彻底打扫 订单确认有点慢 希望改进 下次再住的话可能会选个高级套房或豪华房', 'star': 1}
{'descr': '还不错呢，当时旅游几天，作为学生的我们为了省钱，就定了这家酒店，是出于对速8酒店之前的认可，就定下了。定了一个我们可以接受的价格，一开始担心无窗的房间不行的，结果发现还是不错的，速8还是值得推荐的。', 'star': 5}
{'descr': '酒店还好，就是在一个巷子里，很冷清，不过到是满静的，适合清净的人', 'star': 3}
{'descr': '还不错，就是洗澡的地方下水道有点堵了，以后有机会还会去', 'star': 5}
{'descr': '订的房间没有了，酒店给免费调换了一间大的，服务很好。位置稍有些偏，早上不好打车。', 'star': 5}
{'descr': '位置有点偏，订的特价房，隔音特别差，以后再也不想去住了！', 'star': 1}
{'descr': '特价房也蛮大的，就是空调不怎么给力，服务挺好', 'star': 5}
{'descr': '还可以，很安静，也很干净，就是房间小了点，空调嗡嗡响', 'star': 5}
{'descr': '卫生间的下水道有些堵，隔音效果不是很好。总的来说还是不错的', 'star': 3}
{'descr': '每次去徐州都住速8  服务态度没得说  客房也很干净  只是隔音效果不太好 早上没醒呢  打扫客房的声音 就吵醒了', 'star': 5}
{'descr': '空调有问题,吱吱声响了整晚,根本没法睡', 'star': 3}
{'descr': '晚上很安静，除了房间稍小外，其他都还不错', 'star': 5}
{'descr': '位置有些偏，房间很整洁，可能是特价房的原因，房间有些小', 'star': 5}
{'descr': '很干净！~离火车站和公交车站都比较近！价格也实惠！~', 'star': 5}
{'descr': '距离火车站很近，对于外出出差的人比较方便，其他尚可', 'star': 5}
{'descr': '不错，房间挺大，前台妹妹有个很养眼!网速很不错，只是有的时候隔音不太好，不过这个事快捷酒店的通病了，可以原谅，下次会接着住！', 'star': 5}
{'descr': '房间比一般的大一些，但是空调不太给力，晚上有点冷', 'star': 5}
{'descr': '服务挺好，房间也不错，干净舒适，打算下次还入住，希望房间里可配备洗澡时用的拖鞋', 'star': 5}
{'descr': '不错的酒店，服务态度好，蛮干净的，以后还要继续来哦，呵呵', 'star': 5}
{'descr': '服务挺好，房间也不错，干净舒适，打算下次还入住，希望房间里可配备洗澡时用的拖鞋', 'star': 5}
{'descr': '房间还算干净，房间大空调小，太冷了。', 'star': 3}
{'descr': '酒店服务态度蛮好的，在火车站附近很好找的，很好，下次还定这家', 'star': 5}
{'descr': '感觉不错,挺干净的，就是感觉稍微有点冷.', 'star': 3}
{'descr': '卫生间的淋浴好悲剧,隔音效果很悲催，不用说,你懂的。但是这个价格也差不多了。', 'star': 3}
{'descr': '酒店位置还不错，床单要是再干净点就完美了，房间不错！！', 'star': 5}
{'descr': '环境还不错，，，，就是感觉空间小了点', 'star': 3}
