{'descr': '在如家中算是翘楚，卫生状况好，早饭还可以。', 'star': 5}
{'descr': '这个位置的同类型酒店里面，算ok的了。', 'star': 4}
{'descr': '干净整洁，安静，服务很好', 'star': 5}
{'descr': '酒店老板老板娘人都很不错，可惜现在重新装修了，而且以后应该会换人经营，以后再看吧，主要是考虑距离近。', 'star': 4}
{'descr': '挺方便的。', 'star': 4}
{'descr': '房型好，有家的感觉', 'star': 5}
{'descr': '很好 下次还来', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '装饰很老久了，卫生也一般。在此地段就只有这个的价格比了。', 'star': 4}
{'descr': '位置比较方便，到4号线地铁步行10分钟左右，设施较陈旧，适合出差旅游，性价比还行，看重的还是如家的品牌。', 'star': 3}
{'descr': '服务态度还是蛮好的，住在最顶层，就是电梯下来还要走一层。', 'star': 5}
{'descr': '服务很好', 'star': 3}
{'descr': '卫生还不错 整体算干净 隔音差 走廊上人说话大一点的都能听清  独立空调 外包餐厅  吃饭点菜   油烟味一整楼都是 好在房间里还好  出差将就一下还不错', 'star': 3}
{'descr': '设施一般，普通的快捷酒店', 'star': 4}
{'descr': '交通不是很方便', 'star': 4}
{'descr': '卫生较好，服务不错，该店地理位置靠近黄浦江，方便出行，价格也能接受！', 'star': 5}
{'descr': '卫生较好，服务不错，该店地理位置靠近黄浦江，方便出行，价格也能接受！', 'star': 5}
{'descr': '价格便宜 位置还算方便 周围很清静 但是楼很久 屋内设置也不是特别好 充电电源还不好用', 'star': 5}
{'descr': '价格便宜 位置还算方便 周围很清静 但是楼很久 屋内设置也不是特别好', 'star': 5}
{'descr': '可以推荐，各方面都挺不错，离外滩、城隍庙和老码头都很近', 'star': 5}
{'descr': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', 'star': 5}
{'descr': '我订的是家庭房，小床还好，大床不舒服，可能是旧了躺在床上就可以感觉里面的弹簧都凹凸不平了。', 'star': 5}
{'descr': '蛮实惠的，合适我们的出行条件.总体上很满意的。', 'star': 5}
{'descr': '酒店较偏僻，不太好找，另外离公交车站较远，附近吃饭不太方便。', 'star': 1}
{'descr': '酒店真是不错，推荐大家入住，下次来这里还会选择的。', 'star': 5}
{'descr': '还可以的 就是地点有点偏   还可以的 就是地点有点偏', 'star': 5}
{'descr': '如家还行', 'star': 3}
{'descr': '如家不错', 'star': 3}
