{'短评内容': '很精致，非常舒服', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店地理位置可以，但外部环境一般，两边都是单行道，打出租车不方便，不过叫滴滴还可以。\n内部环境装修听精致的。', '短评打分': 5}
{'短评内容': '除了房间面积有点小，停车位较少，其余都很满意', '短评打分': 5}
{'短评内容': '不错，适合带孩子', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错的酒店，环境不错！', '短评打分': 5}
{'短评内容': '酒店环境很不错，里边装饰很到位，价格也不贵', '短评打分': 5}
{'短评内容': '值得推荐，安静舒适，价格实惠&lsquo;', '短评打分': 5}
{'短评内容': '不错，环境很好', '短评打分': 5}
{'短评内容': '环境还是比较别致的，价钱也比较实惠', '短评打分': 5}
{'短评内容': '房间太小，卫生一般化。', '短评打分': 4}
{'短评内容': '房间稍微小了点，wifi不是太好。离医院很近。', '短评打分': 4}
{'短评内容': '每次都来住这家店，交通方便，最主要是干净舒服。美中不足最近在翻修，没有暖气，只有空调，不是太暖和。相信全部装修好了，一定又是棒棒哒！', '短评打分': 5}
{'短评内容': '比较老的酒店了，在医附院后面。挺方便的。价格还行', '短评打分': 4}
{'短评内容': '还不错哦！！！', '短评打分': 5}
{'短评内容': '方便，利于开会', '短评打分': 5}
{'短评内容': '没有吹风机，房间里异味浓重，睡到一半就退房了', '短评打分': 3}
{'短评内容': '好！！！！！', '短评打分': 5}
{'短评内容': '好！！！！！！', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '性价比不错的酒店，就是晚上碰巧没有热水洗澡，炎炎夏日，又增添了一点不爽。', '短评打分': 3}
{'短评内容': '酒店卫生环境较好，设施也不错，服务比较满意，酒店还有餐厅，真好，下次还住。', '短评打分': 5}
{'短评内容': '还不错，希望以后可以长期来这里，希望有个优惠哦', '短评打分': 5}
{'短评内容': '这的价格和地段不错，不过我住的房间很小感觉很挤，枕套也不干净，凳子也破破的都掉皮了的。', '短评打分': 1}
{'短评内容': '我的常住酒店，最值得推荐的是家庭房，一家三口非常合适。', '短评打分': 5}
{'短评内容': '位置不错，离目的地比较近。交通也比较方便。', '短评打分': 5}
{'短评内容': '推荐入住，，交通便利，周围就有很多饭店跟小卖店，挺方便的', '短评打分': 5}
{'短评内容': '入住多次，服务员态度很好，，可能因为开店时间过长导致部分设施老化，建议尽快更新一下', '短评打分': 5}
{'短评内容': '还可以 网速不够高', '短评打分': 3}
{'短评内容': '酒店挺好的  每次去郑州都住这家  主要交通方便', '短评打分': 5}
