{'短评内容': '早餐还好吧，真的要早去啊，很多人，办理入住有点慢，免费停车，停车方便！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '酒店高大尚，名副其实的五星级酒店', '短评打分': 5}
{'短评内容': '迁安出差的首选，性价比特别高，房间特别大，热水好，床也特舒服，早餐堪比五星级酒店的自助餐，服务也非常不错。', '短评打分': 5}
{'短评内容': '环境好，硬件设施好', '短评打分': 5}
{'短评内容': '好好好，非常的好真不错', '短评打分': 5}
{'短评内容': '好非常的好我很喜欢特别的自豪', '短评打分': 5}
{'短评内容': '高大上的硬件设施，服务一般，但价格低，总的来说性价比可以。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '环境挺好的，钱没白花！', '短评打分': 5}
{'短评内容': '挺好的酒店，维护不好，餐饮也很一般。', '短评打分': 4}
